,Vin,Vin_real,Vout,temp
0,0.0,0.0,-0.000169854906,30.0
1,0.01,0.01,-0.000166017313,30.0
2,0.02,0.02,-0.000166401533,30.0
3,0.03,0.03,-0.00016282162,30.0
4,0.04,0.04,-0.000156869669,30.0
5,0.05,0.05,-0.000153510625,30.0
6,0.06,0.06,-0.000149714445,30.0
7,0.07,0.07,-0.00014149859,30.0
8,0.08,0.08,-0.000133538116,30.0
9,0.09,0.09,-0.00012425473,30.0
10,0.1,0.1,-0.000109442725,30.0
11,0.11,0.11,-9.11290311e-05,30.0
12,0.12,0.12,-6.9320551e-05,30.0
13,0.13,0.13,-4.09826411e-05,30.0
14,0.14,0.14,-5.74028459e-06,30.0
15,0.15,0.15,3.85001693e-05,30.0
16,0.16,0.16,8.92815567e-05,30.0
17,0.17,0.17,0.000157401134,30.0
18,0.18,0.18,0.000238503648,30.0
19,0.19,0.19,0.000333530091,30.0
20,0.2,0.2,0.000448529043,30.0
21,0.21,0.21,0.000583346356,30.0
22,0.22,0.22,0.000738849401,30.0
23,0.23,0.23,0.000910206674,30.0
24,0.24,0.24,0.00111336903,30.0
25,0.25,0.25,0.00133352908,30.0
26,0.26,0.26,0.00156491892,30.0
27,0.27,0.27,0.00182341578,30.0
28,0.28,0.28,0.00207873076,30.0
29,0.29,0.29,0.00235884054,30.0
30,0.3,0.3,0.00269751043,30.0
31,0.31,0.31,0.00301721552,30.0
32,0.32,0.32,0.00338182598,30.0
33,0.33,0.33,0.00391186016,30.0
34,0.34,0.34,0.00457038239,30.0
35,0.35000000000000003,0.35,0.0054913265,30.0
36,0.36,0.36,0.00659110751,30.0
37,0.37,0.37,0.00822179467,30.0
38,0.38,0.38,0.0103971394,30.0
39,0.39,0.39,0.0133478366,30.0
40,0.4,0.4,0.016700876,30.0
41,0.41000000000000003,0.41,0.0204132021,30.0
42,0.42,0.42,0.024532642,30.0
43,0.43,0.43,0.0290599044,30.0
44,0.44,0.44,0.0342293516,30.0
45,0.45,0.45,0.0397160146,30.0
46,0.46,0.46,0.0456564499,30.0
47,0.47000000000000003,0.47,0.0520498938,30.0
48,0.48,0.48,0.0589115724,30.0
49,0.49,0.49,0.066403732,30.0
50,0.5,0.5,0.0743502232,30.0
51,0.51,0.51,0.0828090836,30.0
52,0.52,0.52,0.0887609627,30.0
53,0.53,0.53,0.091769806,30.0
54,0.54,0.54,0.0941381508,30.0
55,0.55,0.55,0.0965409258,30.0
56,0.56,0.56,0.098993042,30.0
57,0.5700000000000001,0.57,0.101922504,30.0
58,0.58,0.58,0.106130307,30.0
59,0.59,0.59,0.11350407,30.0
60,0.6,0.6,0.123410492,30.0
61,0.61,0.61,0.134877687,30.0
62,0.62,0.62,0.14729765,30.0
63,0.63,0.63,0.161430003,30.0
64,0.64,0.64,0.177422648,30.0
65,0.65,0.65,0.196663636,30.0
66,0.66,0.66,0.217655685,30.0
67,0.67,0.67,0.23700825,30.0
68,0.68,0.68,0.249585067,30.0
69,0.6900000000000001,0.69,0.258263347,30.0
70,0.7000000000000001,0.7,0.266522565,30.0
71,0.71,0.71,0.274668639,30.0
72,0.72,0.72,0.282833866,30.0
73,0.73,0.73,0.290965705,30.0
74,0.74,0.74,0.299145668,30.0
75,0.75,0.75,0.307311685,30.0
76,0.76,0.76,0.315528839,30.0
77,0.77,0.77,0.32377504,30.0
78,0.78,0.78,0.332050363,30.0
79,0.79,0.79,0.340347037,30.0
80,0.8,0.8,0.348637286,30.0
81,0.81,0.81,0.356981274,30.0
82,0.8200000000000001,0.82,0.365312323,30.0
83,0.8300000000000001,0.83,0.373733153,30.0
84,0.84,0.84,0.382116,30.0
85,0.85,0.85,0.39053308,30.0
86,0.86,0.86,0.398991547,30.0
87,0.87,0.87,0.407456693,30.0
88,0.88,0.88,0.415876,30.0
89,0.89,0.89,0.424357999,30.0
90,0.9,0.9,0.432843477,30.0
91,0.91,0.91,0.441347813,30.0
92,0.92,0.92,0.449814736,30.0
93,0.93,0.93,0.458330749,30.0
94,0.9400000000000001,0.94,0.466801122,30.0
95,0.9500000000000001,0.95,0.475340091,30.0
96,0.96,0.96,0.483791005,30.0
97,0.97,0.97,0.492229544,30.0
98,0.98,0.98,0.500610006,30.0
99,0.99,0.99,0.508743207,30.0
100,1.0,1.0,0.516754629,30.0
101,1.01,1.01,0.524420187,30.0
102,1.02,1.02,0.531544235,30.0
103,1.03,1.03,0.5379319,30.0
104,1.04,1.04,0.54378367,30.0
105,1.05,1.05,0.548985632,30.0
106,1.06,1.06,0.553521566,30.0
107,1.07,1.07,0.557569364,30.0
108,1.08,1.08,0.560829599,30.0
109,1.09,1.09,0.563755615,30.0
110,1.1,1.1,0.566346441,30.0
111,1.11,1.11,0.568681964,30.0
112,1.12,1.12,0.570566579,30.0
113,1.1300000000000001,1.13,0.572534742,30.0
114,1.1400000000000001,1.14,0.573876455,30.0
115,1.1500000000000001,1.15,0.575259606,30.0
