,Vin,Vin_real,Vout,temp
0,0.0,0.0,1.77967224e-05,70.0
1,0.01,0.01,0.0100174868,70.0
2,0.02,0.02,0.0200170873,70.0
3,0.03,0.03001,0.0300171397,70.0
4,0.04,0.04,0.0400174558,70.0
5,0.05,0.05001,0.0500172097,70.0
6,0.06,0.06001,0.060017335,70.0
7,0.07,0.07,0.0700177398,70.0
8,0.08,0.08,0.0800173033,70.0
9,0.09,0.08999,0.0900174385,70.0
10,0.1,0.1,0.100017656,70.0
11,0.11,0.11,0.110017528,70.0
12,0.12,0.12,0.120017616,70.0
13,0.13,0.13,0.130017049,70.0
14,0.14,0.14,0.14001572,70.0
15,0.15,0.15,0.15001629,70.0
16,0.16,0.16,0.160015324,70.0
17,0.17,0.17,0.17001353,70.0
18,0.18,0.18,0.180012376,70.0
19,0.19,0.19,0.190010862,70.0
20,0.2,0.19999,0.200008013,70.0
21,0.21,0.21,0.210005104,70.0
22,0.22,0.22,0.220014959,70.0
23,0.23,0.23,0.23001369,70.0
24,0.24,0.24,0.240014541,70.0
25,0.25,0.25,0.250018263,70.0
26,0.26,0.26,0.26001818,70.0
27,0.27,0.27,0.270020387,70.0
28,0.28,0.28,0.280020705,70.0
29,0.29,0.29,0.290020778,70.0
30,0.3,0.3,0.300020337,70.0
31,0.31,0.31,0.310023359,70.0
32,0.32,0.32,0.320022182,70.0
33,0.33,0.33,0.330022541,70.0
34,0.34,0.34,0.3400196,70.0
35,0.35000000000000003,0.35,0.350022951,70.0
36,0.36,0.36,0.360020165,70.0
37,0.37,0.37,0.370015101,70.0
38,0.38,0.38,0.380016671,70.0
39,0.39,0.39,0.390014777,70.0
40,0.4,0.4,0.400014802,70.0
41,0.41000000000000003,0.41,0.41001224,70.0
42,0.42,0.42,0.42001056,70.0
43,0.43,0.43,0.430012066,70.0
44,0.44,0.44,0.440014407,70.0
45,0.45,0.45,0.450010369,70.0
46,0.46,0.46,0.460008387,70.0
47,0.47000000000000003,0.47,0.470010624,70.0
48,0.48,0.48,0.480005688,70.0
49,0.49,0.49,0.490006477,70.0
50,0.5,0.5,0.50000773,70.0
51,0.51,0.51,0.51000384,70.0
52,0.52,0.52,0.520006729,70.0
53,0.53,0.53,0.530003231,70.0
54,0.54,0.54,0.540004023,70.0
55,0.55,0.55,0.55000308,70.0
56,0.56,0.56,0.56000359,70.0
57,0.5700000000000001,0.57,0.570005555,70.0
58,0.58,0.58,0.580005077,70.0
59,0.59,0.59,0.590004142,70.0
60,0.6,0.6,0.600004571,70.0
61,0.61,0.61,0.610005722,70.0
62,0.62,0.62,0.620007781,70.0
63,0.63,0.63,0.63000235,70.0
64,0.64,0.64,0.640002593,70.0
65,0.65,0.65,0.649994209,70.0
66,0.66,0.66,0.659995301,70.0
67,0.67,0.67,0.669994112,70.0
68,0.68,0.68,0.679990978,70.0
69,0.6900000000000001,0.69,0.689990274,70.0
70,0.7000000000000001,0.7,0.699987748,70.0
71,0.71,0.71,0.709987078,70.0
72,0.72,0.72,0.719985563,70.0
73,0.73,0.73,0.729978614,70.0
74,0.74,0.74,0.73998102,70.0
75,0.75,0.75,0.749981325,70.0
76,0.76,0.76,0.759976008,70.0
77,0.77,0.77,0.769977198,70.0
78,0.78,0.78,0.779979593,70.0
79,0.79,0.79,0.789979259,70.0
80,0.8,0.8,0.79997793,70.0
81,0.81,0.81,0.809975756,70.0
82,0.8200000000000001,0.82,0.819974094,70.0
83,0.8300000000000001,0.83,0.829973557,70.0
84,0.84,0.84,0.839971884,70.0
85,0.85,0.85,0.849969433,70.0
86,0.86,0.86,0.859968568,70.0
87,0.87,0.87,0.869967451,70.0
88,0.88,0.88,0.879964551,70.0
89,0.89,0.89,0.88996221,70.0
90,0.9,0.9,0.899960793,70.0
91,0.91,0.91,0.909960264,70.0
92,0.92,0.92,0.91996144,70.0
93,0.93,0.93,0.929960875,70.0
94,0.9400000000000001,0.94,0.939960808,70.0
95,0.9500000000000001,0.95,0.949954867,70.0
96,0.96,0.96,0.959949751,70.0
97,0.97,0.97,0.969947508,70.0
98,0.98,0.98,0.979950107,70.0
99,0.99,0.99,0.989947403,70.0
100,1.0,1.0,0.99994618,70.0
101,1.01,1.01,1.00994399,70.0
102,1.02,1.02,1.01994875,70.0
103,1.03,1.03,1.02994168,70.0
104,1.04,1.04,1.03994181,70.0
105,1.05,1.05,1.04994321,70.0
106,1.06,1.06,1.05994375,70.0
107,1.07,1.07,1.06994294,70.0
108,1.08,1.08,1.07993594,70.0
109,1.09,1.09,1.08993949,70.0
110,1.1,1.1,1.09993434,70.0
111,1.11,1.11,1.10993734,70.0
112,1.12,1.12,1.11992661,70.0
113,1.1300000000000001,1.13,1.12992899,70.0
114,1.1400000000000001,1.14,1.13992935,70.0
115,1.1500000000000001,1.15,1.14992875,70.0
116,1.16,1.16,1.15993137,70.0
117,1.17,1.17,1.16992952,70.0
118,1.18,1.18,1.17993359,70.0
119,1.19,1.19,1.18993275,70.0
120,1.2,1.2,1.19992798,70.0
121,1.21,1.21,9.9e+37,70.0
122,1.22,1.22,9.9e+37,70.0
123,1.23,1.23,9.9e+37,70.0
124,1.24,1.24,9.9e+37,70.0
125,1.25,1.25,9.9e+37,70.0
126,1.26,1.26,9.9e+37,70.0
127,1.27,1.27,9.9e+37,70.0
128,1.28,1.28,9.9e+37,70.0
129,1.29,1.29,9.9e+37,70.0
130,1.3,1.3,9.9e+37,70.0
131,1.31,1.31,9.9e+37,70.0
132,1.32,1.32,9.9e+37,70.0
