,Vin,BIAS,SLOPE,MEAN,Volt
0,1.2,1.0,0.0,0.0,0.563329385
1,1.2,1.0,1.0,1.0,0.563370199
2,1.2,1.0,2.0,2.0,0.563373022
3,1.2,1.0,3.0,3.0,0.563316855
4,1.2,1.0,4.0,4.0,0.563076994
5,1.2,1.0,5.0,5.0,0.563315981
6,1.2,1.0,6.0,6.0,0.563437028
7,1.2,1.0,7.0,7.0,0.563365807
8,1.2,1.0,8.0,8.0,0.563328075
9,1.2,1.0,9.0,9.0,0.563467266
10,1.2,1.0,10.0,10.0,0.563332934
11,1.2,1.0,11.0,11.0,0.563344801
12,1.2,1.0,12.0,12.0,0.563362794
13,1.2,1.0,13.0,13.0,0.563338033
14,1.2,1.0,14.0,14.0,0.56321468
15,1.2,1.0,15.0,15.0,0.563342613
