,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.00119261603,30.0,2.5
1,0.01,0.01,0.00120036893,30.0,2.5
2,0.02,0.02,0.00120380968,30.0,2.5
3,0.03,0.03,0.00120807351,30.0,2.5
4,0.04,0.04,0.00120969598,30.0,2.5
5,0.05,0.05,0.00120714826,30.0,2.5
6,0.06,0.06,0.00121293607,30.0,2.5
7,0.07,0.07,0.0012205332,30.0,2.5
8,0.08,0.08,0.00122885791,30.0,2.5
9,0.09,0.09,0.00124006168,30.0,2.5
10,0.1,0.1,0.00125320708,30.0,2.5
11,0.11,0.11,0.00126560464,30.0,2.5
12,0.12,0.12,0.00128537864,30.0,2.5
13,0.13,0.13,0.00130975175,30.0,2.5
14,0.14,0.14,0.00133759091,30.0,2.5
15,0.15,0.15,0.00137491612,30.0,2.5
16,0.16,0.16,0.00142219564,30.0,2.5
17,0.17,0.17,0.0014751654,30.0,2.5
18,0.18,0.18,0.00155232626,30.0,2.5
19,0.19,0.19,0.00165285581,30.0,2.5
20,0.2,0.2,0.00178714442,30.0,2.5
21,0.21,0.21,0.00197571024,30.0,2.5
22,0.22,0.22,0.00226412797,30.0,2.5
23,0.23,0.23,0.00273850006,30.0,2.5
24,0.24,0.24,0.00350569292,30.0,2.5
25,0.25,0.25,0.00452341799,30.0,2.5
26,0.26,0.26,0.00569745564,30.0,2.5
27,0.27,0.27,0.00703870429,30.0,2.5
28,0.28,0.28,0.00864722179,30.0,2.5
29,0.29,0.29,0.0105282773,30.0,2.5
30,0.3,0.3,0.0127330453,30.0,2.5
31,0.31,0.31,0.0152655864,30.0,2.5
32,0.32,0.32,0.0180975592,30.0,2.5
33,0.33,0.33,0.0212657042,30.0,2.5
34,0.34,0.34,0.0247107846,30.0,2.5
35,0.35000000000000003,0.35,0.0284499961,30.0,2.5
36,0.36,0.36,0.0323098023,30.0,2.5
37,0.37,0.37,0.0361563522,30.0,2.5
38,0.38,0.38,0.0397643215,30.0,2.5
39,0.39,0.39,0.0429534256,30.0,2.5
40,0.4,0.4,0.0456914065,30.0,2.5
41,0.41000000000000003,0.41,0.0484808743,30.0,2.5
42,0.42,0.42,0.0514634113,30.0,2.5
43,0.43,0.43,0.0547378132,30.0,2.5
44,0.44,0.44,0.0584607397,30.0,2.5
45,0.45,0.45,0.0623950142,30.0,2.5
46,0.46,0.46,0.0669932253,30.0,2.5
47,0.47000000000000003,0.47,0.0721110629,30.0,2.5
48,0.48,0.48,0.0775798213,30.0,2.5
49,0.49,0.49,0.083744997,30.0,2.5
50,0.5,0.5,0.0906919061,30.0,2.5
51,0.51,0.51,0.0980209114,30.0,2.5
52,0.52,0.52,0.102354396,30.0,2.5
53,0.53,0.53,0.105021126,30.0,2.5
54,0.54,0.54,0.107383568,30.0,2.5
55,0.55,0.55,0.109759841,30.0,2.5
56,0.56,0.56,0.111961375,30.0,2.5
57,0.5700000000000001,0.57,0.114372423,30.0,2.5
58,0.58,0.58,0.116590822,30.0,2.5
59,0.59,0.59,0.11895219,30.0,2.5
60,0.6,0.6,0.12255592,30.0,2.5
61,0.61,0.61,0.126983238,30.0,2.5
62,0.62,0.62,0.133391406,30.0,2.5
63,0.63,0.63,0.140807529,30.0,2.5
64,0.64,0.64,0.148863181,30.0,2.5
65,0.65,0.65,0.158207346,30.0,2.5
66,0.66,0.66,0.169040764,30.0,2.5
67,0.67,0.67,0.183300714,30.0,2.5
68,0.68,0.68,0.216345197,30.0,2.5
69,0.6900000000000001,0.69,0.258638923,30.0,2.5
70,0.7000000000000001,0.7,0.266545909,30.0,2.5
71,0.71,0.71,0.27447575,30.0,2.5
72,0.72,0.72,0.282225482,30.0,2.5
73,0.73,0.73,0.290161966,30.0,2.5
74,0.74,0.74,0.298187623,30.0,2.5
75,0.75,0.75,0.306199326,30.0,2.5
76,0.76,0.76,0.314301391,30.0,2.5
77,0.77,0.77,0.322428466,30.0,2.5
78,0.78,0.78,0.33065435,30.0,2.5
79,0.79,0.79,0.33887548,30.0,2.5
80,0.8,0.8,0.347145934,30.0,2.5
81,0.81,0.81,0.355417204,30.0,2.5
82,0.8200000000000001,0.82,0.363723571,30.0,2.5
83,0.8300000000000001,0.83,0.372119713,30.0,2.5
84,0.84,0.84,0.380445966,30.0,2.5
85,0.85,0.85,0.388846117,30.0,2.5
86,0.86,0.86,0.397284791,30.0,2.5
87,0.87,0.87,0.405673782,30.0,2.5
88,0.88,0.88,0.414119954,30.0,2.5
89,0.89,0.89,0.422611277,30.0,2.5
90,0.9,0.9,0.431104245,30.0,2.5
91,0.91,0.91,0.439582198,30.0,2.5
92,0.92,0.92,0.448084026,30.0,2.5
93,0.93,0.93,0.456633563,30.0,2.5
94,0.9400000000000001,0.94,0.465117505,30.0,2.5
95,0.9500000000000001,0.95,0.473639695,30.0,2.5
96,0.96,0.96,0.482123383,30.0,2.5
97,0.97,0.97,0.49060101,30.0,2.5
98,0.98,0.98,0.499050836,30.0,2.5
