,Vin,Vin_real,Vout,temp
0,0.0,1e-05,-4.19811386e-05,-40.0
1,0.01,0.01003,-4.60049715e-05,-40.0
2,0.02,0.02003,-4.08773286e-05,-40.0
3,0.03,0.03,-4.27552093e-05,-40.0
4,0.04,0.04001,-3.97629337e-05,-40.0
5,0.05,0.05002,-3.92431282e-05,-40.0
6,0.06,0.06002,-4.08423527e-05,-40.0
7,0.07,0.06997,-3.71526312e-05,-40.0
8,0.08,0.08003,-3.86370337e-05,-40.0
9,0.09,0.09,-3.50517794e-05,-40.0
10,0.1,0.09998,-3.83613688e-05,-40.0
11,0.11,0.11,-3.5297991e-05,-40.0
12,0.12,0.12003,-3.44500568e-05,-40.0
13,0.13,0.13,-2.96468609e-05,-40.0
14,0.14,0.14,-3.49503035e-05,-40.0
15,0.15,0.14998,-3.26952819e-05,-40.0
16,0.16,0.15998,-2.98005705e-05,-40.0
17,0.17,0.17001,-3.46207942e-05,-40.0
18,0.18,0.18,-2.92342839e-05,-40.0
19,0.19,0.19002,-2.94781944e-05,-40.0
20,0.2,0.20001,-2.64302336e-05,-40.0
21,0.21,0.21,-2.64240208e-05,-40.0
22,0.22,0.22,-2.76072168e-05,-40.0
23,0.23,0.23,-2.66232911e-05,-40.0
24,0.24,0.24,-2.21286649e-05,-40.0
25,0.25,0.25,-2.46335797e-05,-40.0
26,0.26,0.26,-2.07033992e-05,-40.0
27,0.27,0.27,-2.06624407e-05,-40.0
28,0.28,0.28,-1.78461948e-05,-40.0
29,0.29,0.29,-1.49873797e-05,-40.0
30,0.3,0.3,-1.45032404e-05,-40.0
31,0.31,0.31,-1.06825895e-05,-40.0
32,0.32,0.32,-1.10376404e-05,-40.0
33,0.33,0.33,-4.3650775e-06,-40.0
34,0.34,0.34,-2.78357104e-06,-40.0
35,0.35000000000000003,0.35,5.00154584e-06,-40.0
36,0.36,0.36,2.1272447e-05,-40.0
37,0.37,0.37,5.6645452e-05,-40.0
38,0.38,0.38,0.000171429272,-40.0
39,0.39,0.39,0.000642153064,-40.0
40,0.4,0.4,0.00191998774,-40.0
41,0.41000000000000003,0.41,0.00394722063,-40.0
42,0.42,0.42,0.00667241745,-40.0
43,0.43,0.43,0.00985534662,-40.0
44,0.44,0.44,0.0135085254,-40.0
45,0.45,0.45,0.0174824413,-40.0
46,0.46,0.46,0.021985107,-40.0
47,0.47000000000000003,0.47,0.0268660104,-40.0
48,0.48,0.48,0.0322424008,-40.0
49,0.49,0.49,0.0381997035,-40.0
50,0.5,0.5,0.0447276148,-40.0
51,0.51,0.51,0.0518953529,-40.0
52,0.52,0.52,0.0597619588,-40.0
53,0.53,0.53,0.0683923292,-40.0
54,0.54,0.54,0.0777462921,-40.0
55,0.55,0.55,0.0878371882,-40.0
56,0.56,0.56,0.0987843323,-40.0
57,0.5700000000000001,0.57,0.110569478,-40.0
58,0.58,0.58,0.123111581,-40.0
59,0.59,0.59,0.13538886,-40.0
60,0.6,0.6,0.142489133,-40.0
61,0.61,0.61,0.146748848,-40.0
62,0.62,0.62,0.149679973,-40.0
63,0.63,0.63,0.152254331,-40.0
64,0.64,0.64,0.154526238,-40.0
65,0.65,0.65,0.156632041,-40.0
66,0.66,0.66,0.158642066,-40.0
67,0.67,0.67,0.160582296,-40.0
68,0.68,0.68,0.162402634,-40.0
69,0.6900000000000001,0.69,0.164182683,-40.0
70,0.7000000000000001,0.7,0.165888653,-40.0
71,0.71,0.71,0.167640064,-40.0
72,0.72,0.72,0.169486752,-40.0
73,0.73,0.73,0.171153342,-40.0
74,0.74,0.74,0.172859758,-40.0
75,0.75,0.75,0.174293427,-40.0
