,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.0011920792,30.0,2.5
1,0.01,0.01,0.00119171448,30.0,2.5
2,0.02,0.02,0.00119550982,30.0,2.5
3,0.03,0.03,0.00119483492,30.0,2.5
4,0.04,0.04,0.00119833918,30.0,2.5
5,0.05,0.05,0.00119773194,30.0,2.5
6,0.06,0.06,0.0012043288,30.0,2.5
7,0.07,0.07,0.00120750884,30.0,2.5
8,0.08,0.08,0.00121535746,30.0,2.5
9,0.09,0.09,0.00122608009,30.0,2.5
10,0.1,0.1,0.00123541795,30.0,2.5
11,0.11,0.11,0.00125167113,30.0,2.5
12,0.12,0.12,0.00127202063,30.0,2.5
13,0.13,0.13,0.00129441944,30.0,2.5
14,0.14,0.14,0.00134085586,30.0,2.5
15,0.15,0.15,0.00138109994,30.0,2.5
16,0.16,0.16,0.00142647442,30.0,2.5
17,0.17,0.17,0.00148404167,30.0,2.5
18,0.18,0.18,0.00155805355,30.0,2.5
19,0.19,0.19,0.00164682225,30.0,2.5
20,0.2,0.2,0.00175439207,30.0,2.5
21,0.21,0.21,0.00189099944,30.0,2.5
22,0.22,0.22,0.0020504504,30.0,2.5
23,0.23,0.23,0.0022469592,30.0,2.5
24,0.24,0.24,0.00248828309,30.0,2.5
25,0.25,0.25,0.00278767909,30.0,2.5
26,0.26,0.26,0.00314782238,30.0,2.5
27,0.27,0.27,0.00358119427,30.0,2.5
28,0.28,0.28,0.00411505061,30.0,2.5
29,0.29,0.29,0.00473080842,30.0,2.5
30,0.3,0.3,0.00550232057,30.0,2.5
31,0.31,0.31,0.00646202831,30.0,2.5
32,0.32,0.32,0.00759491803,30.0,2.5
33,0.33,0.33,0.00888966307,30.0,2.5
34,0.34,0.34,0.0103427852,30.0,2.5
35,0.35000000000000003,0.35,0.0120617092,30.0,2.5
36,0.36,0.36,0.0140549921,30.0,2.5
37,0.37,0.37,0.0163354745,30.0,2.5
38,0.38,0.38,0.0189775531,30.0,2.5
39,0.39,0.39,0.0219313655,30.0,2.5
40,0.4,0.4,0.0253681832,30.0,2.5
41,0.41000000000000003,0.41,0.0291546556,30.0,2.5
42,0.42,0.42,0.0333907856,30.0,2.5
43,0.43,0.43,0.0381531845,30.0,2.5
44,0.44,0.44,0.0433626826,30.0,2.5
45,0.45,0.45,0.0489619737,30.0,2.5
46,0.46,0.46,0.0550777559,30.0,2.5
47,0.47000000000000003,0.47,0.0617322659,30.0,2.5
48,0.48,0.48,0.0686347053,30.0,2.5
