,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.000882802985,-40.0,2.5
1,0.01,0.01,0.00088497655,-40.0,2.5
2,0.02,0.02,0.000884267828,-40.0,2.5
3,0.03,0.03,0.000885265791,-40.0,2.5
4,0.04,0.04,0.000880666467,-40.0,2.5
5,0.05,0.05,0.000879868696,-40.0,2.5
6,0.06,0.06,0.000880642536,-40.0,2.5
7,0.07,0.07,0.000881672483,-40.0,2.5
8,0.08,0.08,0.000882606936,-40.0,2.5
9,0.09,0.09,0.000882065041,-40.0,2.5
10,0.1,0.1,0.000883043674,-40.0,2.5
11,0.11,0.11,0.000885822643,-40.0,2.5
12,0.12,0.12,0.000886820605,-40.0,2.5
13,0.13,0.13,0.000886603156,-40.0,2.5
14,0.14,0.14,0.000886361777,-40.0,2.5
15,0.15,0.15,0.00088557344,-40.0,2.5
16,0.16,0.16,0.000888353329,-40.0,2.5
17,0.17,0.17,0.000890185419,-40.0,2.5
18,0.18,0.18,0.000893924613,-40.0,2.5
19,0.19,0.19,0.000899270855,-40.0,2.5
20,0.2,0.2,0.000905067411,-40.0,2.5
21,0.21,0.21,0.000917144433,-40.0,2.5
22,0.22,0.22,0.000939201535,-40.0,2.5
23,0.23,0.23,0.000975480921,-40.0,2.5
24,0.24,0.24,0.0010221693,-40.0,2.5
25,0.25,0.25,0.00110437703,-40.0,2.5
26,0.26,0.26,0.00122368608,-40.0,2.5
27,0.27,0.27,0.00138695218,-40.0,2.5
28,0.28,0.28,0.00161888874,-40.0,2.5
29,0.29,0.29,0.00194030687,-40.0,2.5
30,0.3,0.3,0.00238212335,-40.0,2.5
31,0.31,0.31,0.00298291909,-40.0,2.5
32,0.32,0.32,0.00378167121,-40.0,2.5
33,0.33,0.33,0.00481411122,-40.0,2.5
34,0.34,0.34,0.00614735247,-40.0,2.5
35,0.35000000000000003,0.35,0.00779959184,-40.0,2.5
36,0.36,0.36,0.00982339941,-40.0,2.5
37,0.37,0.37,0.0122327563,-40.0,2.5
38,0.38,0.38,0.0150141198,-40.0,2.5
39,0.39,0.39,0.0182267688,-40.0,2.5
40,0.4,0.4,0.0217766001,-40.0,2.5
41,0.41000000000000003,0.41,0.0257129811,-40.0,2.5
42,0.42,0.42,0.029911133,-40.0,2.5
43,0.43,0.43,0.034323003,-40.0,2.5
44,0.44,0.44,0.0386711337,-40.0,2.5
45,0.45,0.45,0.0427400304,-40.0,2.5
46,0.46,0.46,0.0467949269,-40.0,2.5
47,0.47000000000000003,0.47,0.0512368191,-40.0,2.5
48,0.48,0.48,0.0562615763,-40.0,2.5
49,0.49,0.49,0.0619267327,-40.0,2.5
50,0.5,0.5,0.0683583704,-40.0,2.5
51,0.51,0.51,0.0755235006,-40.0,2.5
52,0.52,0.52,0.0835382731,-40.0,2.5
53,0.53,0.53,0.0921363943,-40.0,2.5
54,0.54,0.54,0.101136206,-40.0,2.5
55,0.55,0.55,0.109705264,-40.0,2.5
56,0.56,0.56,0.11733798,-40.0,2.5
57,0.5700000000000001,0.57,0.124674979,-40.0,2.5
58,0.58,0.58,0.132020266,-40.0,2.5
59,0.59,0.59,0.139225848,-40.0,2.5
60,0.6,0.6,0.146381365,-40.0,2.5
61,0.61,0.61,0.153684841,-40.0,2.5
62,0.62,0.62,0.160895934,-40.0,2.5
63,0.63,0.63,0.168389119,-40.0,2.5
64,0.64,0.64,0.176094049,-40.0,2.5
65,0.65,0.65,0.183667123,-40.0,2.5
66,0.66,0.66,0.191361965,-40.0,2.5
67,0.67,0.67,0.19915897,-40.0,2.5
68,0.68,0.68,0.206875943,-40.0,2.5
69,0.6900000000000001,0.69,0.214698915,-40.0,2.5
70,0.7000000000000001,0.7,0.222479338,-40.0,2.5
71,0.71,0.71,0.230371795,-40.0,2.5
72,0.72,0.72,0.238254829,-40.0,2.5
73,0.73,0.73,0.246225214,-40.0,2.5
74,0.74,0.74,0.254269033,-40.0,2.5
75,0.75,0.75,0.262326852,-40.0,2.5
76,0.76,0.76,0.270395636,-40.0,2.5
77,0.77,0.77,0.278525564,-40.0,2.5
78,0.78,0.78,0.286763626,-40.0,2.5
79,0.79,0.79,0.295010405,-40.0,2.5
80,0.8,0.8,0.303281401,-40.0,2.5
