,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,12.0,11.0,-40.0,1.08,1.08,0.0,0.0,0.53978527
1,12.0,11.0,-40.0,1.08,1.08,0.0,1.0,0.542240122
2,12.0,11.0,-40.0,1.08,1.08,0.0,2.0,0.543110608
3,12.0,11.0,-40.0,1.08,1.08,0.0,3.0,0.543424127
4,12.0,11.0,-40.0,1.08,1.08,0.0,4.0,0.543585492
5,12.0,11.0,-40.0,1.08,1.08,0.0,5.0,0.543642857
6,12.0,11.0,-40.0,1.08,1.08,0.0,6.0,0.543659849
7,12.0,11.0,-40.0,1.08,1.08,0.0,7.0,0.543665052
8,12.0,11.0,-40.0,1.08,1.08,0.0,8.0,0.543669851
9,12.0,11.0,-40.0,1.08,1.08,0.0,9.0,0.543703763
10,12.0,11.0,-40.0,1.08,1.08,0.0,10.0,0.543741525
11,12.0,11.0,-40.0,1.08,1.08,0.0,11.0,0.543763403
12,12.0,11.0,-40.0,1.08,1.08,0.0,12.0,0.54374791
13,12.0,11.0,-40.0,1.08,1.08,0.0,13.0,0.543740032
14,12.0,11.0,-40.0,1.08,1.08,0.0,14.0,0.543740626
15,12.0,11.0,-40.0,1.08,1.08,0.0,15.0,0.543736743
16,12.0,11.0,-40.0,1.08,1.08,1.0,0.0,0.536574143
17,12.0,11.0,-40.0,1.08,1.08,1.0,1.0,0.541006279
18,12.0,11.0,-40.0,1.08,1.08,1.0,2.0,0.542678427
19,12.0,11.0,-40.0,1.08,1.08,1.0,3.0,0.543212487
20,12.0,11.0,-40.0,1.08,1.08,1.0,4.0,0.543513222
21,12.0,11.0,-40.0,1.08,1.08,1.0,5.0,0.54360179
22,12.0,11.0,-40.0,1.08,1.08,1.0,6.0,0.54364835
23,12.0,11.0,-40.0,1.08,1.08,1.0,7.0,0.543678665
24,12.0,11.0,-40.0,1.08,1.08,1.0,8.0,0.543714534
25,12.0,11.0,-40.0,1.08,1.08,1.0,9.0,0.54370938
26,12.0,11.0,-40.0,1.08,1.08,1.0,10.0,0.543731326
27,12.0,11.0,-40.0,1.08,1.08,1.0,11.0,0.543709388
28,12.0,11.0,-40.0,1.08,1.08,1.0,12.0,0.543686293
29,12.0,11.0,-40.0,1.08,1.08,1.0,13.0,0.543690999
30,12.0,11.0,-40.0,1.08,1.08,1.0,14.0,0.543709176
31,12.0,11.0,-40.0,1.08,1.08,1.0,15.0,0.54372767
32,12.0,11.0,-40.0,1.08,1.08,2.0,0.0,0.52987767
33,12.0,11.0,-40.0,1.08,1.08,2.0,1.0,0.537884196
34,12.0,11.0,-40.0,1.08,1.08,2.0,2.0,0.541691412
35,12.0,11.0,-40.0,1.08,1.08,2.0,3.0,0.542827458
36,12.0,11.0,-40.0,1.08,1.08,2.0,4.0,0.543362054
37,12.0,11.0,-40.0,1.08,1.08,2.0,5.0,0.543515146
38,12.0,11.0,-40.0,1.08,1.08,2.0,6.0,0.543610383
39,12.0,11.0,-40.0,1.08,1.08,2.0,7.0,0.543651912
40,12.0,11.0,-40.0,1.08,1.08,2.0,8.0,0.54369532
41,12.0,11.0,-40.0,1.08,1.08,2.0,9.0,0.543688798
42,12.0,11.0,-40.0,1.08,1.08,2.0,10.0,0.543703812
43,12.0,11.0,-40.0,1.08,1.08,2.0,11.0,0.543700883
44,12.0,11.0,-40.0,1.08,1.08,2.0,12.0,0.543707227
45,12.0,11.0,-40.0,1.08,1.08,2.0,13.0,0.543755017
46,12.0,11.0,-40.0,1.08,1.08,2.0,14.0,0.543749416
47,12.0,11.0,-40.0,1.08,1.08,2.0,15.0,0.543756236
48,12.0,11.0,-40.0,1.08,1.08,3.0,0.0,0.524593512
49,12.0,11.0,-40.0,1.08,1.08,3.0,1.0,0.534395714
50,12.0,11.0,-40.0,1.08,1.08,3.0,2.0,0.540434521
51,12.0,11.0,-40.0,1.08,1.08,3.0,3.0,0.542335017
52,12.0,11.0,-40.0,1.08,1.08,3.0,4.0,0.543195013
53,12.0,11.0,-40.0,1.08,1.08,3.0,5.0,0.543450484
54,12.0,11.0,-40.0,1.08,1.08,3.0,6.0,0.54361612
55,12.0,11.0,-40.0,1.08,1.08,3.0,7.0,0.543650609
56,12.0,11.0,-40.0,1.08,1.08,3.0,8.0,0.543702583
57,12.0,11.0,-40.0,1.08,1.08,3.0,9.0,0.543706178
58,12.0,11.0,-40.0,1.08,1.08,3.0,10.0,0.543699264
59,12.0,11.0,-40.0,1.08,1.08,3.0,11.0,0.543711463
60,12.0,11.0,-40.0,1.08,1.08,3.0,12.0,0.543723124
61,12.0,11.0,-40.0,1.08,1.08,3.0,13.0,0.543721742
62,12.0,11.0,-40.0,1.08,1.08,3.0,14.0,0.543733711
63,12.0,11.0,-40.0,1.08,1.08,3.0,15.0,0.543734392
64,12.0,11.0,-40.0,1.08,1.08,4.0,0.0,0.512854616
65,12.0,11.0,-40.0,1.08,1.08,4.0,1.0,0.524641279
66,12.0,11.0,-40.0,1.08,1.08,4.0,2.0,0.535091958
67,12.0,11.0,-40.0,1.08,1.08,4.0,3.0,0.540300068
68,12.0,11.0,-40.0,1.08,1.08,4.0,4.0,0.542662475
69,12.0,11.0,-40.0,1.08,1.08,4.0,5.0,0.54331377
70,12.0,11.0,-40.0,1.08,1.08,4.0,6.0,0.543592032
71,12.0,11.0,-40.0,1.08,1.08,4.0,7.0,0.543702133
72,12.0,11.0,-40.0,1.08,1.08,4.0,8.0,0.543798979
73,12.0,11.0,-40.0,1.08,1.08,4.0,9.0,0.54382971
74,12.0,11.0,-40.0,1.08,1.08,4.0,10.0,0.543831943
75,12.0,11.0,-40.0,1.08,1.08,4.0,11.0,0.54384986
76,12.0,11.0,-40.0,1.08,1.08,4.0,12.0,0.543851609
77,12.0,11.0,-40.0,1.08,1.08,4.0,13.0,0.543864737
78,12.0,11.0,-40.0,1.08,1.08,4.0,14.0,0.543892946
79,12.0,11.0,-40.0,1.08,1.08,4.0,15.0,0.543898003
80,12.0,11.0,-40.0,1.08,1.08,5.0,0.0,0.507501075
81,12.0,11.0,-40.0,1.08,1.08,5.0,1.0,0.519471268
82,12.0,11.0,-40.0,1.08,1.08,5.0,2.0,0.531348161
83,12.0,11.0,-40.0,1.08,1.08,5.0,3.0,0.538388468
84,12.0,11.0,-40.0,1.08,1.08,5.0,4.0,0.542112233
85,12.0,11.0,-40.0,1.08,1.08,5.0,5.0,0.543046851
86,12.0,11.0,-40.0,1.08,1.08,5.0,6.0,0.543458529
87,12.0,11.0,-40.0,1.08,1.08,5.0,7.0,0.543629773
88,12.0,11.0,-40.0,1.08,1.08,5.0,8.0,0.54374028
89,12.0,11.0,-40.0,1.08,1.08,5.0,9.0,0.54380561
90,12.0,11.0,-40.0,1.08,1.08,5.0,10.0,0.543842436
91,12.0,11.0,-40.0,1.08,1.08,5.0,11.0,0.543876917
92,12.0,11.0,-40.0,1.08,1.08,5.0,12.0,0.543894581
93,12.0,11.0,-40.0,1.08,1.08,5.0,13.0,0.543888839
94,12.0,11.0,-40.0,1.08,1.08,5.0,14.0,0.54387444
95,12.0,11.0,-40.0,1.08,1.08,5.0,15.0,0.543872192
96,12.0,11.0,-40.0,1.08,1.08,6.0,0.0,0.500257658
97,12.0,11.0,-40.0,1.08,1.08,6.0,1.0,0.512666159
98,12.0,11.0,-40.0,1.08,1.08,6.0,2.0,0.525368308
99,12.0,11.0,-40.0,1.08,1.08,6.0,3.0,0.534611274
100,12.0,11.0,-40.0,1.08,1.08,6.0,4.0,0.540845517
101,12.0,11.0,-40.0,1.08,1.08,6.0,5.0,0.542554068
102,12.0,11.0,-40.0,1.08,1.08,6.0,6.0,0.543279152
103,12.0,11.0,-40.0,1.08,1.08,6.0,7.0,0.543565724
104,12.0,11.0,-40.0,1.08,1.08,6.0,8.0,0.543783111
105,12.0,11.0,-40.0,1.08,1.08,6.0,9.0,0.54384144
106,12.0,11.0,-40.0,1.08,1.08,6.0,10.0,0.543847393
107,12.0,11.0,-40.0,1.08,1.08,6.0,11.0,0.543858955
108,12.0,11.0,-40.0,1.08,1.08,6.0,12.0,0.543872263
109,12.0,11.0,-40.0,1.08,1.08,6.0,13.0,0.543864817
110,12.0,11.0,-40.0,1.08,1.08,6.0,14.0,0.54387293
111,12.0,11.0,-40.0,1.08,1.08,6.0,15.0,0.543846472
112,12.0,11.0,-40.0,1.08,1.08,7.0,0.0,0.495145731
113,12.0,11.0,-40.0,1.08,1.08,7.0,1.0,0.507776281
114,12.0,11.0,-40.0,1.08,1.08,7.0,2.0,0.520827293
115,12.0,11.0,-40.0,1.08,1.08,7.0,3.0,0.5309431
116,12.0,11.0,-40.0,1.08,1.08,7.0,4.0,0.539359823
117,12.0,11.0,-40.0,1.08,1.08,7.0,5.0,0.541959518
118,12.0,11.0,-40.0,1.08,1.08,7.0,6.0,0.543059249
119,12.0,11.0,-40.0,1.08,1.08,7.0,7.0,0.543438337
120,12.0,11.0,-40.0,1.08,1.08,7.0,8.0,0.543676644
121,12.0,11.0,-40.0,1.08,1.08,7.0,9.0,0.543738494
122,12.0,11.0,-40.0,1.08,1.08,7.0,10.0,0.543778459
123,12.0,11.0,-40.0,1.08,1.08,7.0,11.0,0.543808661
124,12.0,11.0,-40.0,1.08,1.08,7.0,12.0,0.54382146
125,12.0,11.0,-40.0,1.08,1.08,7.0,13.0,0.543848599
126,12.0,11.0,-40.0,1.08,1.08,7.0,14.0,0.543858958
127,12.0,11.0,-40.0,1.08,1.08,7.0,15.0,0.543861344
128,12.0,11.0,-40.0,1.08,1.08,8.0,0.0,0.483223037
129,12.0,11.0,-40.0,1.08,1.08,8.0,1.0,0.495883897
130,12.0,11.0,-40.0,1.08,1.08,8.0,2.0,0.509586245
131,12.0,11.0,-40.0,1.08,1.08,8.0,3.0,0.5208901
132,12.0,11.0,-40.0,1.08,1.08,8.0,4.0,0.533018946
133,12.0,11.0,-40.0,1.08,1.08,8.0,5.0,0.539068611
134,12.0,11.0,-40.0,1.08,1.08,8.0,6.0,0.541976568
135,12.0,11.0,-40.0,1.08,1.08,8.0,7.0,0.542930891
136,12.0,11.0,-40.0,1.08,1.08,8.0,8.0,0.543457839
137,12.0,11.0,-40.0,1.08,1.08,8.0,9.0,0.543617911
138,12.0,11.0,-40.0,1.08,1.08,8.0,10.0,0.543727801
139,12.0,11.0,-40.0,1.08,1.08,8.0,11.0,0.543753805
140,12.0,11.0,-40.0,1.08,1.08,8.0,12.0,0.543793877
141,12.0,11.0,-40.0,1.08,1.08,8.0,13.0,0.543831546
142,12.0,11.0,-40.0,1.08,1.08,8.0,14.0,0.543843456
143,12.0,11.0,-40.0,1.08,1.08,8.0,15.0,0.543838842
144,12.0,11.0,-40.0,1.08,1.08,9.0,0.0,0.479176948
145,12.0,11.0,-40.0,1.08,1.08,9.0,1.0,0.491836513
146,12.0,11.0,-40.0,1.08,1.08,9.0,2.0,0.505447465
147,12.0,11.0,-40.0,1.08,1.08,9.0,3.0,0.516986916
148,12.0,11.0,-40.0,1.08,1.08,9.0,4.0,0.529983003
149,12.0,11.0,-40.0,1.08,1.08,9.0,5.0,0.537271142
150,12.0,11.0,-40.0,1.08,1.08,9.0,6.0,0.541264884
151,12.0,11.0,-40.0,1.08,1.08,9.0,7.0,0.54263866
152,12.0,11.0,-40.0,1.08,1.08,9.0,8.0,0.543351878
153,12.0,11.0,-40.0,1.08,1.08,9.0,9.0,0.543545348
154,12.0,11.0,-40.0,1.08,1.08,9.0,10.0,0.543666471
155,12.0,11.0,-40.0,1.08,1.08,9.0,11.0,0.543726987
156,12.0,11.0,-40.0,1.08,1.08,9.0,12.0,0.543775473
157,12.0,11.0,-40.0,1.08,1.08,9.0,13.0,0.543806048
158,12.0,11.0,-40.0,1.08,1.08,9.0,14.0,0.543836265
159,12.0,11.0,-40.0,1.08,1.08,9.0,15.0,0.543856438
160,12.0,11.0,-40.0,1.08,1.08,10.0,0.0,0.473818659
161,12.0,11.0,-40.0,1.08,1.08,10.0,1.0,0.486363819
162,12.0,11.0,-40.0,1.08,1.08,10.0,2.0,0.499927041
163,12.0,11.0,-40.0,1.08,1.08,10.0,3.0,0.511803004
164,12.0,11.0,-40.0,1.08,1.08,10.0,4.0,0.525508073
165,12.0,11.0,-40.0,1.08,1.08,10.0,5.0,0.534230462
166,12.0,11.0,-40.0,1.08,1.08,10.0,6.0,0.539981934
167,12.0,11.0,-40.0,1.08,1.08,10.0,7.0,0.542117346
168,12.0,11.0,-40.0,1.08,1.08,10.0,8.0,0.543202671
169,12.0,11.0,-40.0,1.08,1.08,10.0,9.0,0.543522776
170,12.0,11.0,-40.0,1.08,1.08,10.0,10.0,0.543705189
171,12.0,11.0,-40.0,1.08,1.08,10.0,11.0,0.543778326
172,12.0,11.0,-40.0,1.08,1.08,10.0,12.0,0.543815211
173,12.0,11.0,-40.0,1.08,1.08,10.0,13.0,0.543815228
174,12.0,11.0,-40.0,1.08,1.08,10.0,14.0,0.543811932
175,12.0,11.0,-40.0,1.08,1.08,10.0,15.0,0.543810768
176,12.0,11.0,-40.0,1.08,1.08,11.0,0.0,0.470000412
177,12.0,11.0,-40.0,1.08,1.08,11.0,1.0,0.482515945
178,12.0,11.0,-40.0,1.08,1.08,11.0,2.0,0.496162649
179,12.0,11.0,-40.0,1.08,1.08,11.0,3.0,0.507999176
180,12.0,11.0,-40.0,1.08,1.08,11.0,4.0,0.521931056
181,12.0,11.0,-40.0,1.08,1.08,11.0,5.0,0.531423764
182,12.0,11.0,-40.0,1.08,1.08,11.0,6.0,0.538615236
183,12.0,11.0,-40.0,1.08,1.08,11.0,7.0,0.541536558
184,12.0,11.0,-40.0,1.08,1.08,11.0,8.0,0.542965643
185,12.0,11.0,-40.0,1.08,1.08,11.0,9.0,0.543372738
186,12.0,11.0,-40.0,1.08,1.08,11.0,10.0,0.543578783
187,12.0,11.0,-40.0,1.08,1.08,11.0,11.0,0.543681536
188,12.0,11.0,-40.0,1.08,1.08,11.0,12.0,0.543741378
189,12.0,11.0,-40.0,1.08,1.08,11.0,13.0,0.543793239
190,12.0,11.0,-40.0,1.08,1.08,11.0,14.0,0.543829724
191,12.0,11.0,-40.0,1.08,1.08,11.0,15.0,0.543823987
192,12.0,11.0,-40.0,1.08,1.08,12.0,0.0,0.463169699
193,12.0,11.0,-40.0,1.08,1.08,12.0,1.0,0.475605715
194,12.0,11.0,-40.0,1.08,1.08,12.0,2.0,0.489617696
195,12.0,11.0,-40.0,1.08,1.08,12.0,3.0,0.501309934
196,12.0,11.0,-40.0,1.08,1.08,12.0,4.0,0.515706015
197,12.0,11.0,-40.0,1.08,1.08,12.0,5.0,0.526042378
198,12.0,11.0,-40.0,1.08,1.08,12.0,6.0,0.535174566
199,12.0,11.0,-40.0,1.08,1.08,12.0,7.0,0.539925187
200,12.0,11.0,-40.0,1.08,1.08,12.0,8.0,0.542457814
201,12.0,11.0,-40.0,1.08,1.08,12.0,9.0,0.543121495
202,12.0,11.0,-40.0,1.08,1.08,12.0,10.0,0.543449533
203,12.0,11.0,-40.0,1.08,1.08,12.0,11.0,0.543601765
