,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,15.0,14.0,-20.0,1.0798,1.08,0.0,0.0,0.577274756
1,15.0,14.0,-20.0,1.0798,1.08,0.0,1.0,0.581710127
2,15.0,14.0,-20.0,1.0798,1.08,0.0,2.0,0.585143089
3,15.0,14.0,-20.0,1.0798,1.08,0.0,3.0,0.587443783
4,15.0,14.0,-20.0,1.0798,1.08,0.0,4.0,0.590107557
5,15.0,14.0,-20.0,1.0798,1.08,0.0,5.0,0.591621656
6,15.0,14.0,-20.0,1.0798,1.08,0.0,6.0,0.592967054
7,15.0,14.0,-20.0,1.0798,1.08,0.0,7.0,0.594760817
8,15.0,14.0,-20.0,1.0798,1.08,0.0,8.0,0.596964182
9,15.0,14.0,-20.0,1.0798,1.08,0.0,9.0,0.597652497
10,15.0,14.0,-20.0,1.0798,1.08,0.0,10.0,0.597993028
11,15.0,14.0,-20.0,1.0798,1.08,0.0,11.0,0.59814792
12,15.0,14.0,-20.0,1.0798,1.08,0.0,12.0,0.598234908
13,15.0,14.0,-20.0,1.0798,1.08,0.0,13.0,0.598257419
14,15.0,14.0,-20.0,1.0798,1.08,0.0,14.0,0.598268179
15,15.0,14.0,-20.0,1.0798,1.08,0.0,15.0,0.59828547
16,15.0,14.0,-20.0,1.0798,1.08,1.0,0.0,0.572912132
17,15.0,14.0,-20.0,1.0798,1.08,1.0,1.0,0.578886321
18,15.0,14.0,-20.0,1.0798,1.08,1.0,2.0,0.583307275
19,15.0,14.0,-20.0,1.0798,1.08,1.0,3.0,0.586207733
20,15.0,14.0,-20.0,1.0798,1.08,1.0,4.0,0.589100507
21,15.0,14.0,-20.0,1.0799,1.08,1.0,5.0,0.590869365
22,15.0,14.0,-20.0,1.0798,1.08,1.0,6.0,0.592433984
23,15.0,14.0,-20.0,1.0798,1.08,1.0,7.0,0.593618286
24,15.0,14.0,-20.0,1.0798,1.08,1.0,8.0,0.596382934
25,15.0,14.0,-20.0,1.0798,1.08,1.0,9.0,0.597199998
26,15.0,14.0,-20.0,1.0799,1.08,1.0,10.0,0.597643506
27,15.0,14.0,-20.0,1.0798,1.08,1.0,11.0,0.59794786
28,15.0,14.0,-20.0,1.0798,1.08,1.0,12.0,0.598121023
29,15.0,14.0,-20.0,1.0798,1.08,1.0,13.0,0.598165852
30,15.0,14.0,-20.0,1.0798,1.08,1.0,14.0,0.598187958
31,15.0,14.0,-20.0,1.0799,1.08,1.0,15.0,0.598185039
32,15.0,14.0,-20.0,1.0798,1.08,2.0,0.0,0.564410378
33,15.0,14.0,-20.0,1.0798,1.08,2.0,1.0,0.573632581
34,15.0,14.0,-20.0,1.0798,1.08,2.0,2.0,0.579754072
35,15.0,14.0,-20.0,1.0799,1.08,2.0,3.0,0.559556311
36,15.0,14.0,-20.0,1.08,1.08,2.0,4.0,0.552961975
37,15.0,14.0,-20.0,1.08,1.08,2.0,5.0,0.555747553
38,15.0,14.0,-20.0,1.08,1.08,2.0,6.0,0.556902608
39,15.0,14.0,-20.0,1.08,1.08,2.0,7.0,0.585553555
40,15.0,14.0,-20.0,1.0798,1.08,2.0,8.0,0.594677206
41,15.0,14.0,-20.0,1.0798,1.08,2.0,9.0,0.596185243
42,15.0,14.0,-20.0,1.0799,1.08,2.0,10.0,0.597135671
43,15.0,14.0,-20.0,1.0798,1.08,2.0,11.0,0.597522433
44,15.0,14.0,-20.0,1.0799,1.08,2.0,12.0,0.597761723
45,15.0,14.0,-20.0,1.0799,1.08,2.0,13.0,0.597869508
46,15.0,14.0,-20.0,1.0798,1.08,2.0,14.0,0.597886449
47,15.0,14.0,-20.0,1.0798,1.08,2.0,15.0,0.597962156
48,15.0,14.0,-20.0,1.0799,1.08,3.0,0.0,0.557188155
49,15.0,14.0,-20.0,1.0798,1.08,3.0,1.0,0.568474071
50,15.0,14.0,-20.0,1.0798,1.08,3.0,2.0,0.576856618
51,15.0,14.0,-20.0,1.0798,1.08,3.0,3.0,0.581259419
52,15.0,14.0,-20.0,1.0799,1.08,3.0,4.0,0.58543208
53,15.0,14.0,-20.0,1.0797,1.08,3.0,5.0,0.587834211
54,15.0,14.0,-20.0,1.0799,1.08,3.0,6.0,0.590052918
