,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,10.0,9.0,50.0,1.08,1.08,0.0,0.0,0.579257977
1,10.0,9.0,50.0,1.08,1.08,0.0,1.0,0.587973413
2,10.0,9.0,50.0,1.08,1.08,0.0,2.0,0.59349959
3,10.0,9.0,50.0,1.08,1.08,0.0,3.0,0.595481437
4,10.0,9.0,50.0,1.08,1.08,0.0,4.0,0.596609831
5,10.0,9.0,50.0,1.08,1.08,0.0,5.0,0.596956997
6,10.0,9.0,50.0,1.08,1.08,0.0,6.0,0.597153195
7,10.0,9.0,50.0,1.08,1.08,0.0,7.0,0.597243332
8,10.0,9.0,50.0,1.08,1.08,0.0,8.0,0.59734403
9,10.0,9.0,50.0,1.08,1.08,0.0,9.0,0.597365152
10,10.0,9.0,50.0,1.08,1.08,0.0,10.0,0.597381691
11,10.0,9.0,50.0,1.08,1.08,0.0,11.0,0.597369754
12,10.0,9.0,50.0,1.08,1.08,0.0,12.0,0.597357458
13,10.0,9.0,50.0,1.08,1.08,0.0,13.0,0.597327339
14,10.0,9.0,50.0,1.08,1.08,0.0,14.0,0.597329124
15,10.0,9.0,50.0,1.08,1.08,0.0,15.0,0.597333964
16,10.0,9.0,50.0,1.08,1.08,1.0,0.0,0.568844918
17,10.0,9.0,50.0,1.08,1.08,1.0,1.0,0.580082718
18,10.0,9.0,50.0,1.08,1.08,1.0,2.0,0.58942239
19,10.0,9.0,50.0,1.08,1.08,1.0,3.0,0.593484706
20,10.0,9.0,50.0,1.08,1.08,1.0,4.0,0.595804738
21,10.0,9.0,50.0,1.08,1.08,1.0,5.0,0.596445089
22,10.0,9.0,50.0,1.08,1.08,1.0,6.0,0.59682323
23,10.0,9.0,50.0,1.08,1.08,1.0,7.0,0.597011167
24,10.0,9.0,50.0,1.08,1.08,1.0,8.0,0.597155134
25,10.0,9.0,50.0,1.08,1.08,1.0,9.0,0.597213021
26,10.0,9.0,50.0,1.08,1.08,1.0,10.0,0.597248126
27,10.0,9.0,50.0,1.08,1.08,1.0,11.0,0.597259713
28,10.0,9.0,50.0,1.08,1.08,1.0,12.0,0.597267233
29,10.0,9.0,50.0,1.08,1.08,1.0,13.0,0.59726578
30,10.0,9.0,50.0,1.08,1.08,1.0,14.0,0.597264404
31,10.0,9.0,50.0,1.08,1.08,1.0,15.0,0.597252641
32,10.0,9.0,50.0,1.08,1.08,2.0,0.0,0.554273712
