,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,9.0,8.0,-30.0,1.08,1.08,0.0,0.0,0.548460973
1,9.0,8.0,-30.0,1.08,1.08,0.0,1.0,0.548976004
2,9.0,8.0,-30.0,1.08,1.08,0.0,2.0,0.549222022
3,9.0,8.0,-30.0,1.08,1.08,0.0,3.0,0.549290318
4,9.0,8.0,-30.0,1.08,1.08,0.0,4.0,0.54933339
5,9.0,8.0,-30.0,1.08,1.08,0.0,5.0,0.549343175
6,9.0,8.0,-30.0,1.08,1.08,0.0,6.0,0.549345497
7,9.0,8.0,-30.0,1.08,1.08,0.0,7.0,0.549336798
8,9.0,8.0,-30.0,1.08,1.08,0.0,8.0,0.549336291
9,9.0,8.0,-30.0,1.08,1.08,0.0,9.0,0.549337236
10,9.0,8.0,-30.0,1.08,1.08,0.0,10.0,0.549364752
11,9.0,8.0,-30.0,1.08,1.08,0.0,11.0,0.549370431
12,9.0,8.0,-30.0,1.08,1.08,0.0,12.0,0.549365782
13,9.0,8.0,-30.0,1.08,1.08,0.0,13.0,0.549353448
14,9.0,8.0,-30.0,1.08,1.08,0.0,14.0,0.549362749
15,9.0,8.0,-30.0,1.08,1.08,0.0,15.0,0.549371587
16,9.0,8.0,-30.0,1.08,1.08,1.0,0.0,0.547738202
17,9.0,8.0,-30.0,1.08,1.08,1.0,1.0,0.54864389
18,9.0,8.0,-30.0,1.08,1.08,1.0,2.0,0.549072413
19,9.0,8.0,-30.0,1.08,1.08,1.0,3.0,0.549244145
20,9.0,8.0,-30.0,1.08,1.08,1.0,4.0,0.549363354
21,9.0,8.0,-30.0,1.08,1.08,1.0,5.0,0.549402965
22,9.0,8.0,-30.0,1.08,1.08,1.0,6.0,0.549397655
23,9.0,8.0,-30.0,1.08,1.08,1.0,7.0,0.549390279
24,9.0,8.0,-30.0,1.08,1.08,1.0,8.0,0.549397205
25,9.0,8.0,-30.0,1.08,1.08,1.0,9.0,0.549393503
26,9.0,8.0,-30.0,1.08,1.08,1.0,10.0,0.549405564
27,9.0,8.0,-30.0,1.08,1.08,1.0,11.0,0.549401206
