TP,slope,intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32)
1,0.0588690250000002,0.502235753666666,10.2286526772255,0.564488298,0.575530589,0.578616864
2,0.129473275,0.446318900333334,21.2496687095993,0.582345703,0.609295499,0.613419289
3,0.169175345833333,0.40779194,27.1471603342582,0.584313095,0.623178792,0.624915178
4,0.0813180291666667,0.496760707666667,13.8501206314032,0.581176004,0.601158693,0.600692331
5,0.0470922249999994,0.506799260000001,8.32707667992914,0.556548178,0.5655313,0.567850312
6,0.113260341666666,0.459266031,18.8377453333733,0.578555673,0.601241495,0.605738155
7,0.0616149458333333,0.506800149333333,10.5494837248372,0.571685081,0.584056504,0.586472668
8,0.179346270833333,0.397301984333334,28.651648140785,0.584277479,0.625954465,0.627320584
9,0.175752108333333,0.400845188333333,28.1538446878963,0.584403247,0.624256155,0.626583753
10,0.0992499458333337,0.476949880666666,16.4805114256573,0.581051666,0.602226128,0.604871653
11,0.152647533333333,0.422799346333334,24.8063785904095,0.582968887,0.615355977,0.619604295
12,0.0836181500000001,0.488021024333333,14.0926238527068,0.575836567,0.593346923,0.595904923
13,0.083168866666667,0.489755151999999,13.9939341898938,0.577196006,0.594320836,0.597156534
14,0.0800150833333338,0.459971428999999,14.3474086121513,0.545533928,0.557697111,0.564737548
15,0.0721868999999997,0.482124701333334,12.640867540262,0.558931195,0.571059698,0.576256051
16,0.0900160166666667,0.462616814,15.7193081441362,0.558829042,0.572646174,0.580432886
