TP,slope,intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32)
1,0.00994388333333324,0.478131012666667,3.19533586904279,0.488011034,0.491782418,0.490397566
2,0.0278378249999995,0.486064589000001,5.34334676695647,0.515373896,0.520981067,0.522054974
3,0.00907402916666672,0.516087840666667,2.43521992185572,0.525221514,0.528309232,0.527399281
4,-0.0176955749999998,0.537680225333333,3.420733550859,0.518140013,0.517303518,0.513893075
5,0.0211824624999998,0.446487820666667,4.48772821687613,0.469313975,0.472008586,0.474397766
6,0.042757208333334,0.454422720999999,8.4258426022422,0.499739589,0.507453205,0.510001319
7,0.0206387583333333,0.468167304666667,4.17943416504365,0.490015548,0.493817046,0.49496885
8,0.0081188708333329,0.525754279666667,3.55277350845287,0.533318571,0.537905103,0.5352671
9,0.0154506416666673,0.513659223999999,3.68855335020575,0.52938785,0.534116128,0.533096004
10,0.0124654166666666,0.502434146333333,2.40484507991053,0.515420153,0.518345933,0.518411853
11,0.039526566666667,0.477946142333333,7.49272588780164,0.519557579,0.527532533,0.529043955
12,0.0178185874999997,0.483360257000001,3.52293827058139,0.502081776,0.505787673,0.506358237
13,0.0138955625000002,0.489215802,2.7433994093277,0.503913792,0.506508912,0.507248727
14,0.0938426541666668,0.348233943333333,20.3017543197882,0.448887005,0.462239138,0.471409242
15,0.0494119291666667,0.425269401,10.1773651812709,0.478162108,0.485508069,0.490020971
16,0.0730710541666666,0.393413846666667,15.1540313759759,0.471785701,0.48218888,0.489322754
