,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,12.0,11.0,30.0,1.08,1.08,0.0,0.0,0.564251779
1,12.0,11.0,30.0,1.08,1.08,0.0,1.0,0.573656022
2,12.0,11.0,30.0,1.08,1.08,0.0,2.0,0.58037079
3,12.0,11.0,30.0,1.08,1.08,0.0,3.0,0.583035846
4,12.0,11.0,30.0,1.08,1.08,0.0,4.0,0.584515507
5,12.0,11.0,30.0,1.08,1.08,0.0,5.0,0.584952406
6,12.0,11.0,30.0,1.08,1.08,0.0,6.0,0.585205177
7,12.0,11.0,30.0,1.08,1.08,0.0,7.0,0.585303824
8,12.0,11.0,30.0,1.08,1.08,0.0,8.0,0.585406957
9,12.0,11.0,30.0,1.08,1.08,0.0,9.0,0.585463562
10,12.0,11.0,30.0,1.08,1.08,0.0,10.0,0.585465429
11,12.0,11.0,30.0,1.08,1.08,0.0,11.0,0.585473314
12,12.0,11.0,30.0,1.08,1.08,0.0,12.0,0.585474621
13,12.0,11.0,30.0,1.08,1.08,0.0,13.0,0.585446232
14,12.0,11.0,30.0,1.08,1.08,0.0,14.0,0.585440538
15,12.0,11.0,30.0,1.08,1.08,0.0,15.0,0.585442431
16,12.0,11.0,30.0,1.08,1.08,1.0,0.0,0.554699199
17,12.0,11.0,30.0,1.08,1.08,1.0,1.0,0.565935552
18,12.0,11.0,30.0,1.08,1.08,1.0,2.0,0.575847946
19,12.0,11.0,30.0,1.08,1.08,1.0,3.0,0.580743774
20,12.0,11.0,30.0,1.08,1.08,1.0,4.0,0.583664191
21,12.0,11.0,30.0,1.08,1.08,1.0,5.0,0.584490496
22,12.0,11.0,30.0,1.08,1.08,1.0,6.0,0.584982921
23,12.0,11.0,30.0,1.08,1.08,1.0,7.0,0.585220238
24,12.0,11.0,30.0,1.08,1.08,1.0,8.0,0.585384169
25,12.0,11.0,30.0,1.08,1.08,1.0,9.0,0.585423717
26,12.0,11.0,30.0,1.08,1.08,1.0,10.0,0.585458935
27,12.0,11.0,30.0,1.08,1.08,1.0,11.0,0.585495912
28,12.0,11.0,30.0,1.08,1.08,1.0,12.0,0.585490703
29,12.0,11.0,30.0,1.08,1.08,1.0,13.0,0.585520883
30,12.0,11.0,30.0,1.08,1.08,1.0,14.0,0.585539468
31,12.0,11.0,30.0,1.08,1.08,1.0,15.0,0.585508622
32,12.0,11.0,30.0,1.08,1.08,2.0,0.0,0.54201201
33,12.0,11.0,30.0,1.08,1.08,2.0,1.0,0.55414302
34,12.0,11.0,30.0,1.08,1.08,2.0,2.0,0.566675039
35,12.0,11.0,30.0,1.08,1.08,2.0,3.0,0.574976584
36,12.0,11.0,30.0,1.08,1.08,2.0,4.0,0.581499971
37,12.0,11.0,30.0,1.08,1.08,2.0,5.0,0.583466019
38,12.0,11.0,30.0,1.08,1.08,2.0,6.0,0.584464639
39,12.0,11.0,30.0,1.08,1.08,2.0,7.0,0.584883431
40,12.0,11.0,30.0,1.08,1.08,2.0,8.0,0.585192134
41,12.0,11.0,30.0,1.08,1.08,2.0,9.0,0.58529199
42,12.0,11.0,30.0,1.08,1.08,2.0,10.0,0.585355148
43,12.0,11.0,30.0,1.08,1.08,2.0,11.0,0.585370087
44,12.0,11.0,30.0,1.08,1.08,2.0,12.0,0.585413272
45,12.0,11.0,30.0,1.08,1.08,2.0,13.0,0.58544494
46,12.0,11.0,30.0,1.08,1.08,2.0,14.0,0.585453199
47,12.0,11.0,30.0,1.08,1.08,2.0,15.0,0.58544788
48,12.0,11.0,30.0,1.08,1.08,3.0,0.0,0.533058953
49,12.0,11.0,30.0,1.08,1.08,3.0,1.0,0.545476348
50,12.0,11.0,30.0,1.08,1.08,3.0,2.0,0.558919679
51,12.0,11.0,30.0,1.08,1.08,3.0,3.0,0.568808454
52,12.0,11.0,30.0,1.08,1.08,3.0,4.0,0.578513181
53,12.0,11.0,30.0,1.08,1.08,3.0,5.0,0.581989408
54,12.0,11.0,30.0,1.08,1.08,3.0,6.0,0.583789513
55,12.0,11.0,30.0,1.08,1.08,3.0,7.0,0.584519582
56,12.0,11.0,30.0,1.08,1.08,3.0,8.0,0.585020883
57,12.0,11.0,30.0,1.08,1.08,3.0,9.0,0.585181899
58,12.0,11.0,30.0,1.08,1.08,3.0,10.0,0.585311373
59,12.0,11.0,30.0,1.08,1.08,3.0,11.0,0.585358106
60,12.0,11.0,30.0,1.08,1.08,3.0,12.0,0.585399075
61,12.0,11.0,30.0,1.08,1.08,3.0,13.0,0.585403107
62,12.0,11.0,30.0,1.08,1.08,3.0,14.0,0.585429899
63,12.0,11.0,30.0,1.08,1.08,3.0,15.0,0.585442227
64,12.0,11.0,30.0,1.08,1.08,4.0,0.0,0.516962681
65,12.0,11.0,30.0,1.08,1.08,4.0,1.0,0.52959256
66,12.0,11.0,30.0,1.08,1.08,4.0,2.0,0.543634987
67,12.0,11.0,30.0,1.08,1.08,4.0,3.0,0.555048824
68,12.0,11.0,30.0,1.08,1.08,4.0,4.0,0.568888109
69,12.0,11.0,30.0,1.08,1.08,4.0,5.0,0.576226769
70,12.0,11.0,30.0,1.08,1.08,4.0,6.0,0.581202377
71,12.0,11.0,30.0,1.08,1.08,4.0,7.0,0.583226305
