,Vin,Vin_real,Vout,temp
0,0.0,0.0,-0.000165476645,30.0
1,0.01,0.01,-0.000163919061,30.0
2,0.02,0.02,-0.000159517792,30.0
3,0.03,0.03,-0.000163097705,30.0
4,0.04,0.04,-0.000160306938,30.0
5,0.05,0.05,-0.000156503855,30.0
6,0.06,0.06,-0.000148159161,30.0
7,0.07,0.07,-0.000146182847,30.0
8,0.08,0.08,-0.000137559766,30.0
9,0.09,0.09,-0.000125609851,30.0
10,0.1,0.1,-0.000112058638,30.0
11,0.11,0.11,-9.66898599e-05,30.0
12,0.12,0.12,-7.13750898e-05,30.0
13,0.13,0.13,-4.03637487e-05,30.0
14,0.14,0.14,-2.40884889e-06,30.0
15,0.15,0.15,4.66055892e-05,30.0
16,0.16,0.16,0.000118328087,30.0
17,0.17,0.17,0.00021193959,30.0
18,0.18,0.18,0.000338720505,30.0
19,0.19,0.19,0.000520168715,30.0
20,0.2,0.2,0.00076412966,30.0
21,0.21,0.21,0.00109709378,30.0
22,0.22,0.22,0.00152298838,30.0
23,0.23,0.23,0.00207960733,30.0
24,0.24,0.24,0.00278382176,30.0
25,0.25,0.25,0.00366250404,30.0
26,0.26,0.26,0.00476002804,30.0
27,0.27,0.27,0.006097351,30.0
28,0.28,0.28,0.00770650578,30.0
29,0.29,0.29,0.00960419555,30.0
30,0.3,0.3,0.0118108415,30.0
31,0.31,0.31,0.0143221849,30.0
32,0.32,0.32,0.0171552052,30.0
33,0.33,0.33,0.0202669387,30.0
34,0.34,0.34,0.0236293052,30.0
35,0.35000000000000003,0.35,0.0271049935,30.0
36,0.36,0.36,0.030534603,30.0
37,0.37,0.37,0.0335222521,30.0
38,0.38,0.38,0.0359553298,30.0
39,0.39,0.39,0.0379353645,30.0
40,0.4,0.4,0.0399729515,30.0
41,0.41000000000000003,0.41,0.042181254,30.0
42,0.42,0.42,0.0447631236,30.0
43,0.43,0.43,0.0477725995,30.0
44,0.44,0.44,0.0512187972,30.0
45,0.45,0.45,0.0551912375,30.0
46,0.46,0.46,0.0597450985,30.0
47,0.47000000000000003,0.47,0.0648881865,30.0
48,0.48,0.48,0.0705720875,30.0
49,0.49,0.49,0.0768312961,30.0
50,0.5,0.5,0.0837099862,30.0
51,0.51,0.51,0.0891306693,30.0
52,0.52,0.52,0.0913657267,30.0
53,0.53,0.53,0.0930971852,30.0
54,0.54,0.54,0.0946489027,30.0
55,0.55,0.55,0.0960235732,30.0
56,0.56,0.56,0.0973378361,30.0
57,0.5700000000000001,0.57,0.0986414305,30.0
58,0.58,0.58,0.0998853675,30.0
59,0.59,0.59,0.10108063,30.0
60,0.6,0.6,0.102395837,30.0
61,0.61,0.61,0.103572613,30.0
62,0.62,0.62,0.104753833,30.0
63,0.63,0.63,0.105877413,30.0
64,0.64,0.64,0.107114408,30.0
65,0.65,0.65,0.108359935,30.0
66,0.66,0.66,0.109545933,30.0
67,0.67,0.67,0.110799883,30.0
68,0.68,0.68,0.112110614,30.0
69,0.6900000000000001,0.69,0.113309397,30.0
70,0.7000000000000001,0.7,0.114492066,30.0
71,0.71,0.71,0.115787872,30.0
72,0.72,0.72,0.117015003,30.0
73,0.73,0.73,0.118296768,30.0
74,0.74,0.74,0.119573449,30.0
75,0.75,0.75,0.120732862,30.0
76,0.76,0.76,0.121893179,30.0
77,0.77,0.77,0.123060592,30.0
78,0.78,0.78,0.124374377,30.0
79,0.79,0.79,0.125685741,30.0
80,0.8,0.8,0.126992641,30.0
81,0.81,0.81,0.128309394,30.0
82,0.8200000000000001,0.82,0.129693801,30.0
83,0.8300000000000001,0.83,0.131073181,30.0
84,0.84,0.84,0.132530725,30.0
85,0.85,0.85,0.134011033,30.0
86,0.86,0.86,0.135317409,30.0
87,0.87,0.87,0.136801934,30.0
88,0.88,0.88,0.138211076,30.0
89,0.89,0.89,0.139665917,30.0
90,0.9,0.9,0.141137777,30.0
91,0.91,0.91,0.142636164,30.0
92,0.92,0.92,0.144091654,30.0
93,0.93,0.93,0.145572756,30.0
94,0.9400000000000001,0.94,0.147077391,30.0
95,0.9500000000000001,0.95,0.148510647,30.0
96,0.96,0.96,0.149947745,30.0
97,0.97,0.97,0.151379554,30.0
98,0.98,0.98,0.1528864,30.0
99,0.99,0.99,0.15434499,30.0
100,1.0,1.0,0.155863846,30.0
101,1.01,1.01,0.15728353,30.0
102,1.02,1.02,0.158766449,30.0
103,1.03,1.03,0.160200586,30.0
104,1.04,1.04,0.161729763,30.0
105,1.05,1.05,0.163233559,30.0
106,1.06,1.06,0.16487078,30.0
107,1.07,1.07,0.166630025,30.0
108,1.08,1.08,0.168577306,30.0
109,1.09,1.09,0.17029858,30.0
110,1.1,1.1,0.171934611,30.0
111,1.11,1.11,0.53308894,30.0
112,1.12,1.12,0.534681353,30.0
113,1.1300000000000001,1.13,0.536299319,30.0
114,1.1400000000000001,1.14,0.538101594,30.0
115,1.1500000000000001,1.15,0.539297165,30.0
116,1.16,1.16,0.540660164,30.0
117,1.17,1.17,0.542022137,30.0
118,1.18,1.18,0.543224084,30.0
119,1.19,1.19,0.544444841,30.0
120,1.2,1.2,0.54575583,30.0
121,1.21,1.21,0.546938589,30.0
122,1.22,1.22,0.548040157,30.0
123,1.23,1.23,0.548974073,30.0
124,1.24,1.24,0.550022776,30.0
125,1.25,1.25,0.550770168,30.0
126,1.26,1.26,0.551696553,30.0
127,1.27,1.27,0.552849589,30.0
128,1.28,1.28,0.55355638,30.0
129,1.29,1.29,0.554566376,30.0
130,1.3,1.3,0.555459417,30.0
131,1.31,1.31,0.556126169,30.0
132,1.32,1.32,0.556786055,30.0
