,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,16.0,15.0,-40.0,1.08,1.08,0.0,0.0,0.515380815
1,16.0,15.0,-40.0,1.08,1.08,0.0,1.0,0.527837447
2,16.0,15.0,-40.0,1.08,1.08,0.0,2.0,0.538242318
3,16.0,15.0,-40.0,1.08,1.08,0.0,3.0,0.542168061
4,16.0,15.0,-40.0,1.08,1.08,0.0,4.0,0.543763616
5,16.0,15.0,-40.0,1.08,1.08,0.0,5.0,0.544175321
6,16.0,15.0,-40.0,1.08,1.08,0.0,6.0,0.54435984
7,16.0,15.0,-40.0,1.08,1.08,0.0,7.0,0.54444218
8,16.0,15.0,-40.0,1.08,1.08,0.0,8.0,0.54451055
9,16.0,15.0,-40.0,1.08,1.08,0.0,9.0,0.544536181
10,16.0,15.0,-40.0,1.08,1.08,0.0,10.0,0.544570394
11,16.0,15.0,-40.0,1.08,1.08,0.0,11.0,0.544595306
12,16.0,15.0,-40.0,1.08,1.08,0.0,12.0,0.544593507
13,16.0,15.0,-40.0,1.08,1.08,0.0,13.0,0.544599998
14,16.0,15.0,-40.0,1.08,1.08,0.0,14.0,0.544559796
15,16.0,15.0,-40.0,1.08,1.08,0.0,15.0,0.544563901
16,16.0,15.0,-40.0,1.08,1.08,1.0,0.0,0.507755884
17,16.0,15.0,-40.0,1.08,1.08,1.0,1.0,0.520607816
18,16.0,15.0,-40.0,1.08,1.08,1.0,2.0,0.532946163
19,16.0,15.0,-40.0,1.08,1.08,1.0,3.0,0.53991868
20,16.0,15.0,-40.0,1.08,1.08,1.0,4.0,0.543149017
21,16.0,15.0,-40.0,1.08,1.08,1.0,5.0,0.543910917
22,16.0,15.0,-40.0,1.08,1.08,1.0,6.0,0.544241004
23,16.0,15.0,-40.0,1.08,1.08,1.0,7.0,0.544381222
24,16.0,15.0,-40.0,1.08,1.08,1.0,8.0,0.544473883
25,16.0,15.0,-40.0,1.08,1.08,1.0,9.0,0.544528061
26,16.0,15.0,-40.0,1.08,1.08,1.0,10.0,0.544552468
27,16.0,15.0,-40.0,1.08,1.08,1.0,11.0,0.544563082
28,16.0,15.0,-40.0,1.08,1.08,1.0,12.0,0.544579794
29,16.0,15.0,-40.0,1.08,1.08,1.0,13.0,0.54457103
30,16.0,15.0,-40.0,1.08,1.08,1.0,14.0,0.544582886
31,16.0,15.0,-40.0,1.08,1.08,1.0,15.0,0.544604835
32,16.0,15.0,-40.0,1.08,1.08,2.0,0.0,0.496999324
33,16.0,15.0,-40.0,1.08,1.08,2.0,1.0,0.510195846
34,16.0,15.0,-40.0,1.08,1.08,2.0,2.0,0.524024905
35,16.0,15.0,-40.0,1.08,1.08,2.0,3.0,0.534142162
36,16.0,15.0,-40.0,1.08,1.08,2.0,4.0,0.541412766
37,16.0,15.0,-40.0,1.08,1.08,2.0,5.0,0.543239776
38,16.0,15.0,-40.0,1.08,1.08,2.0,6.0,0.543994607
39,16.0,15.0,-40.0,1.08,1.08,2.0,7.0,0.544301414
40,16.0,15.0,-40.0,1.08,1.08,2.0,8.0,0.544459684
41,16.0,15.0,-40.0,1.08,1.08,2.0,9.0,0.544490647
42,16.0,15.0,-40.0,1.08,1.08,2.0,10.0,0.544528342
43,16.0,15.0,-40.0,1.08,1.08,2.0,11.0,0.544551285
44,16.0,15.0,-40.0,1.08,1.08,2.0,12.0,0.544571926
45,16.0,15.0,-40.0,1.08,1.08,2.0,13.0,0.544571684
46,16.0,15.0,-40.0,1.08,1.08,2.0,14.0,0.544529521
47,16.0,15.0,-40.0,1.08,1.08,2.0,15.0,0.544511349
48,16.0,15.0,-40.0,1.08,1.08,3.0,0.0,0.490430632
49,16.0,15.0,-40.0,1.08,1.08,3.0,1.0,0.503346656
50,16.0,15.0,-40.0,1.08,1.08,3.0,2.0,0.517613687
51,16.0,15.0,-40.0,1.08,1.08,3.0,3.0,0.528998651
52,16.0,15.0,-40.0,1.08,1.08,3.0,4.0,0.539208042
53,16.0,15.0,-40.0,1.08,1.08,3.0,5.0,0.542477796
54,16.0,15.0,-40.0,1.08,1.08,3.0,6.0,0.543677586
55,16.0,15.0,-40.0,1.08,1.08,3.0,7.0,0.544129863
56,16.0,15.0,-40.0,1.08,1.08,3.0,8.0,0.544366435
57,16.0,15.0,-40.0,1.08,1.08,3.0,9.0,0.544451836
58,16.0,15.0,-40.0,1.08,1.08,3.0,10.0,0.544496323
59,16.0,15.0,-40.0,1.08,1.08,3.0,11.0,0.544511681
60,16.0,15.0,-40.0,1.08,1.08,3.0,12.0,0.544522681
61,16.0,15.0,-40.0,1.08,1.08,3.0,13.0,0.5445543
62,16.0,15.0,-40.0,1.08,1.08,3.0,14.0,0.544581372
63,16.0,15.0,-40.0,1.08,1.08,3.0,15.0,0.544600114
64,16.0,15.0,-40.0,1.08,1.08,4.0,0.0,0.477470411
65,16.0,15.0,-40.0,1.08,1.08,4.0,1.0,0.49059942
66,16.0,15.0,-40.0,1.08,1.08,4.0,2.0,0.50482602
67,16.0,15.0,-40.0,1.08,1.08,4.0,3.0,0.516910491
68,16.0,15.0,-40.0,1.08,1.08,4.0,4.0,0.531139694
69,16.0,15.0,-40.0,1.08,1.08,4.0,5.0,0.538677425
70,16.0,15.0,-40.0,1.08,1.08,4.0,6.0,0.54240785
71,16.0,15.0,-40.0,1.08,1.08,4.0,7.0,0.543562571
72,16.0,15.0,-40.0,1.08,1.08,4.0,8.0,0.544130929
73,16.0,15.0,-40.0,1.08,1.08,4.0,9.0,0.544323364
74,16.0,15.0,-40.0,1.08,1.08,4.0,10.0,0.544459417
75,16.0,15.0,-40.0,1.08,1.08,4.0,11.0,0.544525641
76,16.0,15.0,-40.0,1.08,1.08,4.0,12.0,0.544570903
77,16.0,15.0,-40.0,1.08,1.08,4.0,13.0,0.544589034
78,16.0,15.0,-40.0,1.08,1.08,4.0,14.0,0.544590042
79,16.0,15.0,-40.0,1.08,1.08,4.0,15.0,0.544570182
80,16.0,15.0,-40.0,1.08,1.08,5.0,0.0,0.471498427
81,16.0,15.0,-40.0,1.08,1.08,5.0,1.0,0.484049375
