,Vin,Vin_real,Vout,temp
0,0.0,0.00078,0.00785875993,20.0
1,0.01,0.01078,0.00785944725,20.0
2,0.02,0.02077,0.00785928825,20.0
3,0.03,0.03086,0.00787132753,20.0
4,0.04,0.04071,0.00787370336,20.0
5,0.05,0.0508,0.00788089066,20.0
6,0.06,0.06071,0.00788162009,20.0
7,0.07,0.07067,0.007888121,20.0
8,0.08,0.08061,0.00789546984,20.0
9,0.09,0.09053,0.00790635308,20.0
10,0.1,0.10064,0.00792852961,20.0
11,0.11,0.11059,0.00795293216,20.0
12,0.12,0.12065,0.00797741088,20.0
13,0.13,0.13068,0.00799926572,20.0
14,0.14,0.14073,0.0080343481,20.0
15,0.15,0.15073,0.00809148759,20.0
16,0.16,0.16078,0.00814608581,20.0
17,0.17,0.17091,0.00821749406,20.0
18,0.18,0.18076,0.0083045586,20.0
19,0.19,0.19067,0.00839604022,20.0
20,0.2,0.20067,0.00849080198,20.0
21,0.21,0.21067,0.00860686058,20.0
22,0.22,0.2205,0.00871097263,20.0
23,0.23,0.2305,0.00881611347,20.0
24,0.24,0.2405,0.00892890574,20.0
25,0.25,0.2504,0.00903805592,20.0
26,0.26,0.2602,0.00913419025,20.0
27,0.27,0.2702,0.00924195797,20.0
28,0.28,0.2801,0.00933535705,20.0
29,0.29,0.29,0.00946745483,20.0
30,0.3,0.3002,0.00961629892,20.0
31,0.31,0.3104,0.00978096059,20.0
32,0.32,0.3205,0.00996709261,20.0
33,0.33,0.3305,0.0102238837,20.0
34,0.34,0.3406,0.0105101083,20.0
35,0.35000000000000003,0.3507,0.0108834759,20.0
36,0.36,0.3606,0.0113254573,20.0
37,0.37,0.3707,0.0118481776,20.0
38,0.38,0.381,0.0125250791,20.0
39,0.39,0.3911,0.013342996,20.0
40,0.4,0.4011,0.0144073788,20.0
41,0.41000000000000003,0.4112,0.0158786302,20.0
42,0.42,0.4214,0.0178798312,20.0
43,0.43,0.4315,0.0213371459,20.0
44,0.44,0.4417,0.0268983615,20.0
45,0.45,0.4517,0.0342085754,20.0
46,0.46,0.4618,0.0425674755,20.0
47,0.47000000000000003,0.4721,0.0510640005,20.0
48,0.48,0.4822,0.0601045808,20.0
49,0.49,0.4924,0.0693760039,20.0
50,0.5,0.5024,0.0784844169,20.0
51,0.51,0.5122,0.08763619,20.0
52,0.52,0.5219,0.0966612488,20.0
53,0.53,0.5313,0.103126926,20.0
54,0.54,0.541,0.106551413,20.0
55,0.55,0.5508,0.109793594,20.0
56,0.56,0.5605,0.112617267,20.0
57,0.5700000000000001,0.5702,0.115065786,20.0
58,0.58,0.5799,0.117044255,20.0
59,0.59,0.5897,0.118645564,20.0
60,0.6,0.5996,0.120210147,20.0
61,0.61,0.6097,0.121817954,20.0
62,0.62,0.6197,0.123436383,20.0
63,0.63,0.6299,0.125124214,20.0
64,0.64,0.6401,0.127083232,20.0
65,0.65,0.6501,0.128984007,20.0
66,0.66,0.6601,0.130997587,20.0
67,0.67,0.6702,0.133031957,20.0
68,0.68,0.6802,0.134718362,20.0
69,0.6900000000000001,0.69,0.136229157,20.0
70,0.7000000000000001,0.7001,0.137509265,20.0
71,0.71,0.7101,0.138960403,20.0
72,0.72,0.7199,0.142892457,20.0
73,0.73,0.73,0.145332047,20.0
74,0.74,0.7399,0.147347989,20.0
75,0.75,0.7501,0.149786523,20.0
76,0.76,0.76,0.152420652,20.0
77,0.77,0.7702,0.155533582,20.0
78,0.78,0.7803,0.158862524,20.0
79,0.79,0.7902,0.161337871,20.0
80,0.8,0.8003,0.163648131,20.0
81,0.81,0.8102,0.165111568,20.0
82,0.8200000000000001,0.8202,0.164615197,20.0
83,0.8300000000000001,0.8302,0.156097737,20.0
84,0.84,0.8401,0.155416749,20.0
85,0.85,0.8502,0.155379135,20.0
86,0.86,0.86,0.154560531,20.0
87,0.87,0.8701,0.158285697,20.0
88,0.88,0.8802,0.160913726,20.0
89,0.89,0.8901,0.162917542,20.0
90,0.9,0.9003,0.164820537,20.0
91,0.91,0.9103,0.166582567,20.0
92,0.92,0.9202,0.168395473,20.0
93,0.93,0.9303,0.169965064,20.0
94,0.9400000000000001,0.9403,0.171590924,20.0
95,0.9500000000000001,0.9502,0.173315311,20.0
96,0.96,0.9602,0.174899466,20.0
97,0.97,0.97,0.176514763,20.0
98,0.98,0.98,0.178094543,20.0
99,0.99,0.9901,0.179918642,20.0
100,1.0,1.0001,0.182194058,20.0
101,1.01,1.01,0.184493854,20.0
102,1.02,1.0201,0.186961627,20.0
103,1.03,1.0302,0.189146742,20.0
104,1.04,1.0401,0.191713067,20.0
105,1.05,1.0502,0.193942972,20.0
106,1.06,1.0602,0.196125843,20.0
107,1.07,1.07,0.561295803,20.0
108,1.08,1.0802,0.563798357,20.0
109,1.09,1.0901,0.566077531,20.0
110,1.1,1.1001,0.56770271,20.0
111,1.11,1.1099,0.56947607,20.0
112,1.12,1.12,0.571034476,20.0
113,1.1300000000000001,1.1299,0.572130187,20.0
114,1.1400000000000001,1.1398,0.573232557,20.0
115,1.1500000000000001,1.1501,0.574426521,20.0
116,1.16,1.1601,0.575470168,20.0
117,1.17,1.1701,0.576428433,20.0
118,1.18,1.1801,0.577341127,20.0
119,1.19,1.1901,0.57804257,20.0
120,1.2,1.2002,0.578846467,20.0
121,1.21,1.21,0.579543322,20.0
122,1.22,1.22,0.580309873,20.0
123,1.23,1.23,0.58102601,20.0
124,1.24,1.2401,0.581576307,20.0
125,1.25,1.25,0.582098068,20.0
126,1.26,1.2599,0.582956275,20.0
127,1.27,1.27,0.583578376,20.0
128,1.28,1.28,0.584140061,20.0
129,1.29,1.2898,0.584581659,20.0
130,1.3,1.2999,0.58504294,20.0
131,1.31,1.3098,0.58568323,20.0
132,1.32,1.3199,0.586197231,20.0
