,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.000888321115,-40.0,2.5
1,0.01,0.01,0.000886739378,-40.0,2.5
2,0.02,0.02,0.000890868829,-40.0,2.5
3,0.03,0.03,0.000891486889,-40.0,2.5
4,0.04,0.04,0.000891462038,-40.0,2.5
5,0.05,0.05,0.000890064615,-40.0,2.5
6,0.06,0.06,0.000893671499,-40.0,2.5
7,0.07,0.07,0.000896744771,-40.0,2.5
8,0.08,0.08,0.000894069809,-40.0,2.5
9,0.09,0.09,0.00089413907,-40.0,2.5
10,0.1,0.1,0.000895652006,-40.0,2.5
11,0.11,0.11,0.000897287357,-40.0,2.5
12,0.12,0.12,0.000898209154,-40.0,2.5
13,0.13,0.13,0.00090087123,-40.0,2.5
14,0.14,0.14,0.000901859758,-40.0,2.5
15,0.15,0.15,0.000903525943,-40.0,2.5
16,0.16,0.16,0.000902848056,-40.0,2.5
17,0.17,0.17,0.000907303334,-40.0,2.5
18,0.18,0.18,0.000906330684,-40.0,2.5
19,0.19,0.19,0.00090758176,-40.0,2.5
20,0.2,0.2,0.000909493927,-40.0,2.5
21,0.21,0.21,0.000912375752,-40.0,2.5
22,0.22,0.22,0.000915348699,-40.0,2.5
23,0.23,0.23,0.000922236179,-40.0,2.5
24,0.24,0.24,0.000923445377,-40.0,2.5
25,0.25,0.25,0.000935316915,-40.0,2.5
26,0.26,0.26,0.000942562208,-40.0,2.5
27,0.27,0.27,0.00095221347,-40.0,2.5
28,0.28,0.28,0.000960213964,-40.0,2.5
29,0.29,0.29,0.000967874135,-40.0,2.5
30,0.3,0.3,0.000981282999,-40.0,2.5
31,0.31,0.31,0.000991331651,-40.0,2.5
32,0.32,0.32,0.00100847074,-40.0,2.5
33,0.33,0.33,0.00103369844,-40.0,2.5
34,0.34,0.34,0.00106855487,-40.0,2.5
35,0.35000000000000003,0.35,0.00111763035,-40.0,2.5
36,0.36,0.36,0.00127779211,-40.0,2.5
37,0.37,0.37,0.00163773704,-40.0,2.5
38,0.38,0.38,0.0029171362,-40.0,2.5
39,0.39,0.39,0.00423513143,-40.0,2.5
40,0.4,0.4,0.00655659103,-40.0,2.5
41,0.41000000000000003,0.41,0.00900842195,-40.0,2.5
42,0.42,0.42,0.0124661913,-40.0,2.5
43,0.43,0.43,0.0161253712,-40.0,2.5
44,0.44,0.44,0.0200472042,-40.0,2.5
45,0.45,0.45,0.0248005995,-40.0,2.5
46,0.46,0.46,0.0304722772,-40.0,2.5
47,0.47000000000000003,0.47,0.036152839,-40.0,2.5
48,0.48,0.48,0.0427898928,-40.0,2.5
49,0.49,0.49,0.0500576124,-40.0,2.5
50,0.5,0.5,0.0582019479,-40.0,2.5
51,0.51,0.51,0.0673295192,-40.0,2.5
52,0.52,0.52,0.0772740003,-40.0,2.5
53,0.53,0.53,0.0880428388,-40.0,2.5
54,0.54,0.54,0.0996479819,-40.0,2.5
55,0.55,0.55,0.11053482,-40.0,2.5
56,0.56,0.56,0.118582534,-40.0,2.5
57,0.5700000000000001,0.57,0.126012447,-40.0,2.5
58,0.58,0.58,0.133346728,-40.0,2.5
59,0.59,0.59,0.140594633,-40.0,2.5
60,0.6,0.6,0.147867364,-40.0,2.5
61,0.61,0.61,0.155212316,-40.0,2.5
62,0.62,0.62,0.162664774,-40.0,2.5
63,0.63,0.63,0.170026742,-40.0,2.5
64,0.64,0.64,0.177518668,-40.0,2.5
65,0.65,0.65,0.184931834,-40.0,2.5
66,0.66,0.66,0.192598574,-40.0,2.5
67,0.67,0.67,0.200244886,-40.0,2.5
68,0.68,0.68,0.207930681,-40.0,2.5
69,0.6900000000000001,0.69,0.215682803,-40.0,2.5
70,0.7000000000000001,0.7,0.223496437,-40.0,2.5
71,0.71,0.71,0.231268894,-40.0,2.5
72,0.72,0.72,0.239078882,-40.0,2.5
73,0.73,0.73,0.24681968,-40.0,2.5
74,0.74,0.74,0.2542566,-40.0,2.5
75,0.75,0.75,0.261647681,-40.0,2.5
76,0.76,0.76,0.267603873,-40.0,2.5
77,0.77,0.77,0.271230103,-40.0,2.5
78,0.78,0.78,0.274061766,-40.0,2.5
79,0.79,0.79,0.276595693,-40.0,2.5
80,0.8,0.8,0.279079544,-40.0,2.5
81,0.81,0.81,0.281539289,-40.0,2.5
82,0.8200000000000001,0.82,0.283800103,-40.0,2.5
83,0.8300000000000001,0.83,0.286141699,-40.0,2.5
84,0.84,0.84,0.288605188,-40.0,2.5
85,0.85,0.85,0.290819208,-40.0,2.5
86,0.86,0.86,0.292990079,-40.0,2.5
87,0.87,0.87,0.295262027,-40.0,2.5
88,0.88,0.88,0.297447553,-40.0,2.5
89,0.89,0.89,0.300012576,-40.0,2.5
90,0.9,0.9,0.302242931,-40.0,2.5
91,0.91,0.91,0.304359391,-40.0,2.5
92,0.92,0.92,0.30639649,-40.0,2.5
93,0.93,0.93,0.413744411,-40.0,2.5
94,0.9400000000000001,0.94,0.422451053,-40.0,2.5
