,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.00119850233,30.0,2.5
1,0.01,0.01,0.00120383568,30.0,2.5
2,0.02,0.02,0.00120904524,30.0,2.5
3,0.03,0.03,0.00120967113,30.0,2.5
4,0.04,0.04,0.00121562415,30.0,2.5
5,0.05,0.05,0.00121895077,30.0,2.5
6,0.06,0.06,0.00121792289,30.0,2.5
7,0.07,0.07,0.00122600254,30.0,2.5
8,0.08,0.08,0.00123158027,30.0,2.5
9,0.09,0.09,0.00124195475,30.0,2.5
10,0.1,0.1,0.00125641933,30.0,2.5
11,0.11,0.11,0.00127196057,30.0,2.5
12,0.12,0.12,0.00129429863,30.0,2.5
13,0.13,0.13,0.00132054432,30.0,2.5
14,0.14,0.14,0.00135528799,30.0,2.5
15,0.15,0.15,0.00139905865,30.0,2.5
16,0.16,0.16,0.00145261104,30.0,2.5
17,0.17,0.17,0.00151785963,30.0,2.5
18,0.18,0.18,0.00160453254,30.0,2.5
19,0.19,0.19,0.00170517185,30.0,2.5
20,0.2,0.2,0.00182946151,30.0,2.5
21,0.21,0.21,0.00197726759,30.0,2.5
22,0.22,0.22,0.00216147133,30.0,2.5
23,0.23,0.23,0.00237283473,30.0,2.5
24,0.24,0.24,0.00261711961,30.0,2.5
25,0.25,0.25,0.00292020487,30.0,2.5
26,0.26,0.26,0.0032811855,30.0,2.5
27,0.27,0.27,0.00363161885,30.0,2.5
28,0.28,0.28,0.00409175785,30.0,2.5
29,0.29,0.29,0.00459495878,30.0,2.5
30,0.3,0.3,0.00507326198,30.0,2.5
31,0.31,0.31,0.00570650472,30.0,2.5
32,0.32,0.32,0.00621433259,30.0,2.5
33,0.33,0.33,0.00697458552,30.0,2.5
34,0.34,0.34,0.00801000031,30.0,2.5
35,0.35000000000000003,0.35,0.00926858885,30.0,2.5
36,0.36,0.36,0.0108567315,30.0,2.5
37,0.37,0.37,0.0125935743,30.0,2.5
38,0.38,0.38,0.0148992048,30.0,2.5
39,0.39,0.39,0.0176127241,30.0,2.5
40,0.4,0.4,0.0210004074,30.0,2.5
41,0.41000000000000003,0.41,0.0243900689,30.0,2.5
42,0.42,0.42,0.0283353108,30.0,2.5
43,0.43,0.43,0.0330421924,30.0,2.5
44,0.44,0.44,0.0384563908,30.0,2.5
45,0.45,0.45,0.0437117264,30.0,2.5
46,0.46,0.46,0.0500971558,30.0,2.5
47,0.47000000000000003,0.47,0.0567388604,30.0,2.5
48,0.48,0.48,0.063749805,30.0,2.5
49,0.49,0.49,0.0718151385,30.0,2.5
50,0.5,0.5,0.0803109012,30.0,2.5
51,0.51,0.51,0.0887491938,30.0,2.5
52,0.52,0.52,0.0954805622,30.0,2.5
53,0.53,0.53,0.0993290783,30.0,2.5
54,0.54,0.54,0.102666075,30.0,2.5
55,0.55,0.55,0.106576204,30.0,2.5
56,0.56,0.56,0.113716427,30.0,2.5
