,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.000878437447,-40.0,2.5
1,0.01,0.01,0.000879971322,-40.0,2.5
2,0.02,0.02,0.000880137457,-40.0,2.5
3,0.03,0.03,0.000880838815,-40.0,2.5
4,0.04,0.04,0.000877242286,-40.0,2.5
5,0.05,0.05,0.000879309542,-40.0,2.5
6,0.06,0.06,0.000879843844,-40.0,2.5
7,0.07,0.07,0.000876785759,-40.0,2.5
8,0.08,0.08,0.000876189789,-40.0,2.5
9,0.09,0.09,0.000878649373,-40.0,2.5
10,0.1,0.1,0.000880722843,-40.0,2.5
11,0.11,0.11,0.000883802097,-40.0,2.5
12,0.12,0.12,0.000883209809,-40.0,2.5
13,0.13,0.13,0.000883669788,-40.0,2.5
14,0.14,0.14,0.000887182329,-40.0,2.5
15,0.15,0.15,0.000887959391,-40.0,2.5
16,0.16,0.16,0.000887329596,-40.0,2.5
17,0.17,0.17,0.000889741778,-40.0,2.5
18,0.18,0.18,0.000889979936,-40.0,2.5
19,0.19,0.19,0.000895037858,-40.0,2.5
20,0.2,0.2,0.000901233644,-40.0,2.5
21,0.21,0.21,0.000909488404,-40.0,2.5
22,0.22,0.22,0.000929307743,-40.0,2.5
23,0.23,0.23,0.000964723777,-40.0,2.5
24,0.24,0.24,0.00102358697,-40.0,2.5
25,0.25,0.25,0.00111227812,-40.0,2.5
26,0.26,0.26,0.00123715409,-40.0,2.5
27,0.27,0.27,0.00140973411,-40.0,2.5
28,0.28,0.28,0.00163905393,-40.0,2.5
29,0.29,0.29,0.00196535233,-40.0,2.5
30,0.3,0.3,0.00240882534,-40.0,2.5
31,0.31,0.31,0.00301373764,-40.0,2.5
32,0.32,0.32,0.00380873722,-40.0,2.5
33,0.33,0.33,0.00486562051,-40.0,2.5
34,0.34,0.34,0.00619931346,-40.0,2.5
35,0.35000000000000003,0.35,0.00786477991,-40.0,2.5
36,0.36,0.36,0.0098908425,-40.0,2.5
37,0.37,0.37,0.0122801589,-40.0,2.5
38,0.38,0.38,0.0150848821,-40.0,2.5
39,0.39,0.39,0.0182724702,-40.0,2.5
40,0.4,0.4,0.021742067,-40.0,2.5
41,0.41000000000000003,0.41,0.0254790281,-40.0,2.5
42,0.42,0.42,0.0291363513,-40.0,2.5
43,0.43,0.43,0.0321353635,-40.0,2.5
44,0.44,0.44,0.0349098517,-40.0,2.5
45,0.45,0.45,0.0381604569,-40.0,2.5
46,0.46,0.46,0.0417411616,-40.0,2.5
47,0.47000000000000003,0.47,0.0460266921,-40.0,2.5
48,0.48,0.48,0.0507866089,-40.0,2.5
49,0.49,0.49,0.0563556247,-40.0,2.5
50,0.5,0.5,0.0626906482,-40.0,2.5
51,0.51,0.51,0.0696815336,-40.0,2.5
52,0.52,0.52,0.0774624976,-40.0,2.5
53,0.53,0.53,0.0860103564,-40.0,2.5
54,0.54,0.54,0.0953658078,-40.0,2.5
55,0.55,0.55,0.105508619,-40.0,2.5
56,0.56,0.56,0.115786882,-40.0,2.5
57,0.5700000000000001,0.57,0.124185662,-40.0,2.5
58,0.58,0.58,0.131779857,-40.0,2.5
59,0.59,0.59,0.139153605,-40.0,2.5
60,0.6,0.6,0.146486397,-40.0,2.5
61,0.61,0.61,0.153750945,-40.0,2.5
62,0.62,0.62,0.16101648,-40.0,2.5
63,0.63,0.63,0.168230279,-40.0,2.5
64,0.64,0.64,0.175366422,-40.0,2.5
65,0.65,0.65,0.181973754,-40.0,2.5
66,0.66,0.66,0.186749437,-40.0,2.5
67,0.67,0.67,0.189744399,-40.0,2.5
68,0.68,0.68,0.192015441,-40.0,2.5
69,0.6900000000000001,0.69,0.194056741,-40.0,2.5
70,0.7000000000000001,0.7,0.196055716,-40.0,2.5
71,0.71,0.71,0.197792242,-40.0,2.5
72,0.72,0.72,0.199646106,-40.0,2.5
73,0.73,0.73,0.201389051,-40.0,2.5
74,0.74,0.74,0.203047425,-40.0,2.5
75,0.75,0.75,0.204626993,-40.0,2.5
76,0.76,0.76,0.206170142,-40.0,2.5
77,0.77,0.77,0.207776402,-40.0,2.5
78,0.78,0.78,0.209516382,-40.0,2.5
79,0.79,0.79,0.211242442,-40.0,2.5
80,0.8,0.8,0.212880378,-40.0,2.5
81,0.81,0.81,0.214444831,-40.0,2.5
82,0.8200000000000001,0.82,0.2160476,-40.0,2.5
83,0.8300000000000001,0.83,0.217716959,-40.0,2.5
84,0.84,0.84,0.219442752,-40.0,2.5
85,0.85,0.85,0.220896561,-40.0,2.5
86,0.86,0.86,0.222526179,-40.0,2.5
87,0.87,0.87,0.224145306,-40.0,2.5
88,0.88,0.88,0.225585294,-40.0,2.5
89,0.89,0.89,0.227178564,-40.0,2.5
90,0.9,0.9,0.228721453,-40.0,2.5
91,0.91,0.91,0.230369498,-40.0,2.5
92,0.92,0.92,0.232006975,-40.0,2.5
93,0.93,0.93,0.233450102,-40.0,2.5
94,0.9400000000000001,0.94,0.234566497,-40.0,2.5
95,0.9500000000000001,0.95,0.23688977,-40.0,2.5
96,0.96,0.96,0.240198231,-40.0,2.5
97,0.97,0.97,0.243033423,-40.0,2.5
98,0.98,0.98,0.245807974,-40.0,2.5
99,0.99,0.99,0.248257257,-40.0,2.5
100,1.0,1.0,0.251072056,-40.0,2.5
101,1.01,1.01,0.253564505,-40.0,2.5
102,1.02,1.02,0.256078015,-40.0,2.5
103,1.03,1.03,0.258480959,-40.0,2.5
104,1.04,1.04,0.261078995,-40.0,2.5
105,1.05,1.05,0.264044606,-40.0,2.5
106,1.06,1.06,0.2668701,-40.0,2.5
107,1.07,1.07,0.269961448,-40.0,2.5
108,1.08,1.08,0.273787097,-40.0,2.5
109,1.09,1.09,0.278197139,-40.0,2.5
110,1.1,1.1,0.545619197,-40.0,2.5
111,1.11,1.11,0.547944647,-40.0,2.5
112,1.12,1.12,0.550002816,-40.0,2.5
113,1.1300000000000001,1.13,0.550884706,-40.0,2.5
114,1.1400000000000001,1.14,0.551904753,-40.0,2.5
115,1.1500000000000001,1.15,0.55329625,-40.0,2.5
116,1.16,1.16,0.553494317,-40.0,2.5
117,1.17,1.17,0.554214542,-40.0,2.5
118,1.18,1.18,0.554958329,-40.0,2.5
119,1.19,1.19,0.555169937,-40.0,2.5
120,1.2,1.2,0.555552071,-40.0,2.5
121,1.21,1.21,0.55576153,-40.0,2.5
122,1.22,1.22,0.556435482,-40.0,2.5
123,1.23,1.23,0.557013595,-40.0,2.5
124,1.24,1.24,0.557481617,-40.0,2.5
125,1.25,1.25,0.557682625,-40.0,2.5
126,1.26,1.26,0.55813376,-40.0,2.5
127,1.27,1.27,0.558452824,-40.0,2.5
128,1.28,1.28,0.55833932,-40.0,2.5
129,1.29,1.29,0.559141218,-40.0,2.5
130,1.3,1.3,0.559312063,-40.0,2.5
131,1.31,1.31,0.559334347,-40.0,2.5
132,1.32,1.32,0.559373062,-40.0,2.5
