,Vin,Vin_real,Vout,temp
0,0.0,0.0,-2.15034717e-05,-40.0
1,0.01,0.01,-2.59681843e-05,-40.0
2,0.02,0.02,-2.79238403e-05,-40.0
3,0.03,0.03,-2.65754294e-05,-40.0
4,0.04,0.04,-2.8569973e-05,-40.0
5,0.05,0.05,-2.62408578e-05,-40.0
6,0.06,0.06,-2.697397e-05,-40.0
7,0.07,0.07,-2.61619321e-05,-40.0
8,0.08,0.08,-2.57166804e-05,-40.0
9,0.09,0.09,-2.61382314e-05,-40.0
10,0.1,0.1,-2.34987056e-05,-40.0
11,0.11,0.11,-2.59168711e-05,-40.0
12,0.12,0.12,-2.29464554e-05,-40.0
13,0.13,0.13,-2.33836535e-05,-40.0
14,0.14,0.14,-2.30131856e-05,-40.0
15,0.15,0.15,-2.12968381e-05,-40.0
16,0.16,0.16,-2.19480331e-05,-40.0
17,0.17,0.17,-2.03435162e-05,-40.0
18,0.18,0.18,-2.1534996e-05,-40.0
19,0.19,0.19,-1.98929721e-05,-40.0
20,0.2,0.2,-1.95774992e-05,-40.0
21,0.21,0.21,-1.97155617e-05,-40.0
22,0.22,0.22,-1.71289599e-05,-40.0
23,0.23,0.23,-1.8413862e-05,-40.0
24,0.24,0.24,-1.66862393e-05,-40.0
25,0.25,0.25,-1.67104003e-05,-40.0
26,0.26,0.26,-1.57948155e-05,-40.0
27,0.27,0.27,-1.38518153e-05,-40.0
28,0.28,0.28,-1.62258007e-05,-40.0
29,0.29,0.29,-1.34880205e-05,-40.0
30,0.3,0.3,-1.41023988e-05,-40.0
31,0.31,0.31,-1.37349223e-05,-40.0
32,0.32,0.32,-1.1471617e-05,-40.0
33,0.33,0.33,-1.29541786e-05,-40.0
34,0.34,0.34,-9.49571182e-06,-40.0
35,0.35000000000000003,0.35,-1.15404181e-05,-40.0
36,0.36,0.36,-1.0420961e-05,-40.0
37,0.37,0.37,-9.67657376e-06,-40.0
38,0.38,0.38,-9.44186743e-06,-40.0
39,0.39,0.39,-8.05640978e-06,-40.0
40,0.4,0.4,-6.22662083e-06,-40.0
41,0.41000000000000003,0.41,-4.36346677e-06,-40.0
42,0.42,0.42,1.04329264e-06,-40.0
43,0.43,0.43,1.46889345e-05,-40.0
44,0.44,0.44,0.000926336177,-40.0
45,0.45,0.45,0.00480313133,-40.0
46,0.46,0.46,0.00928609403,-40.0
47,0.47000000000000003,0.47,0.0143619654,-40.0
48,0.48,0.48,0.0200412181,-40.0
49,0.49,0.49,0.026255181,-40.0
50,0.5,0.5,0.0330195211,-40.0
51,0.51,0.51,0.0404065738,-40.0
52,0.52,0.52,0.0484951343,-40.0
53,0.53,0.53,0.057313063,-40.0
54,0.54,0.54,0.0668691575,-40.0
55,0.55,0.55,0.0772519906,-40.0
56,0.56,0.56,0.088450888,-40.0
57,0.5700000000000001,0.57,0.100545623,-40.0
58,0.58,0.58,0.113513325,-40.0
59,0.59,0.59,0.127324969,-40.0
60,0.6,0.6,0.137721806,-40.0
61,0.61,0.61,0.141522357,-40.0
62,0.62,0.62,0.14457221,-40.0
63,0.63,0.63,0.147265768,-40.0
64,0.64,0.64,0.149772629,-40.0
65,0.65,0.65,0.152142515,-40.0
66,0.66,0.66,0.154321247,-40.0
67,0.67,0.67,0.156465688,-40.0
68,0.68,0.68,0.15849888,-40.0
69,0.6900000000000001,0.69,0.160351169,-40.0
70,0.7000000000000001,0.7,0.162277478,-40.0
71,0.71,0.71,0.164026147,-40.0
72,0.72,0.72,0.165869356,-40.0
73,0.73,0.73,0.167619432,-40.0
74,0.74,0.74,0.169386449,-40.0
75,0.75,0.75,0.171141148,-40.0
76,0.76,0.76,0.172819667,-40.0
77,0.77,0.77,0.174577399,-40.0
78,0.78,0.78,0.176133477,-40.0
79,0.79,0.79,0.177758709,-40.0
80,0.8,0.8,0.17931415,-40.0
81,0.81,0.81,0.181113193,-40.0
82,0.8200000000000001,0.82,0.1827224,-40.0
83,0.8300000000000001,0.83,0.184257954,-40.0
84,0.84,0.84,0.185874026,-40.0
85,0.85,0.85,0.18755676,-40.0
86,0.86,0.86,0.1889431,-40.0
87,0.87,0.87,0.190517423,-40.0
88,0.88,0.88,0.192203461,-40.0
89,0.89,0.89,0.19377744,-40.0
90,0.9,0.9,0.195340654,-40.0
91,0.91,0.91,0.196853378,-40.0
92,0.92,0.92,0.19842535,-40.0
93,0.93,0.93,0.200265797,-40.0
94,0.9400000000000001,0.94,0.201546671,-40.0
95,0.9500000000000001,0.95,0.203245893,-40.0
96,0.96,0.96,0.440238097,-40.0
97,0.97,0.97,0.448881829,-40.0
98,0.98,0.98,0.457526196,-40.0
99,0.99,0.99,0.466191926,-40.0
100,1.0,1.0,0.474792769,-40.0
101,1.01,1.01,0.483410557,-40.0
102,1.02,1.02,0.492002132,-40.0
103,1.03,1.03,0.500427808,-40.0
104,1.04,1.04,0.508864529,-40.0
105,1.05,1.05,0.516925575,-40.0
106,1.06,1.06,0.52452292,-40.0
107,1.07,1.07,0.531387698,-40.0
108,1.08,1.08,0.53729293,-40.0
109,1.09,1.09,0.542119051,-40.0
110,1.1,1.1,0.54615771,-40.0
111,1.11,1.11,0.54900616,-40.0
112,1.12,1.12,0.552421351,-40.0
113,1.1300000000000001,1.13,0.55396741,-40.0
114,1.1400000000000001,1.14,0.556327359,-40.0
115,1.1500000000000001,1.15,0.558273665,-40.0
116,1.16,1.16,0.560347436,-40.0
117,1.17,1.17,0.561925659,-40.0
118,1.18,1.18,0.563938371,-40.0
119,1.19,1.19,0.564731116,-40.0
120,1.2,1.2,0.565883252,-40.0
121,1.21,1.21,0.567036865,-40.0
122,1.22,1.22,0.568397338,-40.0
123,1.23,1.23,0.569061784,-40.0
124,1.24,1.24,0.57026158,-40.0
125,1.25,1.25,0.571736454,-40.0
126,1.26,1.26,0.572021309,-40.0
127,1.27,1.27,0.573591972,-40.0
128,1.28,1.28,0.573300995,-40.0
129,1.29,1.29,0.574095158,-40.0
130,1.3,1.3,0.575353613,-40.0
131,1.31,1.31,0.576183502,-40.0
132,1.32,1.32,0.576950676,-40.0
