,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.00136357175,70.0,2.5
1,0.01,0.01,0.00137113896,70.0,2.5
2,0.02,0.02,0.00138301579,70.0,2.5
3,0.03,0.03,0.0013965305,70.0,2.5
4,0.04,0.04,0.00141423472,70.0,2.5
5,0.05,0.05,0.0014340414,70.0,2.5
6,0.06,0.06,0.00145901323,70.0,2.5
7,0.07,0.07,0.00149270142,70.0,2.5
8,0.08,0.08,0.00153168752,70.0,2.5
9,0.09,0.09,0.00157985892,70.0,2.5
10,0.1,0.1,0.00163741283,70.0,2.5
11,0.11,0.11,0.00170971503,70.0,2.5
12,0.12,0.12,0.001800438,70.0,2.5
13,0.13,0.13,0.00191805417,70.0,2.5
14,0.14,0.14,0.00205957243,70.0,2.5
15,0.15,0.15,0.00222842844,70.0,2.5
16,0.16,0.16,0.00243860175,70.0,2.5
17,0.17,0.17,0.00268557102,70.0,2.5
18,0.18,0.18,0.00297675253,70.0,2.5
19,0.19,0.19,0.0033204452,70.0,2.5
20,0.2,0.2,0.00372070762,70.0,2.5
21,0.21,0.21,0.00415038496,70.0,2.5
22,0.22,0.22,0.00461258109,70.0,2.5
23,0.23,0.23,0.0051263514,70.0,2.5
24,0.24,0.24,0.00564470954,70.0,2.5
25,0.25,0.25,0.00615476528,70.0,2.5
26,0.26,0.26,0.00666064417,70.0,2.5
27,0.27,0.27,0.00716291595,70.0,2.5
28,0.28,0.28,0.007599906,70.0,2.5
29,0.29,0.29,0.00808329634,70.0,2.5
30,0.3,0.3,0.00851210895,70.0,2.5
31,0.31,0.31,0.00894586673,70.0,2.5
32,0.32,0.32,0.00924891494,70.0,2.5
33,0.33,0.33,0.00973996867,70.0,2.5
34,0.34,0.34,0.0103000339,70.0,2.5
35,0.35000000000000003,0.35,0.0110013339,70.0,2.5
36,0.36,0.36,0.0119446416,70.0,2.5
37,0.37,0.37,0.0129656625,70.0,2.5
38,0.38,0.38,0.0143261023,70.0,2.5
39,0.39,0.39,0.0162482404,70.0,2.5
40,0.4,0.4,0.0189605703,70.0,2.5
41,0.41000000000000003,0.41,0.0229071449,70.0,2.5
42,0.42,0.42,0.028250819,70.0,2.5
43,0.43,0.43,0.0346058225,70.0,2.5
44,0.44,0.44,0.0420630363,70.0,2.5
45,0.45,0.45,0.049898764,70.0,2.5
46,0.46,0.46,0.0582844354,70.0,2.5
47,0.47000000000000003,0.47,0.0668390741,70.0,2.5
48,0.48,0.48,0.0754400199,70.0,2.5
49,0.49,0.49,0.0833395912,70.0,2.5
50,0.5,0.5,0.0877985751,70.0,2.5
51,0.51,0.51,0.0908411846,70.0,2.5
52,0.52,0.52,0.093226069,70.0,2.5
53,0.53,0.53,0.0957726517,70.0,2.5
54,0.54,0.54,0.0983155772,70.0,2.5
55,0.55,0.55,0.101227481,70.0,2.5
56,0.56,0.56,0.10422309,70.0,2.5
57,0.5700000000000001,0.57,0.108053082,70.0,2.5
58,0.58,0.58,0.112468014,70.0,2.5
59,0.59,0.59,0.117895676,70.0,2.5
60,0.6,0.6,0.124743239,70.0,2.5
61,0.61,0.61,0.132810191,70.0,2.5
62,0.62,0.62,0.142838441,70.0,2.5
63,0.63,0.63,0.155698355,70.0,2.5
64,0.64,0.64,0.17445662,70.0,2.5
65,0.65,0.65,0.204721875,70.0,2.5
66,0.66,0.66,0.241527259,70.0,2.5
67,0.67,0.67,0.265114237,70.0,2.5
68,0.68,0.68,0.273576709,70.0,2.5
69,0.6900000000000001,0.69,0.281701327,70.0,2.5
70,0.7000000000000001,0.7,0.289774263,70.0,2.5
71,0.71,0.71,0.297827501,70.0,2.5
72,0.72,0.72,0.30580484,70.0,2.5
73,0.73,0.73,0.313893776,70.0,2.5
74,0.74,0.74,0.321963581,70.0,2.5
75,0.75,0.75,0.330095397,70.0,2.5
76,0.76,0.76,0.338289157,70.0,2.5
77,0.77,0.77,0.346486005,70.0,2.5
78,0.78,0.78,0.354666851,70.0,2.5
79,0.79,0.79,0.362850953,70.0,2.5
80,0.8,0.8,0.37112024,70.0,2.5
81,0.81,0.81,0.379403774,70.0,2.5
82,0.8200000000000001,0.82,0.387734723,70.0,2.5
83,0.8300000000000001,0.83,0.396030149,70.0,2.5
84,0.84,0.84,0.404390904,70.0,2.5
85,0.85,0.85,0.412789873,70.0,2.5
86,0.86,0.86,0.421158291,70.0,2.5
87,0.87,0.87,0.429575747,70.0,2.5
88,0.88,0.88,0.43801907,70.0,2.5
89,0.89,0.89,0.446450827,70.0,2.5
90,0.9,0.9,0.454956316,70.0,2.5
91,0.91,0.91,0.463377917,70.0,2.5
92,0.92,0.92,0.471826169,70.0,2.5
93,0.93,0.93,0.480155705,70.0,2.5
94,0.9400000000000001,0.94,0.488615653,70.0,2.5
95,0.9500000000000001,0.95,0.497072276,70.0,2.5
96,0.96,0.96,0.505520743,70.0,2.5
97,0.97,0.97,0.513939631,70.0,2.5
98,0.98,0.98,0.522251491,70.0,2.5
99,0.99,0.99,0.530500593,70.0,2.5
100,1.0,1.0,0.538631653,70.0,2.5
101,1.01,1.01,0.546457255,70.0,2.5
102,1.02,1.02,0.553675163,70.0,2.5
103,1.03,1.03,0.560287666,70.0,2.5
104,1.04,1.04,0.565875836,70.0,2.5
105,1.05,1.05,0.570257014,70.0,2.5
106,1.06,1.06,0.573510275,70.0,2.5
107,1.07,1.07,0.575909865,70.0,2.5
108,1.08,1.08,0.577822051,70.0,2.5
109,1.09,1.09,0.579253512,70.0,2.5
110,1.1,1.1,0.580214436,70.0,2.5
111,1.11,1.11,0.581419632,70.0,2.5
