,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,1.0,0.0,30.0,1.08,1.08,0.0,0.0,0.554860677
1,1.0,0.0,30.0,1.08,1.08,1.0,1.0,0.557163428
2,1.0,0.0,30.0,1.08,1.08,2.0,2.0,0.558178002
3,1.0,0.0,30.0,1.08,1.08,3.0,3.0,0.561079601
4,1.0,0.0,30.0,1.08,1.08,4.0,4.0,0.561170884
5,1.0,0.0,30.0,1.08,1.08,5.0,5.0,0.564519956
6,1.0,0.0,30.0,1.08,1.08,6.0,6.0,0.567266981
7,1.0,0.0,30.0,1.08,1.08,7.0,7.0,0.570575617
8,1.0,0.0,30.0,1.08,1.08,8.0,8.0,0.571308146
9,1.0,0.0,30.0,1.08,1.08,9.0,9.0,0.574637382
10,1.0,0.0,30.0,1.08,1.08,10.0,10.0,0.577239839
11,1.0,0.0,30.0,1.08,1.08,11.0,11.0,0.579582232
12,1.0,0.0,30.0,1.08,1.08,12.0,12.0,0.581167179
13,1.0,0.0,30.0,1.08,1.08,13.0,13.0,0.582643547
14,1.0,0.0,30.0,1.08,1.08,14.0,14.0,0.583758097
15,1.0,0.0,30.0,1.08,1.08,15.0,15.0,0.584518485
16,1.0,0.0,30.0,1.2,1.2,0.0,0.0,0.572660106
17,1.0,0.0,30.0,1.2,1.2,1.0,1.0,0.572792567
18,1.0,0.0,30.0,1.2,1.2,2.0,2.0,0.572318711
19,1.0,0.0,30.0,1.2,1.2,3.0,3.0,0.574364478
20,1.0,0.0,30.0,1.2,1.2,4.0,4.0,0.574044935
21,1.0,0.0,30.0,1.2,1.2,5.0,5.0,0.576820216
22,1.0,0.0,30.0,1.2,1.2,6.0,6.0,0.579695946
23,1.0,0.0,30.0,1.2,1.2,7.0,7.0,0.583460043
24,1.0,0.0,30.0,1.2,1.2,8.0,8.0,0.585669128
25,1.0,0.0,30.0,1.2,1.2,9.0,9.0,0.590018459
26,1.0,0.0,30.0,1.2,1.2,10.0,10.0,0.59423892
27,1.0,0.0,30.0,1.2,1.2,11.0,11.0,0.599095323
28,1.0,0.0,30.0,1.2,1.2,12.0,12.0,0.603497554
29,1.0,0.0,30.0,1.2,1.2,13.0,13.0,0.608391407
30,1.0,0.0,30.0,1.2,1.2,14.0,14.0,0.613411607
31,1.0,0.0,30.0,1.2,1.2,15.0,15.0,0.618325877
32,1.0,0.0,30.0,1.32,1.32,0.0,0.0,0.580560631
33,1.0,0.0,30.0,1.32,1.32,1.0,1.0,0.579632746
34,1.0,0.0,30.0,1.32,1.32,2.0,2.0,0.578514349
35,1.0,0.0,30.0,1.32,1.32,3.0,3.0,0.579152041
36,1.0,0.0,30.0,1.32,1.32,4.0,4.0,0.57889301
37,1.0,0.0,30.0,1.32,1.32,5.0,5.0,0.581310652
38,1.0,0.0,30.0,1.32,1.32,6.0,6.0,0.583509679
39,1.0,0.0,30.0,1.32,1.32,7.0,7.0,0.586944489
40,1.0,0.0,30.0,1.32,1.32,8.0,8.0,0.589768885
41,1.0,0.0,30.0,1.32,1.32,9.0,9.0,0.593678597
42,1.0,0.0,30.0,1.32,1.32,10.0,10.0,0.597975432
43,1.0,0.0,30.0,1.32,1.32,11.0,11.0,0.602471237
44,1.0,0.0,30.0,1.32,1.32,12.0,12.0,0.607295483
45,1.0,0.0,30.0,1.32,1.32,13.0,13.0,0.612228958
46,1.0,0.0,30.0,1.32,1.32,14.0,14.0,0.61742047
47,1.0,0.0,30.0,1.32,1.32,15.0,15.0,0.62258029
