,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,13.0,12.0,20.0,1.08,1.08,0.0,0.0,0.560874884
1,13.0,12.0,20.0,1.08,1.08,0.0,1.0,0.569834472
2,13.0,12.0,20.0,1.08,1.08,0.0,2.0,0.57569328
3,13.0,12.0,20.0,1.08,1.08,0.0,3.0,0.577824287
4,13.0,12.0,20.0,1.08,1.08,0.0,4.0,0.578983489
5,13.0,12.0,20.0,1.08,1.08,0.0,5.0,0.579354401
6,13.0,12.0,20.0,1.08,1.08,0.0,6.0,0.579569075
7,13.0,12.0,20.0,1.08,1.08,0.0,7.0,0.579670523
8,13.0,12.0,20.0,1.08,1.08,0.0,8.0,0.579743117
9,13.0,12.0,20.0,1.08,1.08,0.0,9.0,0.579764977
10,13.0,12.0,20.0,1.08,1.08,0.0,10.0,0.579755101
11,13.0,12.0,20.0,1.08,1.08,0.0,11.0,0.579764043
12,13.0,12.0,20.0,1.08,1.08,0.0,12.0,0.579785556
13,13.0,12.0,20.0,1.08,1.08,0.0,13.0,0.579770145
14,13.0,12.0,20.0,1.08,1.08,0.0,14.0,0.579780204
15,13.0,12.0,20.0,1.08,1.08,0.0,15.0,0.579794383
16,13.0,12.0,20.0,1.08,1.08,1.0,0.0,0.552536788
17,13.0,12.0,20.0,1.08,1.08,1.0,1.0,0.563287368
18,13.0,12.0,20.0,1.08,1.08,1.0,2.0,0.572227217
19,13.0,12.0,20.0,1.08,1.08,1.0,3.0,0.57627157
20,13.0,12.0,20.0,1.08,1.08,1.0,4.0,0.578422034
21,13.0,12.0,20.0,1.08,1.08,1.0,5.0,0.579094868
22,13.0,12.0,20.0,1.08,1.08,1.0,6.0,0.579494297
23,13.0,12.0,20.0,1.08,1.08,1.0,7.0,0.579631802
24,13.0,12.0,20.0,1.08,1.08,1.0,8.0,0.579732097
25,13.0,12.0,20.0,1.08,1.08,1.0,9.0,0.579753901
26,13.0,12.0,20.0,1.08,1.08,1.0,10.0,0.579761348
27,13.0,12.0,20.0,1.08,1.08,1.0,11.0,0.579762838
28,13.0,12.0,20.0,1.08,1.08,1.0,12.0,0.57977931
29,13.0,12.0,20.0,1.08,1.08,1.0,13.0,0.579805268
30,13.0,12.0,20.0,1.08,1.08,1.0,14.0,0.579824603
31,13.0,12.0,20.0,1.08,1.08,1.0,15.0,0.579824483
32,13.0,12.0,20.0,1.08,1.08,2.0,0.0,0.540349764
33,13.0,12.0,20.0,1.08,1.08,2.0,1.0,0.552322037
34,13.0,12.0,20.0,1.08,1.08,2.0,2.0,0.564303499
35,13.0,12.0,20.0,1.08,1.08,2.0,3.0,0.571740291
36,13.0,12.0,20.0,1.08,1.08,2.0,4.0,0.576739769
37,13.0,12.0,20.0,1.08,1.08,2.0,5.0,0.578199295
38,13.0,12.0,20.0,1.08,1.08,2.0,6.0,0.578989085
39,13.0,12.0,20.0,1.08,1.08,2.0,7.0,0.579358079
40,13.0,12.0,20.0,1.08,1.08,2.0,8.0,0.579610977
41,13.0,12.0,20.0,1.08,1.08,2.0,9.0,0.579691249
42,13.0,12.0,20.0,1.08,1.08,2.0,10.0,0.579743737
43,13.0,12.0,20.0,1.08,1.08,2.0,11.0,0.57978539
