,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,3.0,2.0,-40.0,1.08,1.08,0.0,0.0,0.542875345
1,3.0,2.0,-40.0,1.08,1.08,0.0,1.0,0.543319592
2,3.0,2.0,-40.0,1.08,1.08,0.0,2.0,0.543498388
3,3.0,2.0,-40.0,1.08,1.08,0.0,3.0,0.543517658
4,3.0,2.0,-40.0,1.08,1.08,0.0,4.0,0.543572667
5,3.0,2.0,-40.0,1.08,1.08,0.0,5.0,0.543594498
6,3.0,2.0,-40.0,1.08,1.08,0.0,6.0,0.543653289
7,3.0,2.0,-40.0,1.08,1.08,0.0,7.0,0.543697003
8,3.0,2.0,-40.0,1.08,1.08,0.0,8.0,0.543671283
9,3.0,2.0,-40.0,1.08,1.08,0.0,9.0,0.543634882
10,3.0,2.0,-40.0,1.08,1.08,0.0,10.0,0.543628547
11,3.0,2.0,-40.0,1.08,1.08,0.0,11.0,0.543598093
12,3.0,2.0,-40.0,1.08,1.08,0.0,12.0,0.543643122
13,3.0,2.0,-40.0,1.08,1.08,0.0,13.0,0.543660534
14,3.0,2.0,-40.0,1.08,1.08,0.0,14.0,0.543664731
15,3.0,2.0,-40.0,1.08,1.08,0.0,15.0,0.543638503
16,3.0,2.0,-40.0,1.08,1.08,1.0,0.0,0.542273029
17,3.0,2.0,-40.0,1.08,1.08,1.0,1.0,0.543066809
18,3.0,2.0,-40.0,1.08,1.08,1.0,2.0,0.543406779
19,3.0,2.0,-40.0,1.08,1.08,1.0,3.0,0.543513037
20,3.0,2.0,-40.0,1.08,1.08,1.0,4.0,0.543581284
21,3.0,2.0,-40.0,1.08,1.08,1.0,5.0,0.543617691
22,3.0,2.0,-40.0,1.08,1.08,1.0,6.0,0.543621232
23,3.0,2.0,-40.0,1.08,1.08,1.0,7.0,0.543636576
24,3.0,2.0,-40.0,1.08,1.08,1.0,8.0,0.543642484
25,3.0,2.0,-40.0,1.08,1.08,1.0,9.0,0.543654092
26,3.0,2.0,-40.0,1.08,1.08,1.0,10.0,0.543683365
27,3.0,2.0,-40.0,1.08,1.08,1.0,11.0,0.543660597
28,3.0,2.0,-40.0,1.08,1.08,1.0,12.0,0.543662047
29,3.0,2.0,-40.0,1.08,1.08,1.0,13.0,0.543650988
30,3.0,2.0,-40.0,1.08,1.08,1.0,14.0,0.543671935
31,3.0,2.0,-40.0,1.08,1.08,1.0,15.0,0.543659353
32,3.0,2.0,-40.0,1.08,1.08,2.0,0.0,0.540732262
33,3.0,2.0,-40.0,1.08,1.08,2.0,1.0,0.542525939
34,3.0,2.0,-40.0,1.08,1.08,2.0,2.0,0.543175822
35,3.0,2.0,-40.0,1.08,1.08,2.0,3.0,0.543408
36,3.0,2.0,-40.0,1.08,1.08,2.0,4.0,0.543533212
37,3.0,2.0,-40.0,1.08,1.08,2.0,5.0,0.543562236
38,3.0,2.0,-40.0,1.08,1.08,2.0,6.0,0.543604177
39,3.0,2.0,-40.0,1.08,1.08,2.0,7.0,0.543611761
40,3.0,2.0,-40.0,1.08,1.08,2.0,8.0,0.543649413
41,3.0,2.0,-40.0,1.08,1.08,2.0,9.0,0.543641531
42,3.0,2.0,-40.0,1.08,1.08,2.0,10.0,0.543645002
43,3.0,2.0,-40.0,1.08,1.08,2.0,11.0,0.543644836
44,3.0,2.0,-40.0,1.08,1.08,2.0,12.0,0.543654916
45,3.0,2.0,-40.0,1.08,1.08,2.0,13.0,0.543680016
46,3.0,2.0,-40.0,1.08,1.08,2.0,14.0,0.543653468
47,3.0,2.0,-40.0,1.08,1.08,2.0,15.0,0.543623836
48,3.0,2.0,-40.0,1.08,1.08,3.0,0.0,0.538597709
49,3.0,2.0,-40.0,1.08,1.08,3.0,1.0,0.541868936
50,3.0,2.0,-40.0,1.08,1.08,3.0,2.0,0.542984372
51,3.0,2.0,-40.0,1.08,1.08,3.0,3.0,0.543324881
52,3.0,2.0,-40.0,1.08,1.08,3.0,4.0,0.543460294
53,3.0,2.0,-40.0,1.08,1.08,3.0,5.0,0.543501974
54,3.0,2.0,-40.0,1.08,1.08,3.0,6.0,0.543540176
55,3.0,2.0,-40.0,1.08,1.08,3.0,7.0,0.543572057
56,3.0,2.0,-40.0,1.08,1.08,3.0,8.0,0.543566929
57,3.0,2.0,-40.0,1.08,1.08,3.0,9.0,0.54356421
58,3.0,2.0,-40.0,1.08,1.08,3.0,10.0,0.543592054
59,3.0,2.0,-40.0,1.08,1.08,3.0,11.0,0.543646219
60,3.0,2.0,-40.0,1.08,1.08,3.0,12.0,0.543631904
61,3.0,2.0,-40.0,1.08,1.08,3.0,13.0,0.543623911
62,3.0,2.0,-40.0,1.08,1.08,3.0,14.0,0.543637238
63,3.0,2.0,-40.0,1.08,1.08,3.0,15.0,0.543620288
64,3.0,2.0,-40.0,1.08,1.08,4.0,0.0,0.529621348
65,3.0,2.0,-40.0,1.08,1.08,4.0,1.0,0.538212388
66,3.0,2.0,-40.0,1.08,1.08,4.0,2.0,0.541887347
67,3.0,2.0,-40.0,1.08,1.08,4.0,3.0,0.542850415
68,3.0,2.0,-40.0,1.08,1.08,4.0,4.0,0.543318825
69,3.0,2.0,-40.0,1.08,1.08,4.0,5.0,0.543440684
70,3.0,2.0,-40.0,1.08,1.08,4.0,6.0,0.543472852
71,3.0,2.0,-40.0,1.08,1.08,4.0,7.0,0.543507768
72,3.0,2.0,-40.0,1.08,1.08,4.0,8.0,0.543548736
73,3.0,2.0,-40.0,1.08,1.08,4.0,9.0,0.543551418
74,3.0,2.0,-40.0,1.08,1.08,4.0,10.0,0.54357479
75,3.0,2.0,-40.0,1.08,1.08,4.0,11.0,0.543569917
76,3.0,2.0,-40.0,1.08,1.08,4.0,12.0,0.543557988
77,3.0,2.0,-40.0,1.08,1.08,4.0,13.0,0.543544138
78,3.0,2.0,-40.0,1.08,1.08,4.0,14.0,0.543553477
79,3.0,2.0,-40.0,1.08,1.08,4.0,15.0,0.543558034
80,3.0,2.0,-40.0,1.08,1.08,5.0,0.0,0.524585988
81,3.0,2.0,-40.0,1.08,1.08,5.0,1.0,0.535116531
82,3.0,2.0,-40.0,1.08,1.08,5.0,2.0,0.54084668
83,3.0,2.0,-40.0,1.08,1.08,5.0,3.0,0.542451399
84,3.0,2.0,-40.0,1.08,1.08,5.0,4.0,0.543147421
85,3.0,2.0,-40.0,1.08,1.08,5.0,5.0,0.543342161
86,3.0,2.0,-40.0,1.08,1.08,5.0,6.0,0.54344666
87,3.0,2.0,-40.0,1.08,1.08,5.0,7.0,0.543506333
88,3.0,2.0,-40.0,1.08,1.08,5.0,8.0,0.543548131
89,3.0,2.0,-40.0,1.08,1.08,5.0,9.0,0.543556599
90,3.0,2.0,-40.0,1.08,1.08,5.0,10.0,0.543553652
91,3.0,2.0,-40.0,1.08,1.08,5.0,11.0,0.543578639
92,3.0,2.0,-40.0,1.08,1.08,5.0,12.0,0.543600943
93,3.0,2.0,-40.0,1.08,1.08,5.0,13.0,0.54356037
94,3.0,2.0,-40.0,1.08,1.08,5.0,14.0,0.543546893
95,3.0,2.0,-40.0,1.08,1.08,5.0,15.0,0.543559349
96,3.0,2.0,-40.0,1.08,1.08,6.0,0.0,0.517509669
97,3.0,2.0,-40.0,1.08,1.08,6.0,1.0,0.529360129
98,3.0,2.0,-40.0,1.08,1.08,6.0,2.0,0.538464042
99,3.0,2.0,-40.0,1.08,1.08,6.0,3.0,0.5415668
100,3.0,2.0,-40.0,1.08,1.08,6.0,4.0,0.542812362
101,3.0,2.0,-40.0,1.08,1.08,6.0,5.0,0.543243793
102,3.0,2.0,-40.0,1.08,1.08,6.0,6.0,0.543499439
103,3.0,2.0,-40.0,1.08,1.08,6.0,7.0,0.543537963
104,3.0,2.0,-40.0,1.08,1.08,6.0,8.0,0.543590311
105,3.0,2.0,-40.0,1.08,1.08,6.0,9.0,0.54359103
106,3.0,2.0,-40.0,1.08,1.08,6.0,10.0,0.543598066
107,3.0,2.0,-40.0,1.08,1.08,6.0,11.0,0.543591096
108,3.0,2.0,-40.0,1.08,1.08,6.0,12.0,0.543597066
109,3.0,2.0,-40.0,1.08,1.08,6.0,13.0,0.54359422
110,3.0,2.0,-40.0,1.08,1.08,6.0,14.0,0.543646093
111,3.0,2.0,-40.0,1.08,1.08,6.0,15.0,0.543627009
112,3.0,2.0,-40.0,1.08,1.08,7.0,0.0,0.512896515
113,3.0,2.0,-40.0,1.08,1.08,7.0,1.0,0.525221514
114,3.0,2.0,-40.0,1.08,1.08,7.0,2.0,0.53611335
115,3.0,2.0,-40.0,1.08,1.08,7.0,3.0,0.54085497
116,3.0,2.0,-40.0,1.08,1.08,7.0,4.0,0.542666052
117,3.0,2.0,-40.0,1.08,1.08,7.0,5.0,0.543161179
118,3.0,2.0,-40.0,1.08,1.08,7.0,6.0,0.543401246
119,3.0,2.0,-40.0,1.08,1.08,7.0,7.0,0.54349678
120,3.0,2.0,-40.0,1.08,1.08,7.0,8.0,0.543563794
121,3.0,2.0,-40.0,1.08,1.08,7.0,9.0,0.54360685
122,3.0,2.0,-40.0,1.08,1.08,7.0,10.0,0.543624659
123,3.0,2.0,-40.0,1.08,1.08,7.0,11.0,0.543625344
124,3.0,2.0,-40.0,1.08,1.08,7.0,12.0,0.543613265
125,3.0,2.0,-40.0,1.08,1.08,7.0,13.0,0.543656869
126,3.0,2.0,-40.0,1.08,1.08,7.0,14.0,0.543649491
127,3.0,2.0,-40.0,1.08,1.08,7.0,15.0,0.543667933
128,3.0,2.0,-40.0,1.08,1.08,8.0,0.0,0.500441591
129,3.0,2.0,-40.0,1.08,1.08,8.0,1.0,0.513436411
130,3.0,2.0,-40.0,1.08,1.08,8.0,2.0,0.526748104
131,3.0,2.0,-40.0,1.08,1.08,8.0,3.0,0.535981408
132,3.0,2.0,-40.0,1.08,1.08,8.0,4.0,0.541446664
133,3.0,2.0,-40.0,1.08,1.08,8.0,5.0,0.542677769
134,3.0,2.0,-40.0,1.08,1.08,8.0,6.0,0.54320579
135,3.0,2.0,-40.0,1.08,1.08,8.0,7.0,0.543421768
136,3.0,2.0,-40.0,1.08,1.08,8.0,8.0,0.543565325
137,3.0,2.0,-40.0,1.08,1.08,8.0,9.0,0.543598364
138,3.0,2.0,-40.0,1.08,1.08,8.0,10.0,0.543613607
139,3.0,2.0,-40.0,1.08,1.08,8.0,11.0,0.543658491
140,3.0,2.0,-40.0,1.08,1.08,8.0,12.0,0.54366235
141,3.0,2.0,-40.0,1.08,1.08,8.0,13.0,0.543655864
142,3.0,2.0,-40.0,1.08,1.08,8.0,14.0,0.543686007
143,3.0,2.0,-40.0,1.08,1.08,8.0,15.0,0.543695594
144,3.0,2.0,-40.0,1.08,1.08,9.0,0.0,0.496083856
145,3.0,2.0,-40.0,1.08,1.08,9.0,1.0,0.509228208
146,3.0,2.0,-40.0,1.08,1.08,9.0,2.0,0.52285823
147,3.0,2.0,-40.0,1.08,1.08,9.0,3.0,0.533168374
148,3.0,2.0,-40.0,1.08,1.08,9.0,4.0,0.540593446
149,3.0,2.0,-40.0,1.08,1.08,9.0,5.0,0.542382395
150,3.0,2.0,-40.0,1.08,1.08,9.0,6.0,0.543092977
151,3.0,2.0,-40.0,1.08,1.08,9.0,7.0,0.543343489
152,3.0,2.0,-40.0,1.08,1.08,9.0,8.0,0.543517899
153,3.0,2.0,-40.0,1.08,1.08,9.0,9.0,0.5435739
154,3.0,2.0,-40.0,1.08,1.08,9.0,10.0,0.543622676
155,3.0,2.0,-40.0,1.08,1.08,9.0,11.0,0.543634767
156,3.0,2.0,-40.0,1.08,1.08,9.0,12.0,0.543643243
157,3.0,2.0,-40.0,1.08,1.08,9.0,13.0,0.543670914
158,3.0,2.0,-40.0,1.08,1.08,9.0,14.0,0.543672637
159,3.0,2.0,-40.0,1.08,1.08,9.0,15.0,0.543679262
160,3.0,2.0,-40.0,1.08,1.08,10.0,0.0,0.490475209
161,3.0,2.0,-40.0,1.08,1.08,10.0,1.0,0.503579772
162,3.0,2.0,-40.0,1.08,1.08,10.0,2.0,0.517552713
163,3.0,2.0,-40.0,1.08,1.08,10.0,3.0,0.528839918
164,3.0,2.0,-40.0,1.08,1.08,10.0,4.0,0.538759858
165,3.0,2.0,-40.0,1.08,1.08,10.0,5.0,0.541702523
166,3.0,2.0,-40.0,1.08,1.08,10.0,6.0,0.542824944
167,3.0,2.0,-40.0,1.08,1.08,10.0,7.0,0.543241668
168,3.0,2.0,-40.0,1.08,1.08,10.0,8.0,0.54348926
169,3.0,2.0,-40.0,1.08,1.08,10.0,9.0,0.543552174
170,3.0,2.0,-40.0,1.08,1.08,10.0,10.0,0.543590119
