,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,10.0,9.0,-20.0,1.08,1.08,0.0,0.0,0.552301638
1,10.0,9.0,-20.0,1.08,1.08,0.0,1.0,0.554148768
2,10.0,9.0,-20.0,1.08,1.08,0.0,2.0,0.554859275
3,10.0,9.0,-20.0,1.08,1.08,0.0,3.0,0.555127705
4,10.0,9.0,-20.0,1.08,1.08,0.0,4.0,0.555288205
5,10.0,9.0,-20.0,1.08,1.08,0.0,5.0,0.555337845
6,10.0,9.0,-20.0,1.08,1.08,0.0,6.0,0.555367673
7,10.0,9.0,-20.0,1.08,1.08,0.0,7.0,0.555367135
8,10.0,9.0,-20.0,1.08,1.08,0.0,8.0,0.555357143
9,10.0,9.0,-20.0,1.08,1.08,0.0,9.0,0.555335666
10,10.0,9.0,-20.0,1.08,1.08,0.0,10.0,0.555283438
11,10.0,9.0,-20.0,1.08,1.08,0.0,11.0,0.555305316
12,10.0,9.0,-20.0,1.08,1.08,0.0,12.0,0.555331151
13,10.0,9.0,-20.0,1.08,1.08,0.0,13.0,0.555343549
14,10.0,9.0,-20.0,1.08,1.08,0.0,14.0,0.555353217
15,10.0,9.0,-20.0,1.08,1.08,0.0,15.0,0.555334575
16,10.0,9.0,-20.0,1.08,1.08,1.0,0.0,0.548947687
17,10.0,9.0,-20.0,1.08,1.08,1.0,1.0,0.553081541
18,10.0,9.0,-20.0,1.08,1.08,1.0,2.0,0.5545149
19,10.0,9.0,-20.0,1.08,1.08,1.0,3.0,0.5549878
20,10.0,9.0,-20.0,1.08,1.08,1.0,4.0,0.555230369
21,10.0,9.0,-20.0,1.08,1.08,1.0,5.0,0.555329488
22,10.0,9.0,-20.0,1.08,1.08,1.0,6.0,0.555379521
23,10.0,9.0,-20.0,1.08,1.08,1.0,7.0,0.5553816
24,10.0,9.0,-20.0,1.08,1.08,1.0,8.0,0.555400029
25,10.0,9.0,-20.0,1.08,1.08,1.0,9.0,0.555434924
26,10.0,9.0,-20.0,1.08,1.08,1.0,10.0,0.555439866
27,10.0,9.0,-20.0,1.08,1.08,1.0,11.0,0.555440273
28,10.0,9.0,-20.0,1.08,1.08,1.0,12.0,0.555429265
29,10.0,9.0,-20.0,1.08,1.08,1.0,13.0,0.555421408
30,10.0,9.0,-20.0,1.08,1.08,1.0,14.0,0.555419142
31,10.0,9.0,-20.0,1.08,1.08,1.0,15.0,0.55543316
32,10.0,9.0,-20.0,1.08,1.08,2.0,0.0,0.541071258
33,10.0,9.0,-20.0,1.08,1.08,2.0,1.0,0.549729285
34,10.0,9.0,-20.0,1.08,1.08,2.0,2.0,0.55355454
35,10.0,9.0,-20.0,1.08,1.08,2.0,3.0,0.554596926
36,10.0,9.0,-20.0,1.08,1.08,2.0,4.0,0.555083708
37,10.0,9.0,-20.0,1.08,1.08,2.0,5.0,0.555257425
38,10.0,9.0,-20.0,1.08,1.08,2.0,6.0,0.55532021
39,10.0,9.0,-20.0,1.08,1.08,2.0,7.0,0.555359732
40,10.0,9.0,-20.0,1.08,1.08,2.0,8.0,0.555405452
41,10.0,9.0,-20.0,1.08,1.08,2.0,9.0,0.555433372
42,10.0,9.0,-20.0,1.08,1.08,2.0,10.0,0.555430953
43,10.0,9.0,-20.0,1.08,1.08,2.0,11.0,0.555426819
44,10.0,9.0,-20.0,1.08,1.08,2.0,12.0,0.555413421
45,10.0,9.0,-20.0,1.08,1.08,2.0,13.0,0.555436094
46,10.0,9.0,-20.0,1.08,1.08,2.0,14.0,0.555442682
47,10.0,9.0,-20.0,1.08,1.08,2.0,15.0,0.555436345
48,10.0,9.0,-20.0,1.08,1.08,3.0,0.0,0.534246605
49,10.0,9.0,-20.0,1.08,1.08,3.0,1.0,0.545103862
50,10.0,9.0,-20.0,1.08,1.08,3.0,2.0,0.552002279
51,10.0,9.0,-20.0,1.08,1.08,3.0,3.0,0.554007351
52,10.0,9.0,-20.0,1.08,1.08,3.0,4.0,0.5548836
53,10.0,9.0,-20.0,1.08,1.08,3.0,5.0,0.555143775
54,10.0,9.0,-20.0,1.08,1.08,3.0,6.0,0.555288484
55,10.0,9.0,-20.0,1.08,1.08,3.0,7.0,0.555323656
56,10.0,9.0,-20.0,1.08,1.08,3.0,8.0,0.555378786
57,10.0,9.0,-20.0,1.08,1.08,3.0,9.0,0.55539581
58,10.0,9.0,-20.0,1.08,1.08,3.0,10.0,0.555413858
59,10.0,9.0,-20.0,1.08,1.08,3.0,11.0,0.555429307
60,10.0,9.0,-20.0,1.08,1.08,3.0,12.0,0.555419285
61,10.0,9.0,-20.0,1.08,1.08,3.0,13.0,0.555415521
62,10.0,9.0,-20.0,1.08,1.08,3.0,14.0,0.555399733
63,10.0,9.0,-20.0,1.08,1.08,3.0,15.0,0.555428473
64,10.0,9.0,-20.0,1.08,1.08,4.0,0.0,0.520811123
65,10.0,9.0,-20.0,1.08,1.08,4.0,1.0,0.533523018
66,10.0,9.0,-20.0,1.08,1.08,4.0,2.0,0.54554018
67,10.0,9.0,-20.0,1.08,1.08,4.0,3.0,0.551544477
68,10.0,9.0,-20.0,1.08,1.08,4.0,4.0,0.554166397
69,10.0,9.0,-20.0,1.08,1.08,4.0,5.0,0.554810172
70,10.0,9.0,-20.0,1.08,1.08,4.0,6.0,0.555118888
71,10.0,9.0,-20.0,1.08,1.08,4.0,7.0,0.555269967
72,10.0,9.0,-20.0,1.08,1.08,4.0,8.0,0.555379452
73,10.0,9.0,-20.0,1.08,1.08,4.0,9.0,0.555383434
74,10.0,9.0,-20.0,1.08,1.08,4.0,10.0,0.555414372
75,10.0,9.0,-20.0,1.08,1.08,4.0,11.0,0.555455212
76,10.0,9.0,-20.0,1.08,1.08,4.0,12.0,0.55548925
77,10.0,9.0,-20.0,1.08,1.08,4.0,13.0,0.555475467
78,10.0,9.0,-20.0,1.08,1.08,4.0,14.0,0.555451842
79,10.0,9.0,-20.0,1.08,1.08,4.0,15.0,0.555461158
80,10.0,9.0,-20.0,1.08,1.08,5.0,0.0,0.514379773
81,10.0,9.0,-20.0,1.08,1.08,5.0,1.0,0.527409212
