,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,7.0,6.0,30.0,1.08,1.08,0.0,0.0,0.557153409
1,7.0,6.0,30.0,1.08,1.08,0.0,1.0,0.568235762
2,7.0,6.0,30.0,1.08,1.08,0.0,2.0,0.577721826
3,7.0,6.0,30.0,1.08,1.08,0.0,3.0,0.581840216
4,7.0,6.0,30.0,1.08,1.08,0.0,4.0,0.584061462
5,7.0,6.0,30.0,1.08,1.08,0.0,5.0,0.584639916
6,7.0,6.0,30.0,1.08,1.08,0.0,6.0,0.584996446
7,7.0,6.0,30.0,1.08,1.08,0.0,7.0,0.585141055
8,7.0,6.0,30.0,1.08,1.08,0.0,8.0,0.585249026
9,7.0,6.0,30.0,1.08,1.08,0.0,9.0,0.585294417
10,7.0,6.0,30.0,1.08,1.08,0.0,10.0,0.585315445
11,7.0,6.0,30.0,1.08,1.08,0.0,11.0,0.585309817
12,7.0,6.0,30.0,1.08,1.08,0.0,12.0,0.585329605
13,7.0,6.0,30.0,1.08,1.08,0.0,13.0,0.585354353
14,7.0,6.0,30.0,1.08,1.08,0.0,14.0,0.585367027
15,7.0,6.0,30.0,1.08,1.08,0.0,15.0,0.58540449
16,7.0,6.0,30.0,1.08,1.08,1.0,0.0,0.546809456
17,7.0,6.0,30.0,1.08,1.08,1.0,1.0,0.558977849
18,7.0,6.0,30.0,1.08,1.08,1.0,2.0,0.571226077
19,7.0,6.0,30.0,1.08,1.08,1.0,3.0,0.578321086
20,7.0,6.0,30.0,1.08,1.08,1.0,4.0,0.582875629
21,7.0,6.0,30.0,1.08,1.08,1.0,5.0,0.584075065
22,7.0,6.0,30.0,1.08,1.08,1.0,6.0,0.584712195
23,7.0,6.0,30.0,1.08,1.08,1.0,7.0,0.584966501
24,7.0,6.0,30.0,1.08,1.08,1.0,8.0,0.585153684
25,7.0,6.0,30.0,1.08,1.08,1.0,9.0,0.585230355
26,7.0,6.0,30.0,1.08,1.08,1.0,10.0,0.585294291
27,7.0,6.0,30.0,1.08,1.08,1.0,11.0,0.585309241
28,7.0,6.0,30.0,1.08,1.08,1.0,12.0,0.585338691
29,7.0,6.0,30.0,1.08,1.08,1.0,13.0,0.585362557
