,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.00139229658,70.0,2.5
1,0.01,0.01,0.00140317108,70.0,2.5
2,0.02,0.02,0.00141371376,70.0,2.5
3,0.03,0.03,0.00141686228,70.0,2.5
4,0.04,0.04,0.00144016125,70.0,2.5
5,0.05,0.05,0.00146015662,70.0,2.5
6,0.06,0.06,0.00148721343,70.0,2.5
7,0.07,0.07,0.00151505927,70.0,2.5
8,0.08,0.08,0.0015562783,70.0,2.5
9,0.09,0.09,0.00160368253,70.0,2.5
10,0.1,0.1,0.00166573544,70.0,2.5
11,0.11,0.11,0.00173945738,70.0,2.5
12,0.12,0.12,0.00183495663,70.0,2.5
13,0.13,0.13,0.00194485741,70.0,2.5
14,0.14,0.14,0.00208387742,70.0,2.5
15,0.15,0.15,0.00225419851,70.0,2.5
16,0.16,0.16,0.0024713992,70.0,2.5
17,0.17,0.17,0.00273879966,70.0,2.5
18,0.18,0.18,0.0030642186,70.0,2.5
19,0.19,0.19,0.00347478417,70.0,2.5
20,0.2,0.2,0.00398511282,70.0,2.5
21,0.21,0.21,0.00464735007,70.0,2.5
22,0.22,0.22,0.00550789254,70.0,2.5
23,0.23,0.23,0.00664129562,70.0,2.5
24,0.24,0.24,0.00814293775,70.0,2.5
25,0.25,0.25,0.00998809813,70.0,2.5
26,0.26,0.26,0.0121938489,70.0,2.5
27,0.27,0.27,0.0145729639,70.0,2.5
28,0.28,0.28,0.0173685729,70.0,2.5
29,0.29,0.29,0.0203447375,70.0,2.5
30,0.3,0.3,0.0236105027,70.0,2.5
31,0.31,0.31,0.027103467,70.0,2.5
32,0.32,0.32,0.0308703693,70.0,2.5
33,0.33,0.33,0.0347897387,70.0,2.5
34,0.34,0.34,0.0387627177,70.0,2.5
35,0.35000000000000003,0.35,0.0427627318,70.0,2.5
36,0.36,0.36,0.046452691,70.0,2.5
37,0.37,0.37,0.0498226377,70.0,2.5
38,0.38,0.38,0.0527700249,70.0,2.5
39,0.39,0.39,0.0555986761,70.0,2.5
40,0.4,0.4,0.058477107,70.0,2.5
41,0.41000000000000003,0.41,0.0616198613,70.0,2.5
42,0.42,0.42,0.065023722,70.0,2.5
43,0.43,0.43,0.0687837602,70.0,2.5
44,0.44,0.44,0.0727930324,70.0,2.5
45,0.45,0.45,0.0776424352,70.0,2.5
46,0.46,0.46,0.0825338943,70.0,2.5
47,0.47000000000000003,0.47,0.0878878551,70.0,2.5
48,0.48,0.48,0.0939070922,70.0,2.5
49,0.49,0.49,0.100424756,70.0,2.5
50,0.5,0.5,0.106308228,70.0,2.5
51,0.51,0.51,0.109250844,70.0,2.5
52,0.52,0.52,0.111316347,70.0,2.5
53,0.53,0.53,0.11324757,70.0,2.5
54,0.54,0.54,0.11505196,70.0,2.5
55,0.55,0.55,0.117057602,70.0,2.5
