,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.000889696218,-40.0,2.5
1,0.01,0.01,0.00088835517,-40.0,2.5
2,0.02,0.02,0.000889267994,-40.0,2.5
3,0.03,0.03,0.000892693556,-40.0,2.5
4,0.04,0.04,0.000886442774,-40.0,2.5
5,0.05,0.05,0.000887544053,-40.0,2.5
6,0.06,0.06,0.000891323975,-40.0,2.5
7,0.07,0.07,0.000893186439,-40.0,2.5
8,0.08,0.08,0.000890564861,-40.0,2.5
9,0.09,0.09,0.000890259743,-40.0,2.5
10,0.1,0.1,0.00089548541,-40.0,2.5
11,0.11,0.11,0.000892673076,-40.0,2.5
12,0.12,0.12,0.000894119742,-40.0,2.5
13,0.13,0.13,0.000891608614,-40.0,2.5
14,0.14,0.14,0.000894378609,-40.0,2.5
15,0.15,0.15,0.000893341759,-40.0,2.5
16,0.16,0.16,0.00089663202,-40.0,2.5
17,0.17,0.17,0.000896884444,-40.0,2.5
18,0.18,0.18,0.000901093511,-40.0,2.5
19,0.19,0.19,0.000905576862,-40.0,2.5
20,0.2,0.2,0.000904430713,-40.0,2.5
21,0.21,0.21,0.000912957456,-40.0,2.5
22,0.22,0.22,0.000924868572,-40.0,2.5
23,0.23,0.23,0.000946724793,-40.0,2.5
24,0.24,0.24,0.00097033625,-40.0,2.5
25,0.25,0.25,0.00102906346,-40.0,2.5
26,0.26,0.26,0.00112311488,-40.0,2.5
27,0.27,0.27,0.00128713848,-40.0,2.5
28,0.28,0.28,0.00153180717,-40.0,2.5
29,0.29,0.29,0.00187072035,-40.0,2.5
30,0.3,0.3,0.0023467752,-40.0,2.5
31,0.31,0.31,0.00297390867,-40.0,2.5
32,0.32,0.32,0.00383106608,-40.0,2.5
33,0.33,0.33,0.00491218717,-40.0,2.5
34,0.34,0.34,0.00630316894,-40.0,2.5
35,0.35000000000000003,0.35,0.00799264079,-40.0,2.5
36,0.36,0.36,0.0100844274,-40.0,2.5
37,0.37,0.37,0.0125357534,-40.0,2.5
38,0.38,0.38,0.0154010727,-40.0,2.5
39,0.39,0.39,0.0186221348,-40.0,2.5
40,0.4,0.4,0.0222012216,-40.0,2.5
41,0.41000000000000003,0.41,0.0261468431,-40.0,2.5
42,0.42,0.42,0.0303183469,-40.0,2.5
43,0.43,0.43,0.0347366064,-40.0,2.5
44,0.44,0.44,0.0391138028,-40.0,2.5
45,0.45,0.45,0.0433958027,-40.0,2.5
46,0.46,0.46,0.0476995569,-40.0,2.5
47,0.47000000000000003,0.47,0.0524164941,-40.0,2.5
48,0.48,0.48,0.0576436227,-40.0,2.5
49,0.49,0.49,0.0635636063,-40.0,2.5
50,0.5,0.5,0.0700787999,-40.0,2.5
51,0.51,0.51,0.0772772184,-40.0,2.5
52,0.52,0.52,0.0851279848,-40.0,2.5
53,0.53,0.53,0.0936377724,-40.0,2.5
54,0.54,0.54,0.102414131,-40.0,2.5
55,0.55,0.55,0.110656416,-40.0,2.5
56,0.56,0.56,0.118130452,-40.0,2.5
57,0.5700000000000001,0.57,0.125419776,-40.0,2.5
58,0.58,0.58,0.132748053,-40.0,2.5
59,0.59,0.59,0.139907217,-40.0,2.5
60,0.6,0.6,0.147211614,-40.0,2.5
61,0.61,0.61,0.154516974,-40.0,2.5
62,0.62,0.62,0.161898191,-40.0,2.5
63,0.63,0.63,0.169263848,-40.0,2.5
64,0.64,0.64,0.17682114,-40.0,2.5
65,0.65,0.65,0.184377235,-40.0,2.5
66,0.66,0.66,0.191928093,-40.0,2.5
67,0.67,0.67,0.199479661,-40.0,2.5
68,0.68,0.68,0.20739026,-40.0,2.5
69,0.6900000000000001,0.69,0.215407434,-40.0,2.5
70,0.7000000000000001,0.7,0.223326159,-40.0,2.5
71,0.71,0.71,0.23113724,-40.0,2.5
72,0.72,0.72,0.239079034,-40.0,2.5
73,0.73,0.73,0.247081822,-40.0,2.5
74,0.74,0.74,0.255055474,-40.0,2.5
75,0.75,0.75,0.263132286,-40.0,2.5
76,0.76,0.76,0.271177697,-40.0,2.5
77,0.77,0.77,0.279343138,-40.0,2.5
78,0.78,0.78,0.287510342,-40.0,2.5
79,0.79,0.79,0.295747123,-40.0,2.5
80,0.8,0.8,0.30400245,-40.0,2.5
81,0.81,0.81,0.312271836,-40.0,2.5
82,0.8200000000000001,0.82,0.320620276,-40.0,2.5
83,0.8300000000000001,0.83,0.328965059,-40.0,2.5
84,0.84,0.84,0.337387168,-40.0,2.5
85,0.85,0.85,0.345821863,-40.0,2.5
86,0.86,0.86,0.354195212,-40.0,2.5
87,0.87,0.87,0.362627769,-40.0,2.5
88,0.88,0.88,0.371106069,-40.0,2.5
89,0.89,0.89,0.379610443,-40.0,2.5
90,0.9,0.9,0.388175772,-40.0,2.5
91,0.91,0.91,0.396664954,-40.0,2.5
92,0.92,0.92,0.405270206,-40.0,2.5
93,0.93,0.93,0.413896077,-40.0,2.5
