,Vin,Vin_real,Vout,temp
0,0.0,0.0,-4.85476234e-05,-40.0
1,0.01,0.01,-4.11789952e-05,-40.0
2,0.02,0.02,-3.63845432e-05,-40.0
3,0.03,0.03,-4.44860534e-05,-40.0
4,0.04,0.04,-3.3494664e-05,-40.0
5,0.05,0.05,-3.12580508e-05,-40.0
6,0.06,0.06,-3.42404319e-05,-40.0
7,0.07,0.06999,-3.4536576e-05,-40.0
8,0.08,0.07999,-3.28690106e-05,-40.0
9,0.09,0.09,-3.70918837e-05,-40.0
10,0.1,0.1,-3.55444326e-05,-40.0
11,0.11,0.11,-3.40846513e-05,-40.0
12,0.12,0.11999,-3.45959429e-05,-40.0
13,0.13,0.13,-3.09448789e-05,-40.0
14,0.14,0.14001,-3.18549412e-05,-40.0
15,0.15,0.14999,-3.12285974e-05,-40.0
16,0.16,0.16002,-2.89556277e-05,-40.0
17,0.17,0.16999,-2.81355362e-05,-40.0
18,0.18,0.18,-3.1618394e-05,-40.0
19,0.19,0.19005,-2.64129758e-05,-40.0
20,0.2,0.19995,-2.54808235e-05,-40.0
21,0.21,0.20996,-2.21240628e-05,-40.0
22,0.22,0.22,-2.02641302e-05,-40.0
23,0.23,0.23,-1.1209068e-05,-40.0
24,0.24,0.24,-4.5981731e-06,-40.0
25,0.25,0.25,1.0127348e-05,-40.0
26,0.26,0.26,3.69747606e-05,-40.0
27,0.27,0.27,8.33405356e-05,-40.0
28,0.28,0.28,0.00016886476,-40.0
29,0.29,0.29,0.000318717388,-40.0
30,0.3,0.3,0.000583529866,-40.0
31,0.31,0.31,0.00101805458,-40.0
32,0.32,0.32,0.00166614755,-40.0
33,0.33,0.3299,0.00264115055,-40.0
34,0.34,0.34,0.00388261955,-40.0
35,0.35000000000000003,0.35,0.00551132386,-40.0
36,0.36,0.36,0.00744216263,-40.0
37,0.37,0.37,0.00958268989,-40.0
38,0.38,0.38,0.011969726,-40.0
39,0.39,0.3899,0.0145529867,-40.0
40,0.4,0.4,0.0171646648,-40.0
41,0.41000000000000003,0.41,0.0196754809,-40.0
42,0.42,0.42,0.0224527686,-40.0
43,0.43,0.43,0.025306591,-40.0
44,0.44,0.44,0.0284330694,-40.0
45,0.45,0.45,0.0318633803,-40.0
46,0.46,0.46,0.0357189038,-40.0
47,0.47000000000000003,0.47,0.0400391909,-40.0
48,0.48,0.48,0.0449170709,-40.0
49,0.49,0.49,0.0504601383,-40.0
50,0.5,0.5,0.0566093328,-40.0
51,0.51,0.51,0.0634577279,-40.0
52,0.52,0.52,0.0710604299,-40.0
53,0.53,0.53,0.0794798557,-40.0
54,0.54,0.54,0.0886271301,-40.0
55,0.55,0.55,0.0985546956,-40.0
56,0.56,0.56,0.10922655,-40.0
57,0.5700000000000001,0.57,0.120076744,-40.0
58,0.58,0.58,0.129098466,-40.0
59,0.59,0.59,0.136882138,-40.0
60,0.6,0.6,0.144389383,-40.0
61,0.61,0.61,0.151726046,-40.0
62,0.62,0.62,0.1588396,-40.0
63,0.63,0.63,0.164508915,-40.0
64,0.64,0.64,0.167521238,-40.0
65,0.65,0.65,0.169622842,-40.0
66,0.66,0.6599,0.171421002,-40.0
67,0.67,0.67,0.173157327,-40.0
68,0.68,0.68,0.174782793,-40.0
69,0.6900000000000001,0.69,0.176295857,-40.0
70,0.7000000000000001,0.7,0.177746741,-40.0
71,0.71,0.71,0.179152376,-40.0
72,0.72,0.72,0.180556126,-40.0
73,0.73,0.73,0.181851759,-40.0
74,0.74,0.74,0.18309596,-40.0
75,0.75,0.75,0.184482553,-40.0
76,0.76,0.76,0.185911135,-40.0
77,0.77,0.77,0.187346004,-40.0
78,0.78,0.78,0.189036723,-40.0
79,0.79,0.79,0.190758174,-40.0
80,0.8,0.8,0.192367133,-40.0
81,0.81,0.81,0.193913455,-40.0
82,0.8200000000000001,0.82,0.196637165,-40.0
