,Vin,Vin_real,Vout,temp
0,0.0,0.0,-0.000167811871,30.0
1,0.01,0.01,-0.000169380959,30.0
2,0.02,0.02,-0.000167887795,30.0
3,0.03,0.03,-0.000190013773,30.0
4,0.04,0.04,-0.00015561808,30.0
5,0.05,0.05,-0.000148067133,30.0
6,0.06,0.06,-0.00016649126,30.0
7,0.07,0.07,-0.000134619452,30.0
8,0.08,0.08,-0.000133179204,30.0
9,0.09,0.09,-0.000126306968,30.0
10,0.1,0.1,-0.000111218877,30.0
11,0.11,0.11,-9.45686004e-05,30.0
12,0.12,0.12,-7.4524769e-05,30.0
13,0.13,0.13,-4.62052647e-05,30.0
14,0.14,0.14,-1.03302116e-05,30.0
15,0.15,0.15,3.20374601e-05,30.0
16,0.16,0.16,9.07724202e-05,30.0
17,0.17,0.17,0.000172040586,30.0
18,0.18,0.18,0.000287087853,30.0
19,0.19,0.19,0.000455256334,30.0
20,0.2,0.2,0.000708084236,30.0
21,0.21,0.21,0.00105973016,30.0
22,0.22,0.22,0.00151438601,30.0
23,0.23,0.23,0.00208635993,30.0
24,0.24,0.24,0.00279587291,30.0
25,0.25,0.25,0.00368287917,30.0
26,0.26,0.26,0.00479795073,30.0
27,0.27,0.27,0.00613629751,30.0
28,0.28,0.28,0.00777329094,30.0
29,0.29,0.29,0.0096969995,30.0
30,0.3,0.3,0.0119221133,30.0
31,0.31,0.31,0.0144760499,30.0
32,0.32,0.32,0.0173461162,30.0
33,0.33,0.33,0.0205143576,30.0
34,0.34,0.34,0.0239962831,30.0
35,0.35000000000000003,0.35,0.027733779,30.0
36,0.36,0.36,0.0316265777,30.0
37,0.37,0.37,0.0355294398,30.0
38,0.38,0.38,0.0389708175,30.0
39,0.39,0.39,0.0415300296,30.0
40,0.4,0.4,0.0435656105,30.0
41,0.41000000000000003,0.41,0.0456324419,30.0
42,0.42,0.42,0.0477883019,30.0
43,0.43,0.43,0.0504041346,30.0
44,0.44,0.44,0.0532569986,30.0
45,0.45,0.45,0.0567340328,30.0
46,0.46,0.46,0.0607386348,30.0
47,0.47000000000000003,0.47,0.0652313657,30.0
48,0.48,0.48,0.0707364552,30.0
49,0.49,0.49,0.0766446184,30.0
50,0.5,0.5,0.0832781672,30.0
51,0.51,0.51,0.0906706783,30.0
52,0.52,0.52,0.0953799734,30.0
53,0.53,0.53,0.0974750277,30.0
54,0.54,0.54,0.0993743372,30.0
55,0.55,0.55,0.101088996,30.0
56,0.56,0.56,0.10284143,30.0
57,0.5700000000000001,0.57,0.104599867,30.0
58,0.58,0.58,0.106481205,30.0
59,0.59,0.59,0.108547215,30.0
60,0.6,0.6,0.111257621,30.0
61,0.61,0.61,0.116237055,30.0
62,0.62,0.62,0.124179619,30.0
63,0.63,0.63,0.134659529,30.0
64,0.64,0.64,0.14786638,30.0
65,0.65,0.65,0.165141303,30.0
66,0.66,0.66,0.191485517,30.0
67,0.67,0.67,0.227564366,30.0
