,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.0011990502,30.0,2.5
1,0.01,0.01,0.00120156547,30.0,2.5
2,0.02,0.02,0.00119856491,30.0,2.5
3,0.03,0.03,0.00120111838,30.0,2.5
4,0.04,0.04,0.00120427725,30.0,2.5
5,0.05,0.05,0.00121074525,30.0,2.5
6,0.06,0.06,0.00121412617,30.0,2.5
7,0.07,0.07,0.00121973773,30.0,2.5
8,0.08,0.08,0.00122834247,30.0,2.5
9,0.09,0.09,0.00123968385,30.0,2.5
10,0.1,0.1,0.00125499913,30.0,2.5
11,0.11,0.11,0.00127157331,30.0,2.5
12,0.12,0.12,0.00128759915,30.0,2.5
13,0.13,0.13,0.00131603451,30.0,2.5
14,0.14,0.14,0.00134858644,30.0,2.5
15,0.15,0.15,0.00138665304,30.0,2.5
16,0.16,0.16,0.00143656473,30.0,2.5
17,0.17,0.17,0.00149076509,30.0,2.5
18,0.18,0.18,0.00155249562,30.0,2.5
19,0.19,0.19,0.00161992743,30.0,2.5
20,0.2,0.2,0.0017053228,30.0,2.5
21,0.21,0.21,0.0017723142,30.0,2.5
22,0.22,0.22,0.00185197606,30.0,2.5
23,0.23,0.23,0.00193436787,30.0,2.5
24,0.24,0.24,0.0019988042,30.0,2.5
25,0.25,0.25,0.00206343841,30.0,2.5
26,0.26,0.26,0.00210371516,30.0,2.5
27,0.27,0.27,0.00216052077,30.0,2.5
28,0.28,0.28,0.00220969658,30.0,2.5
29,0.29,0.29,0.00227113763,30.0,2.5
30,0.3,0.3,0.00232051961,30.0,2.5
31,0.31,0.31,0.00238053471,30.0,2.5
32,0.32,0.32,0.00243628299,30.0,2.5
33,0.33,0.33,0.00251603482,30.0,2.5
34,0.34,0.34,0.00261358958,30.0,2.5
35,0.35000000000000003,0.35,0.00272459601,30.0,2.5
36,0.36,0.36,0.002882176,30.0,2.5
37,0.37,0.37,0.0030870316,30.0,2.5
38,0.38,0.38,0.00337038127,30.0,2.5
39,0.39,0.39,0.00376701104,30.0,2.5
40,0.4,0.4,0.00441926384,30.0,2.5
41,0.41000000000000003,0.41,0.00558957219,30.0,2.5
42,0.42,0.42,0.00806147072,30.0,2.5
43,0.43,0.43,0.0132365806,30.0,2.5
44,0.44,0.44,0.01918885,30.0,2.5
45,0.45,0.45,0.0261663591,30.0,2.5
46,0.46,0.46,0.0337114064,30.0,2.5
47,0.47000000000000003,0.47,0.0416580508,30.0,2.5
48,0.48,0.48,0.0499500899,30.0,2.5
49,0.49,0.49,0.0585778506,30.0,2.5
50,0.5,0.5,0.0676437972,30.0,2.5
51,0.51,0.51,0.0752554694,30.0,2.5
52,0.52,0.52,0.0789682596,30.0,2.5
53,0.53,0.53,0.0819701582,30.0,2.5
54,0.54,0.54,0.0847031974,30.0,2.5
55,0.55,0.55,0.0871812992,30.0,2.5
56,0.56,0.56,0.0895371902,30.0,2.5
57,0.5700000000000001,0.57,0.0920570305,30.0,2.5
58,0.58,0.58,0.0938843922,30.0,2.5
59,0.59,0.59,0.095709614,30.0,2.5
60,0.6,0.6,0.0975625536,30.0,2.5
61,0.61,0.61,0.0996073761,30.0,2.5
62,0.62,0.62,0.101783172,30.0,2.5
63,0.63,0.63,0.103970328,30.0,2.5
64,0.64,0.64,0.105958077,30.0,2.5
65,0.65,0.65,0.107918672,30.0,2.5
66,0.66,0.66,0.109487189,30.0,2.5
67,0.67,0.67,0.111952273,30.0,2.5
68,0.68,0.68,0.114407416,30.0,2.5
69,0.6900000000000001,0.69,0.116388629,30.0,2.5
70,0.7000000000000001,0.7,0.118548421,30.0,2.5
71,0.71,0.71,0.120642941,30.0,2.5
72,0.72,0.72,0.122723904,30.0,2.5
73,0.73,0.73,0.124714166,30.0,2.5
74,0.74,0.74,0.12659657,30.0,2.5
75,0.75,0.75,0.128689983,30.0,2.5
76,0.76,0.76,0.130613307,30.0,2.5
77,0.77,0.77,0.132619708,30.0,2.5
78,0.78,0.78,0.134508567,30.0,2.5
79,0.79,0.79,0.136540466,30.0,2.5
80,0.8,0.8,0.138507098,30.0,2.5
81,0.81,0.81,0.140456862,30.0,2.5
82,0.8200000000000001,0.82,0.142420988,30.0,2.5
