,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.0012061075,30.0,2.5
1,0.01,0.01,0.00120330414,30.0,2.5
2,0.02,0.02,0.00120796651,30.0,2.5
3,0.03,0.03,0.00121187898,30.0,2.5
4,0.04,0.04,0.0012162689,30.0,2.5
5,0.05,0.05,0.00121960565,30.0,2.5
6,0.06,0.06,0.00122452689,30.0,2.5
7,0.07,0.07,0.00123112743,30.0,2.5
8,0.08,0.08,0.00123823235,30.0,2.5
9,0.09,0.09,0.00124704627,30.0,2.5
10,0.1,0.1,0.00125961295,30.0,2.5
11,0.11,0.11,0.00128534896,30.0,2.5
12,0.12,0.12,0.00131506623,30.0,2.5
13,0.13,0.13,0.00132855241,30.0,2.5
14,0.14,0.14,0.00136269413,30.0,2.5
15,0.15,0.15,0.00139767481,30.0,2.5
16,0.16,0.16,0.0014431013,30.0,2.5
17,0.17,0.17,0.00149239722,30.0,2.5
18,0.18,0.18,0.00154138112,30.0,2.5
19,0.19,0.19,0.00158136127,30.0,2.5
20,0.2,0.2,0.00170886802,30.0,2.5
21,0.21,0.21,0.00174216088,30.0,2.5
22,0.22,0.22,0.00181052255,30.0,2.5
23,0.23,0.23,0.00187401682,30.0,2.5
24,0.24,0.24,0.00193702328,30.0,2.5
25,0.25,0.25,0.00200066413,30.0,2.5
26,0.26,0.26,0.00204915768,30.0,2.5
27,0.27,0.27,0.00211784448,30.0,2.5
28,0.28,0.28,0.00217451571,30.0,2.5
29,0.29,0.29,0.00223737282,30.0,2.5
30,0.3,0.3,0.00229026827,30.0,2.5
31,0.31,0.31,0.00236088128,30.0,2.5
32,0.32,0.32,0.00244594875,30.0,2.5
33,0.33,0.33,0.00252791878,30.0,2.5
34,0.34,0.34,0.00266403994,30.0,2.5
35,0.35000000000000003,0.35,0.0028061231,30.0,2.5
36,0.36,0.36,0.00299483596,30.0,2.5
37,0.37,0.37,0.00327190218,30.0,2.5
38,0.38,0.38,0.00361416245,30.0,2.5
39,0.39,0.39,0.00416925604,30.0,2.5
40,0.4,0.4,0.00519296727,30.0,2.5
41,0.41000000000000003,0.41,0.00740145673,30.0,2.5
42,0.42,0.42,0.0120278777,30.0,2.5
43,0.43,0.43,0.0194872331,30.0,2.5
44,0.44,0.44,0.0270873735,30.0,2.5
45,0.45,0.45,0.0354935845,30.0,2.5
46,0.46,0.46,0.0438599377,30.0,2.5
47,0.47000000000000003,0.47,0.0522201588,30.0,2.5
48,0.48,0.48,0.0611268961,30.0,2.5
49,0.49,0.49,0.0698825662,30.0,2.5
50,0.5,0.5,0.0789914152,30.0,2.5
51,0.51,0.51,0.0892784547,30.0,2.5
52,0.52,0.52,0.0974195862,30.0,2.5
53,0.53,0.53,0.101018657,30.0,2.5
54,0.54,0.54,0.104071956,30.0,2.5
55,0.55,0.55,0.10662286,30.0,2.5
56,0.56,0.56,0.109183555,30.0,2.5
57,0.5700000000000001,0.57,0.111673933,30.0,2.5
58,0.58,0.58,0.114331258,30.0,2.5
59,0.59,0.59,0.116209892,30.0,2.5
60,0.6,0.6,0.118359417,30.0,2.5
61,0.61,0.61,0.120281313,30.0,2.5
62,0.62,0.62,0.122529699,30.0,2.5
63,0.63,0.63,0.12532914,30.0,2.5
64,0.64,0.64,0.127869742,30.0,2.5
65,0.65,0.65,0.130491284,30.0,2.5
66,0.66,0.66,0.13330901,30.0,2.5
67,0.67,0.67,0.136513444,30.0,2.5
68,0.68,0.68,0.138121818,30.0,2.5
69,0.6900000000000001,0.69,0.14100883,30.0,2.5
70,0.7000000000000001,0.7,0.145049636,30.0,2.5
71,0.71,0.71,0.150647854,30.0,2.5
72,0.72,0.72,0.157020942,30.0,2.5
73,0.73,0.73,0.291633126,30.0,2.5
74,0.74,0.74,0.299522466,30.0,2.5
75,0.75,0.75,0.30757313,30.0,2.5
76,0.76,0.76,0.315663991,30.0,2.5
77,0.77,0.77,0.323906456,30.0,2.5
78,0.78,0.78,0.332070652,30.0,2.5
79,0.79,0.79,0.34031023,30.0,2.5
80,0.8,0.8,0.348584658,30.0,2.5
81,0.81,0.81,0.356874937,30.0,2.5
