,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,1.0,0.0,30.0,1.08,1.08,0.0,0.0,0.555188626
1,1.0,0.0,30.0,1.08,1.08,1.0,1.0,0.557470074
2,1.0,0.0,30.0,1.08,1.08,2.0,2.0,0.55848199
3,1.0,0.0,30.0,1.08,1.08,3.0,3.0,0.56126736
4,1.0,0.0,30.0,1.08,1.08,4.0,4.0,0.561378229
5,1.0,0.0,30.0,1.08,1.08,5.0,5.0,0.564817698
6,1.0,0.0,30.0,1.08,1.08,6.0,6.0,0.567666193
7,1.0,0.0,30.0,1.08,1.08,7.0,7.0,0.570969299
8,1.0,0.0,30.0,1.08,1.08,8.0,8.0,0.571858249
9,1.0,0.0,30.0,1.08,1.08,9.0,9.0,0.575291002
10,1.0,0.0,30.0,1.08,1.08,10.0,10.0,0.578168038
11,1.0,0.0,30.0,1.08,1.08,11.0,11.0,0.580592805
12,1.0,0.0,30.0,1.08,1.08,12.0,12.0,0.582226139
13,1.0,0.0,30.0,1.08,1.08,13.0,13.0,0.583885559
14,1.0,0.0,30.0,1.08,1.08,14.0,14.0,0.585081062
15,1.0,0.0,30.0,1.08,1.08,15.0,15.0,0.585979018
16,1.0,1.0,30.0,1.08,1.08,0.0,0.0,0.586001899
17,1.0,1.0,30.0,1.08,1.08,1.0,1.0,0.585961551
18,1.0,1.0,30.0,1.08,1.08,2.0,2.0,0.585942535
19,1.0,1.0,30.0,1.08,1.08,3.0,3.0,0.585933712
20,1.0,1.0,30.0,1.08,1.08,4.0,4.0,0.585930487
21,1.0,1.0,30.0,1.08,1.08,5.0,5.0,0.585923528
22,1.0,1.0,30.0,1.08,1.08,6.0,6.0,0.585923098
23,1.0,1.0,30.0,1.08,1.08,7.0,7.0,0.585928697
24,1.0,1.0,30.0,1.08,1.08,8.0,8.0,0.585914781
25,1.0,1.0,30.0,1.08,1.08,9.0,9.0,0.585894141
26,1.0,1.0,30.0,1.08,1.08,10.0,10.0,0.585854911
27,1.0,1.0,30.0,1.08,1.08,11.0,11.0,0.585922003
28,1.0,1.0,30.0,1.08,1.08,12.0,12.0,0.585899099
29,1.0,1.0,30.0,1.08,1.08,13.0,13.0,0.585927668
30,1.0,1.0,30.0,1.08,1.08,14.0,14.0,0.585951431
31,1.0,1.0,30.0,1.08,1.08,15.0,15.0,0.585944346
32,1.0,2.0,30.0,1.08,1.08,0.0,0.0,0.585963672
33,1.0,2.0,30.0,1.08,1.08,1.0,1.0,0.585966727
34,1.0,2.0,30.0,1.08,1.08,2.0,2.0,0.585931454
35,1.0,2.0,30.0,1.08,1.08,3.0,3.0,0.585974653
36,1.0,2.0,30.0,1.08,1.08,4.0,4.0,0.585965383
37,1.0,2.0,30.0,1.08,1.08,5.0,5.0,0.585963425
38,1.0,2.0,30.0,1.08,1.08,6.0,6.0,0.585915761
39,1.0,2.0,30.0,1.08,1.08,7.0,7.0,0.585910432
40,1.0,2.0,30.0,1.08,1.08,8.0,8.0,0.585913986
41,1.0,2.0,30.0,1.08,1.08,9.0,9.0,0.585905269
42,1.0,2.0,30.0,1.08,1.08,10.0,10.0,0.585915829
43,1.0,2.0,30.0,1.08,1.08,11.0,11.0,0.585897865
44,1.0,2.0,30.0,1.08,1.08,12.0,12.0,0.585909391
45,1.0,2.0,30.0,1.08,1.08,13.0,13.0,0.585878143
46,1.0,2.0,30.0,1.08,1.08,14.0,14.0,0.585853974
47,1.0,2.0,30.0,1.08,1.08,15.0,15.0,0.585869298
48,1.0,3.0,30.0,1.08,1.08,0.0,0.0,0.585871765
49,1.0,3.0,30.0,1.08,1.08,1.0,1.0,0.585892128
50,1.0,3.0,30.0,1.08,1.08,2.0,2.0,0.585913086
51,1.0,3.0,30.0,1.08,1.08,3.0,3.0,0.585910482
52,1.0,3.0,30.0,1.08,1.08,4.0,4.0,0.585895952
53,1.0,3.0,30.0,1.08,1.08,5.0,5.0,0.585892628
54,1.0,3.0,30.0,1.08,1.08,6.0,6.0,0.585885041
55,1.0,3.0,30.0,1.08,1.08,7.0,7.0,0.585886684
