,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,11.0,10.0,-20.0,1.08,1.08,0.0,0.0,0.555666848
1,11.0,10.0,-20.0,1.08,1.08,0.0,1.0,0.557167358
2,11.0,10.0,-20.0,1.08,1.08,0.0,2.0,0.5577416
3,11.0,10.0,-20.0,1.08,1.08,0.0,3.0,0.557916093
4,11.0,10.0,-20.0,1.08,1.08,0.0,4.0,0.558032471
5,11.0,10.0,-20.0,1.08,1.08,0.0,5.0,0.558079823
6,11.0,10.0,-20.0,1.08,1.08,0.0,6.0,0.55807394
7,11.0,10.0,-20.0,1.08,1.08,0.0,7.0,0.558090908
8,11.0,10.0,-20.0,1.08,1.08,0.0,8.0,0.558093442
9,11.0,10.0,-20.0,1.08,1.08,0.0,9.0,0.55808069
10,11.0,10.0,-20.0,1.08,1.08,0.0,10.0,0.558090603
11,11.0,10.0,-20.0,1.08,1.08,0.0,11.0,0.558077936
12,11.0,10.0,-20.0,1.08,1.08,0.0,12.0,0.558082147
13,11.0,10.0,-20.0,1.08,1.08,0.0,13.0,0.558111994
14,11.0,10.0,-20.0,1.08,1.08,0.0,14.0,0.558123493
15,11.0,10.0,-20.0,1.08,1.08,0.0,15.0,0.558116991
16,11.0,10.0,-20.0,1.08,1.08,1.0,0.0,0.553279219
17,11.0,10.0,-20.0,1.08,1.08,1.0,1.0,0.556334831
18,11.0,10.0,-20.0,1.08,1.08,1.0,2.0,0.55737643
19,11.0,10.0,-20.0,1.08,1.08,1.0,3.0,0.557728309
20,11.0,10.0,-20.0,1.08,1.08,1.0,4.0,0.557904682
21,11.0,10.0,-20.0,1.08,1.08,1.0,5.0,0.557969675
22,11.0,10.0,-20.0,1.08,1.08,1.0,6.0,0.558063953
23,11.0,10.0,-20.0,1.08,1.08,1.0,7.0,0.558090233
24,11.0,10.0,-20.0,1.08,1.08,1.0,8.0,0.558103891
25,11.0,10.0,-20.0,1.08,1.08,1.0,9.0,0.558107266
26,11.0,10.0,-20.0,1.08,1.08,1.0,10.0,0.558109816
27,11.0,10.0,-20.0,1.08,1.08,1.0,11.0,0.558088644
