,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,1.0,0.0,27.0,1.08,1.08,0.0,0.0,0.549803663
1,1.0,0.0,27.0,1.08,1.08,0.0,1.0,0.562126117
2,1.0,0.0,27.0,1.08,1.08,0.0,2.0,0.574191522
3,1.0,0.0,27.0,1.08,1.08,0.0,3.0,0.581512861
4,1.0,0.0,27.0,1.08,1.08,0.0,4.0,0.586239099
5,1.0,0.0,27.0,1.08,1.08,0.0,5.0,0.587475207
6,1.0,0.0,27.0,1.08,1.08,0.0,6.0,0.588125707
7,1.0,0.0,27.0,1.08,1.08,0.0,7.0,0.588409725
8,1.0,0.0,27.0,1.08,1.08,0.0,8.0,0.588607667
9,1.0,0.0,27.0,1.08,1.08,0.0,9.0,0.588669353
10,1.0,0.0,27.0,1.08,1.08,0.0,10.0,0.588710633
11,1.0,0.0,27.0,1.08,1.08,0.0,11.0,0.588738471
12,1.0,0.0,27.0,1.08,1.08,0.0,12.0,0.588748688
13,1.0,0.0,27.0,1.08,1.08,0.0,13.0,0.588741015
14,1.0,0.0,27.0,1.08,1.08,0.0,14.0,0.588739459
15,1.0,0.0,27.0,1.08,1.08,0.0,15.0,0.588737352
16,1.0,0.0,27.0,1.08,1.08,1.0,0.0,0.538623645
17,1.0,0.0,27.0,1.08,1.08,1.0,1.0,0.551475217
18,1.0,0.0,27.0,1.08,1.08,1.0,2.0,0.565225847
19,1.0,0.0,27.0,1.08,1.08,1.0,3.0,0.57497679
20,1.0,0.0,27.0,1.08,1.08,1.0,4.0,0.583625735
21,1.0,0.0,27.0,1.08,1.08,1.0,5.0,0.586227669
22,1.0,0.0,27.0,1.08,1.08,1.0,6.0,0.587514172
23,1.0,0.0,27.0,1.08,1.08,1.0,7.0,0.588023265
24,1.0,0.0,27.0,1.08,1.08,1.0,8.0,0.588391237
25,1.0,0.0,27.0,1.08,1.08,1.0,9.0,0.588515849
26,1.0,0.0,27.0,1.08,1.08,1.0,10.0,0.588583874
27,1.0,0.0,27.0,1.08,1.08,1.0,11.0,0.588609326
28,1.0,0.0,27.0,1.08,1.08,1.0,12.0,0.588635358
29,1.0,0.0,27.0,1.08,1.08,1.0,13.0,0.588647082
30,1.0,0.0,27.0,1.08,1.08,1.0,14.0,0.588650884
31,1.0,0.0,27.0,1.08,1.08,1.0,15.0,0.588644784
32,1.0,0.0,27.0,1.08,1.08,2.0,0.0,0.525266821
33,1.0,0.0,27.0,1.08,1.08,2.0,1.0,0.538317694
34,1.0,0.0,27.0,1.08,1.08,2.0,2.0,0.552765787
35,1.0,0.0,27.0,1.08,1.08,2.0,3.0,0.564030921
36,1.0,0.0,27.0,1.08,1.08,2.0,4.0,0.577211895
37,1.0,0.0,27.0,1.08,1.08,2.0,5.0,0.582940005
38,1.0,0.0,27.0,1.08,1.08,2.0,6.0,0.586080134
39,1.0,0.0,27.0,1.08,1.08,2.0,7.0,0.587256167
40,1.0,0.0,27.0,1.08,1.08,2.0,8.0,0.58803136
41,1.0,0.0,27.0,1.08,1.08,2.0,9.0,0.588267423
42,1.0,0.0,27.0,1.08,1.08,2.0,10.0,0.588420476
43,1.0,0.0,27.0,1.08,1.08,2.0,11.0,0.588489129
44,1.0,0.0,27.0,1.08,1.08,2.0,12.0,0.588540639
45,1.0,0.0,27.0,1.08,1.08,2.0,13.0,0.58855521
46,1.0,0.0,27.0,1.08,1.08,2.0,14.0,0.588574067
47,1.0,0.0,27.0,1.08,1.08,2.0,15.0,0.588574832
48,1.0,0.0,27.0,1.08,1.08,3.0,0.0,0.516038897
49,1.0,0.0,27.0,1.08,1.08,3.0,1.0,0.529119856
50,1.0,0.0,27.0,1.08,1.08,3.0,2.0,0.543837953
51,1.0,0.0,27.0,1.08,1.08,3.0,3.0,0.555742096
52,1.0,0.0,27.0,1.08,1.08,3.0,4.0,0.570655291
53,1.0,0.0,27.0,1.08,1.08,3.0,5.0,0.578533668
54,1.0,0.0,27.0,1.08,1.08,3.0,6.0,0.584061677
55,1.0,0.0,27.0,1.08,1.08,3.0,7.0,0.586240377
56,1.0,0.0,27.0,1.08,1.08,3.0,8.0,0.587596183
57,1.0,0.0,27.0,1.08,1.08,3.0,9.0,0.587972912
58,1.0,0.0,27.0,1.08,1.08,3.0,10.0,0.588222478
59,1.0,0.0,27.0,1.08,1.08,3.0,11.0,0.588333673
60,1.0,0.0,27.0,1.08,1.08,3.0,12.0,0.58842726
61,1.0,0.0,27.0,1.08,1.08,3.0,13.0,0.588461415
62,1.0,0.0,27.0,1.08,1.08,3.0,14.0,0.588482398
63,1.0,0.0,27.0,1.08,1.08,3.0,15.0,0.588501009
64,1.0,0.0,27.0,1.08,1.08,4.0,0.0,0.499295256
65,1.0,0.0,27.0,1.08,1.08,4.0,1.0,0.512201383
66,1.0,0.0,27.0,1.08,1.08,4.0,2.0,0.526959803
67,1.0,0.0,27.0,1.08,1.08,4.0,3.0,0.539047148
68,1.0,0.0,27.0,1.08,1.08,4.0,4.0,0.555581935
69,1.0,0.0,27.0,1.08,1.08,4.0,5.0,0.566040212
70,1.0,0.0,27.0,1.08,1.08,4.0,6.0,0.576086466
71,1.0,0.0,27.0,1.08,1.08,4.0,7.0,0.58193025
72,1.0,0.0,27.0,1.08,1.08,4.0,8.0,0.586052009
73,1.0,0.0,27.0,1.08,1.08,4.0,9.0,0.587121118
74,1.0,0.0,27.0,1.08,1.08,4.0,10.0,0.587751058
75,1.0,0.0,27.0,1.08,1.08,4.0,11.0,0.588033783
76,1.0,0.0,27.0,1.08,1.08,4.0,12.0,0.588233768
77,1.0,0.0,27.0,1.08,1.08,4.0,13.0,0.588311244
78,1.0,0.0,27.0,1.08,1.08,4.0,14.0,0.588366975
79,1.0,0.0,27.0,1.08,1.08,4.0,15.0,0.588398783
80,1.0,0.0,27.0,1.08,1.08,5.0,0.0,0.491852921
81,1.0,0.0,27.0,1.08,1.08,5.0,1.0,0.504525714
82,1.0,0.0,27.0,1.08,1.08,5.0,2.0,0.518940636
83,1.0,0.0,27.0,1.08,1.08,5.0,3.0,0.531115552
84,1.0,0.0,27.0,1.08,1.08,5.0,4.0,0.548040572
85,1.0,0.0,27.0,1.08,1.08,5.0,5.0,0.558948066
86,1.0,0.0,27.0,1.08,1.08,5.0,6.0,0.570354864
87,1.0,0.0,27.0,1.08,1.08,5.0,7.0,0.578015734
88,1.0,0.0,27.0,1.08,1.08,5.0,8.0,0.584471756
89,1.0,0.0,27.0,1.08,1.08,5.0,9.0,0.58627534
90,1.0,0.0,27.0,1.08,1.08,5.0,10.0,0.58729032
91,1.0,0.0,27.0,1.08,1.08,5.0,11.0,0.587724169
92,1.0,0.0,27.0,1.08,1.08,5.0,12.0,0.588037606
93,1.0,0.0,27.0,1.08,1.08,5.0,13.0,0.588153875
94,1.0,0.0,27.0,1.08,1.08,5.0,14.0,0.588246593
95,1.0,0.0,27.0,1.08,1.08,5.0,15.0,0.588295273
96,1.0,0.0,27.0,1.08,1.08,6.0,0.0,0.481927843
97,1.0,0.0,27.0,1.08,1.08,6.0,1.0,0.494535888
98,1.0,0.0,27.0,1.08,1.08,6.0,2.0,0.509062202
99,1.0,0.0,27.0,1.08,1.08,6.0,3.0,0.521161648
100,1.0,0.0,27.0,1.08,1.08,6.0,4.0,0.53791917
101,1.0,0.0,27.0,1.08,1.08,6.0,5.0,0.549314686
102,1.0,0.0,27.0,1.08,1.08,6.0,6.0,0.56177737
103,1.0,0.0,27.0,1.08,1.08,6.0,7.0,0.571068388
104,1.0,0.0,27.0,1.08,1.08,6.0,8.0,0.581133628
105,1.0,0.0,27.0,1.08,1.08,6.0,9.0,0.584533309
106,1.0,0.0,27.0,1.08,1.08,6.0,10.0,0.586444166
107,1.0,0.0,27.0,1.08,1.08,6.0,11.0,0.587217546
108,1.0,0.0,27.0,1.08,1.08,6.0,12.0,0.587775105
109,1.0,0.0,27.0,1.08,1.08,6.0,13.0,0.587975783
110,1.0,0.0,27.0,1.08,1.08,6.0,14.0,0.58810994
111,1.0,0.0,27.0,1.08,1.08,6.0,15.0,0.588177375
112,1.0,0.0,27.0,1.08,1.08,7.0,0.0,0.475535183
113,1.0,0.0,27.0,1.08,1.08,7.0,1.0,0.488063002
114,1.0,0.0,27.0,1.08,1.08,7.0,2.0,0.50247364
115,1.0,0.0,27.0,1.08,1.08,7.0,3.0,0.514768673
116,1.0,0.0,27.0,1.08,1.08,7.0,4.0,0.531680352
117,1.0,0.0,27.0,1.08,1.08,7.0,5.0,0.543078489
118,1.0,0.0,27.0,1.08,1.08,7.0,6.0,0.555684912
