,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,1.0,0.0,50.0,1.08,1.08,0.0,0.0,0.553543763
1,1.0,0.0,50.0,1.08,1.08,0.0,1.0,0.565926639
2,1.0,0.0,50.0,1.08,1.08,0.0,2.0,0.578864999
3,1.0,0.0,50.0,1.08,1.08,0.0,3.0,0.587254962
4,1.0,0.0,50.0,1.08,1.08,0.0,4.0,0.593692519
5,1.0,0.0,50.0,1.08,1.08,0.0,5.0,0.595487614
6,1.0,0.0,50.0,1.08,1.08,0.0,6.0,0.596454004
7,1.0,0.0,50.0,1.08,1.08,0.0,7.0,0.596887271
8,1.0,0.0,50.0,1.08,1.08,0.0,8.0,0.597174048
9,1.0,0.0,50.0,1.08,1.08,0.0,9.0,0.597303563
10,1.0,0.0,50.0,1.08,1.08,0.0,10.0,0.597397897
11,1.0,0.0,50.0,1.08,1.08,0.0,11.0,0.597462116
12,1.0,0.0,50.0,1.08,1.08,0.0,12.0,0.597490479
13,1.0,0.0,50.0,1.08,1.08,0.0,13.0,0.597485826
14,1.0,0.0,50.0,1.08,1.08,0.0,14.0,0.597499298
15,1.0,0.0,50.0,1.08,1.08,0.0,15.0,0.597480208
16,1.0,0.0,50.0,1.08,1.08,1.0,0.0,0.542396025
17,1.0,0.0,50.0,1.08,1.08,1.0,1.0,0.555111116
18,1.0,0.0,50.0,1.08,1.08,1.0,2.0,0.569184085
19,1.0,0.0,50.0,1.08,1.08,1.0,3.0,0.579429525
20,1.0,0.0,50.0,1.08,1.08,1.0,4.0,0.590101681
21,1.0,0.0,50.0,1.08,1.08,1.0,5.0,0.593749049
22,1.0,0.0,50.0,1.08,1.08,1.0,6.0,0.595725838
23,1.0,0.0,50.0,1.08,1.08,1.0,7.0,0.596480524
24,1.0,0.0,50.0,1.08,1.08,1.0,8.0,0.597042328
25,1.0,0.0,50.0,1.08,1.08,1.0,9.0,0.597187986
26,1.0,0.0,50.0,1.08,1.08,1.0,10.0,0.597292895
27,1.0,0.0,50.0,1.08,1.08,1.0,11.0,0.597333394
28,1.0,0.0,50.0,1.08,1.08,1.0,12.0,0.597372547
29,1.0,0.0,50.0,1.08,1.08,1.0,13.0,0.597377035
30,1.0,0.0,50.0,1.08,1.08,1.0,14.0,0.597406696
31,1.0,0.0,50.0,1.08,1.08,1.0,15.0,0.597433069
32,1.0,0.0,50.0,1.08,1.08,2.0,0.0,0.527735725
33,1.0,0.0,50.0,1.08,1.08,2.0,1.0,0.540717456
34,1.0,0.0,50.0,1.08,1.08,2.0,2.0,0.555487824
35,1.0,0.0,50.0,1.08,1.08,2.0,3.0,0.567054962
36,1.0,0.0,50.0,1.08,1.08,2.0,4.0,0.581522323
37,1.0,0.0,50.0,1.08,1.08,2.0,5.0,0.588634942
38,1.0,0.0,50.0,1.08,1.08,2.0,6.0,0.593386761
39,1.0,0.0,50.0,1.08,1.08,2.0,7.0,0.595230801
40,1.0,0.0,50.0,1.08,1.08,2.0,8.0,0.596479971
41,1.0,0.0,50.0,1.08,1.08,2.0,9.0,0.596829107
42,1.0,0.0,50.0,1.08,1.08,2.0,10.0,0.597058411
43,1.0,0.0,50.0,1.08,1.08,2.0,11.0,0.597174894
44,1.0,0.0,50.0,1.08,1.08,2.0,12.0,0.597272024
45,1.0,0.0,50.0,1.08,1.08,2.0,13.0,0.597349937
46,1.0,0.0,50.0,1.08,1.08,2.0,14.0,0.597387932
47,1.0,0.0,50.0,1.08,1.08,2.0,15.0,0.597423953
48,1.0,0.0,50.0,1.08,1.08,3.0,0.0,0.518187173
49,1.0,0.0,50.0,1.08,1.08,3.0,1.0,0.531186473
50,1.0,0.0,50.0,1.08,1.08,3.0,2.0,0.546191653
51,1.0,0.0,50.0,1.08,1.08,3.0,3.0,0.558172102
52,1.0,0.0,50.0,1.08,1.08,3.0,4.0,0.573988828
53,1.0,0.0,50.0,1.08,1.08,3.0,5.0,0.583042207
54,1.0,0.0,50.0,1.08,1.08,3.0,6.0,0.590356862
55,1.0,0.0,50.0,1.08,1.08,3.0,7.0,0.593733746
56,1.0,0.0,50.0,1.08,1.08,3.0,8.0,0.595990718
