,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,15.0,14.0,30.0,1.08,1.08,0.0,0.0,0.541127305
1,15.0,14.0,30.0,1.08,1.08,0.0,1.0,0.553424021
2,15.0,14.0,30.0,1.08,1.08,0.0,2.0,0.566313751
3,15.0,14.0,30.0,1.08,1.08,0.0,3.0,0.575077337
4,15.0,14.0,30.0,1.08,1.08,0.0,4.0,0.582017034
5,15.0,14.0,30.0,1.08,1.08,0.0,5.0,0.583931993
6,15.0,14.0,30.0,1.08,1.08,0.0,6.0,0.584926552
7,15.0,14.0,30.0,1.08,1.08,0.0,7.0,0.58533465
8,15.0,14.0,30.0,1.08,1.08,0.0,8.0,0.585619052
9,15.0,14.0,30.0,1.08,1.08,0.0,9.0,0.585701355
10,15.0,14.0,30.0,1.08,1.08,0.0,10.0,0.585746952
11,15.0,14.0,30.0,1.08,1.08,0.0,11.0,0.585770199
12,15.0,14.0,30.0,1.08,1.08,0.0,12.0,0.585816178
13,15.0,14.0,30.0,1.08,1.08,0.0,13.0,0.585835741
14,15.0,14.0,30.0,1.08,1.08,0.0,14.0,0.585846093
15,15.0,14.0,30.0,1.08,1.08,0.0,15.0,0.585835686
16,15.0,14.0,30.0,1.08,1.08,1.0,0.0,0.530494442
17,15.0,14.0,30.0,1.08,1.08,1.0,1.0,0.543147075
18,15.0,14.0,30.0,1.08,1.08,1.0,2.0,0.557138016
19,15.0,14.0,30.0,1.08,1.08,1.0,3.0,0.567517066
20,15.0,14.0,30.0,1.08,1.08,1.0,4.0,0.57832285
21,15.0,14.0,30.0,1.08,1.08,1.0,5.0,0.582233417
22,15.0,14.0,30.0,1.08,1.08,1.0,6.0,0.584250244
23,15.0,14.0,30.0,1.08,1.08,1.0,7.0,0.584989109
24,15.0,14.0,30.0,1.08,1.08,1.0,8.0,0.585508501
25,15.0,14.0,30.0,1.08,1.08,1.0,9.0,0.58566578
26,15.0,14.0,30.0,1.08,1.08,1.0,10.0,0.585760191
27,15.0,14.0,30.0,1.08,1.08,1.0,11.0,0.585800316
28,15.0,14.0,30.0,1.08,1.08,1.0,12.0,0.585836015
29,15.0,14.0,30.0,1.08,1.08,1.0,13.0,0.585849823
30,15.0,14.0,30.0,1.08,1.08,1.0,14.0,0.585873712
31,15.0,14.0,30.0,1.08,1.08,1.0,15.0,0.58586344
32,15.0,14.0,30.0,1.08,1.08,2.0,0.0,0.517486171
33,15.0,14.0,30.0,1.08,1.08,2.0,1.0,0.53019911
34,15.0,14.0,30.0,1.08,1.08,2.0,2.0,0.544433018
35,15.0,14.0,30.0,1.08,1.08,2.0,3.0,0.556007396
36,15.0,14.0,30.0,1.08,1.08,2.0,4.0,0.570169881
37,15.0,14.0,30.0,1.08,1.08,2.0,5.0,0.577412032
38,15.0,14.0,30.0,1.08,1.08,2.0,6.0,0.582111206
39,15.0,14.0,30.0,1.08,1.08,2.0,7.0,0.583926273
40,15.0,14.0,30.0,1.08,1.08,2.0,8.0,0.585113721
41,15.0,14.0,30.0,1.08,1.08,2.0,9.0,0.585415242
42,15.0,14.0,30.0,1.08,1.08,2.0,10.0,0.585592447
43,15.0,14.0,30.0,1.08,1.08,2.0,11.0,0.585708193
44,15.0,14.0,30.0,1.08,1.08,2.0,12.0,0.585813524
45,15.0,14.0,30.0,1.08,1.08,2.0,13.0,0.585827263
46,15.0,14.0,30.0,1.08,1.08,2.0,14.0,0.585819767
47,15.0,14.0,30.0,1.08,1.08,2.0,15.0,0.585840075
48,15.0,14.0,30.0,1.08,1.08,3.0,0.0,0.508716305
49,15.0,14.0,30.0,1.08,1.08,3.0,1.0,0.521251235
50,15.0,14.0,30.0,1.08,1.08,3.0,2.0,0.535676284
51,15.0,14.0,30.0,1.08,1.08,3.0,3.0,0.547486947
52,15.0,14.0,30.0,1.08,1.08,3.0,4.0,0.562881024
53,15.0,14.0,30.0,1.08,1.08,3.0,5.0,0.571902547
54,15.0,14.0,30.0,1.08,1.08,3.0,6.0,0.579186905
55,15.0,14.0,30.0,1.08,1.08,3.0,7.0,0.582545466
56,15.0,14.0,30.0,1.08,1.08,3.0,8.0,0.584653322
57,15.0,14.0,30.0,1.08,1.08,3.0,9.0,0.585146148
58,15.0,14.0,30.0,1.08,1.08,3.0,10.0,0.585468311
59,15.0,14.0,30.0,1.08,1.08,3.0,11.0,0.585621211
60,15.0,14.0,30.0,1.08,1.08,3.0,12.0,0.585743968
61,15.0,14.0,30.0,1.08,1.08,3.0,13.0,0.585811668
62,15.0,14.0,30.0,1.08,1.08,3.0,14.0,0.585840827
63,15.0,14.0,30.0,1.08,1.08,3.0,15.0,0.585850129
64,15.0,14.0,30.0,1.08,1.08,4.0,0.0,0.492494862
65,15.0,14.0,30.0,1.08,1.08,4.0,1.0,0.505085095
66,15.0,14.0,30.0,1.08,1.08,4.0,2.0,0.519662048
67,15.0,14.0,30.0,1.08,1.08,4.0,3.0,0.531686586
68,15.0,14.0,30.0,1.08,1.08,4.0,4.0,0.547881761
69,15.0,14.0,30.0,1.08,1.08,4.0,5.0,0.558599896
70,15.0,14.0,30.0,1.08,1.08,4.0,6.0,0.569513133
71,15.0,14.0,30.0,1.08,1.08,4.0,7.0,0.576593896
72,15.0,14.0,30.0,1.08,1.08,4.0,8.0,0.582688067
73,15.0,14.0,30.0,1.08,1.08,4.0,9.0,0.584162101
74,15.0,14.0,30.0,1.08,1.08,4.0,10.0,0.584966498
75,15.0,14.0,30.0,1.08,1.08,4.0,11.0,0.585339487
76,15.0,14.0,30.0,1.08,1.08,4.0,12.0,0.585625815
77,15.0,14.0,30.0,1.08,1.08,4.0,13.0,0.585730359
78,15.0,14.0,30.0,1.08,1.08,4.0,14.0,0.585781355
79,15.0,14.0,30.0,1.08,1.08,4.0,15.0,0.585797856
80,15.0,14.0,30.0,1.08,1.08,5.0,0.0,0.485288891
81,15.0,14.0,30.0,1.08,1.08,5.0,1.0,0.497809845
82,15.0,14.0,30.0,1.08,1.08,5.0,2.0,0.512229515
83,15.0,14.0,30.0,1.08,1.08,5.0,3.0,0.524284142
84,15.0,14.0,30.0,1.08,1.08,5.0,4.0,0.540785846
85,15.0,14.0,30.0,1.08,1.08,5.0,5.0,0.551994342
86,15.0,14.0,30.0,1.08,1.08,5.0,6.0,0.563812997
87,15.0,14.0,30.0,1.08,1.08,5.0,7.0,0.572435868
88,15.0,14.0,30.0,1.08,1.08,5.0,8.0,0.580925869
89,15.0,14.0,30.0,1.08,1.08,5.0,9.0,0.583289275
90,15.0,14.0,30.0,1.08,1.08,5.0,10.0,0.584634849
91,15.0,14.0,30.0,1.08,1.08,5.0,11.0,0.585193648
92,15.0,14.0,30.0,1.08,1.08,5.0,12.0,0.585578593
93,15.0,14.0,30.0,1.08,1.08,5.0,13.0,0.585724315
94,15.0,14.0,30.0,1.08,1.08,5.0,14.0,0.585822243
95,15.0,14.0,30.0,1.08,1.08,5.0,15.0,0.585844179
96,15.0,14.0,30.0,1.08,1.08,6.0,0.0,0.476314382
97,15.0,14.0,30.0,1.08,1.08,6.0,1.0,0.488647381
98,15.0,14.0,30.0,1.08,1.08,6.0,2.0,0.502984062
99,15.0,14.0,30.0,1.08,1.08,6.0,3.0,0.514922279
100,15.0,14.0,30.0,1.08,1.08,6.0,4.0,0.531705329
101,15.0,14.0,30.0,1.08,1.08,6.0,5.0,0.542916987
102,15.0,14.0,30.0,1.08,1.08,6.0,6.0,0.555322923
103,15.0,14.0,30.0,1.08,1.08,6.0,7.0,0.564840907
104,15.0,14.0,30.0,1.08,1.08,6.0,8.0,0.57698364
105,15.0,14.0,30.0,1.08,1.08,6.0,9.0,0.581115471
106,15.0,14.0,30.0,1.08,1.08,6.0,10.0,0.583565849
107,15.0,14.0,30.0,1.08,1.08,6.0,11.0,0.584554191
