,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,3.0,2.0,-20.0,1.08,1.08,0.0,0.0,0.554706629
1,3.0,2.0,-20.0,1.08,1.08,0.0,1.0,0.555386645
2,3.0,2.0,-20.0,1.08,1.08,0.0,2.0,0.555689774
3,3.0,2.0,-20.0,1.08,1.08,0.0,3.0,0.555842906
4,3.0,2.0,-20.0,1.08,1.08,0.0,4.0,0.555925036
5,3.0,2.0,-20.0,1.08,1.08,0.0,5.0,0.555931745
6,3.0,2.0,-20.0,1.08,1.08,0.0,6.0,0.55597722
7,3.0,2.0,-20.0,1.08,1.08,0.0,7.0,0.555966441
8,3.0,2.0,-20.0,1.08,1.08,0.0,8.0,0.555888801
9,3.0,2.0,-20.0,1.08,1.08,0.0,9.0,0.55591541
10,3.0,2.0,-20.0,1.08,1.08,0.0,10.0,0.555937406
11,3.0,2.0,-20.0,1.08,1.08,0.0,11.0,0.555929706
12,3.0,2.0,-20.0,1.08,1.08,0.0,12.0,0.555916045
13,3.0,2.0,-20.0,1.08,1.08,0.0,13.0,0.555938454
14,3.0,2.0,-20.0,1.08,1.08,0.0,14.0,0.555939406
15,3.0,2.0,-20.0,1.08,1.08,0.0,15.0,0.555974596
16,3.0,2.0,-20.0,1.08,1.08,1.0,0.0,0.553752017
17,3.0,2.0,-20.0,1.08,1.08,1.0,1.0,0.554980717
18,3.0,2.0,-20.0,1.08,1.08,1.0,2.0,0.555554
19,3.0,2.0,-20.0,1.08,1.08,1.0,3.0,0.555802624
20,3.0,2.0,-20.0,1.08,1.08,1.0,4.0,0.555984096
21,3.0,2.0,-20.0,1.08,1.08,1.0,5.0,0.556033173
22,3.0,2.0,-20.0,1.08,1.08,1.0,6.0,0.556016895
23,3.0,2.0,-20.0,1.08,1.08,1.0,7.0,0.556016009
24,3.0,2.0,-20.0,1.08,1.08,1.0,8.0,0.556014053
25,3.0,2.0,-20.0,1.08,1.08,1.0,9.0,0.556014974
26,3.0,2.0,-20.0,1.08,1.08,1.0,10.0,0.55604697
27,3.0,2.0,-20.0,1.08,1.08,1.0,11.0,0.556094216
28,3.0,2.0,-20.0,1.08,1.08,1.0,12.0,0.556029789
29,3.0,2.0,-20.0,1.08,1.08,1.0,13.0,0.556036437
30,3.0,2.0,-20.0,1.08,1.08,1.0,14.0,0.556045498
31,3.0,2.0,-20.0,1.08,1.08,1.0,15.0,0.556057034
32,3.0,2.0,-20.0,1.08,1.08,2.0,0.0,0.55088411
33,3.0,2.0,-20.0,1.08,1.08,2.0,1.0,0.554153263
34,3.0,2.0,-20.0,1.08,1.08,2.0,2.0,0.555295607
35,3.0,2.0,-20.0,1.08,1.08,2.0,3.0,0.555690395
36,3.0,2.0,-20.0,1.08,1.08,2.0,4.0,0.555928606
37,3.0,2.0,-20.0,1.08,1.08,2.0,5.0,0.556014836
38,3.0,2.0,-20.0,1.08,1.08,2.0,6.0,0.556059957
39,3.0,2.0,-20.0,1.08,1.08,2.0,7.0,0.556066079
40,3.0,2.0,-20.0,1.08,1.08,2.0,8.0,0.556065254
41,3.0,2.0,-20.0,1.08,1.08,2.0,9.0,0.556060372
42,3.0,2.0,-20.0,1.08,1.08,2.0,10.0,0.556065854
43,3.0,2.0,-20.0,1.08,1.08,2.0,11.0,0.55606947
44,3.0,2.0,-20.0,1.08,1.08,2.0,12.0,0.556115618
45,3.0,2.0,-20.0,1.08,1.08,2.0,13.0,0.556131177
46,3.0,2.0,-20.0,1.08,1.08,2.0,14.0,0.556122919
47,3.0,2.0,-20.0,1.08,1.08,2.0,15.0,0.556131932
48,3.0,2.0,-20.0,1.08,1.08,3.0,0.0,0.547201099
49,3.0,2.0,-20.0,1.08,1.08,3.0,1.0,0.552815306
50,3.0,2.0,-20.0,1.08,1.08,3.0,2.0,0.554874876
51,3.0,2.0,-20.0,1.08,1.08,3.0,3.0,0.555499616
52,3.0,2.0,-20.0,1.08,1.08,3.0,4.0,0.555855767
53,3.0,2.0,-20.0,1.08,1.08,3.0,5.0,0.555987795
54,3.0,2.0,-20.0,1.08,1.08,3.0,6.0,0.556031771
55,3.0,2.0,-20.0,1.08,1.08,3.0,7.0,0.556075455
56,3.0,2.0,-20.0,1.08,1.08,3.0,8.0,0.556083307
