,Vin,Vin_real,Vout,temp,VCC
0,0.0,0.0,0.000907600629,-40.0,2.5
1,0.01,0.01,0.000902363686,-40.0,2.5
2,0.02,0.02,0.000900514799,-40.0,2.5
3,0.03,0.03,0.000896129012,-40.0,2.5
4,0.04,0.04,0.000893093247,-40.0,2.5
5,0.05,0.05,0.000894512069,-40.0,2.5
6,0.06,0.06,0.000900338539,-40.0,2.5
7,0.07,0.07,0.000895104128,-40.0,2.5
8,0.08,0.08,0.000898517724,-40.0,2.5
9,0.09,0.09,0.000897444748,-40.0,2.5
10,0.1,0.1,0.000903703123,-40.0,2.5
11,0.11,0.11,0.000901117442,-40.0,2.5
12,0.12,0.12,0.000898988287,-40.0,2.5
13,0.13,0.13,0.00089956723,-40.0,2.5
14,0.14,0.14,0.000901742865,-40.0,2.5
15,0.15,0.15,0.000903711867,-40.0,2.5
16,0.16,0.16,0.000902419832,-40.0,2.5
17,0.17,0.17,0.000900166421,-40.0,2.5
18,0.18,0.18,0.00091460132,-40.0,2.5
19,0.19,0.19,0.00091627901,-40.0,2.5
20,0.2,0.2,0.000923644187,-40.0,2.5
21,0.21,0.21,0.000937126455,-40.0,2.5
22,0.22,0.22,0.000956635613,-40.0,2.5
23,0.23,0.23,0.000998951323,-40.0,2.5
24,0.24,0.24,0.00105225451,-40.0,2.5
25,0.25,0.25,0.00113339502,-40.0,2.5
26,0.26,0.26,0.0012481579,-40.0,2.5
27,0.27,0.27,0.00141063474,-40.0,2.5
28,0.28,0.28,0.00163328268,-40.0,2.5
29,0.29,0.29,0.00194526101,-40.0,2.5
30,0.3,0.3,0.00237611004,-40.0,2.5
31,0.31,0.31,0.00296358918,-40.0,2.5
32,0.32,0.32,0.0037420797,-40.0,2.5
33,0.33,0.33,0.0047600641,-40.0,2.5
34,0.34,0.34,0.00606423191,-40.0,2.5
35,0.35000000000000003,0.35,0.00770248808,-40.0,2.5
36,0.36,0.36,0.00970508556,-40.0,2.5
37,0.37,0.37,0.0120897373,-40.0,2.5
38,0.38,0.38,0.0148492558,-40.0,2.5
39,0.39,0.39,0.0180198862,-40.0,2.5
40,0.4,0.4,0.0215164339,-40.0,2.5
41,0.41000000000000003,0.41,0.0252974657,-40.0,2.5
42,0.42,0.42,0.0292373427,-40.0,2.5
43,0.43,0.43,0.0329179195,-40.0,2.5
44,0.44,0.44,0.0360095931,-40.0,2.5
45,0.45,0.45,0.0392773137,-40.0,2.5
