,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,11.0,10.0,-20.0,1.08,1.08,0.0,0.0,0.553274533
1,11.0,10.0,-20.0,1.08,1.08,0.0,1.0,0.554663244
2,11.0,10.0,-20.0,1.08,1.08,0.0,2.0,0.555265944
3,11.0,10.0,-20.0,1.08,1.08,0.0,3.0,0.555488017
4,11.0,10.0,-20.0,1.08,1.08,0.0,4.0,0.555612525
5,11.0,10.0,-20.0,1.08,1.08,0.0,5.0,0.555656531
6,11.0,10.0,-20.0,1.08,1.08,0.0,6.0,0.555681566
7,11.0,10.0,-20.0,1.08,1.08,0.0,7.0,0.555723206
8,11.0,10.0,-20.0,1.08,1.08,0.0,8.0,0.555752653
9,11.0,10.0,-20.0,1.08,1.08,0.0,9.0,0.555739703
10,11.0,10.0,-20.0,1.08,1.08,0.0,10.0,0.555732391
11,11.0,10.0,-20.0,1.08,1.08,0.0,11.0,0.555734382
12,11.0,10.0,-20.0,1.08,1.08,0.0,12.0,0.555748233
13,11.0,10.0,-20.0,1.08,1.08,0.0,13.0,0.555754208
14,11.0,10.0,-20.0,1.08,1.08,0.0,14.0,0.555752674
15,11.0,10.0,-20.0,1.08,1.08,0.0,15.0,0.555766816
16,11.0,10.0,-20.0,1.08,1.08,1.0,0.0,0.550990347
17,11.0,10.0,-20.0,1.08,1.08,1.0,1.0,0.553890813
18,11.0,10.0,-20.0,1.08,1.08,1.0,2.0,0.554975432
19,11.0,10.0,-20.0,1.08,1.08,1.0,3.0,0.555351861
20,11.0,10.0,-20.0,1.08,1.08,1.0,4.0,0.55553726
21,11.0,10.0,-20.0,1.08,1.08,1.0,5.0,0.55563151
22,11.0,10.0,-20.0,1.08,1.08,1.0,6.0,0.555668259
23,11.0,10.0,-20.0,1.08,1.08,1.0,7.0,0.55572526
24,11.0,10.0,-20.0,1.08,1.08,1.0,8.0,0.55572856
25,11.0,10.0,-20.0,1.08,1.08,1.0,9.0,0.555733045
26,11.0,10.0,-20.0,1.08,1.08,1.0,10.0,0.555715795
27,11.0,10.0,-20.0,1.08,1.08,1.0,11.0,0.555713685
28,11.0,10.0,-20.0,1.08,1.08,1.0,12.0,0.555713932
29,11.0,10.0,-20.0,1.08,1.08,1.0,13.0,0.555718893
30,11.0,10.0,-20.0,1.08,1.08,1.0,14.0,0.555737343
31,11.0,10.0,-20.0,1.08,1.08,1.0,15.0,0.555742472
32,11.0,10.0,-20.0,1.08,1.08,2.0,0.0,0.545067207
33,11.0,10.0,-20.0,1.08,1.08,2.0,1.0,0.55152131
34,11.0,10.0,-20.0,1.08,1.08,2.0,2.0,0.554181233
35,11.0,10.0,-20.0,1.08,1.08,2.0,3.0,0.554999752
36,11.0,10.0,-20.0,1.08,1.08,2.0,4.0,0.555419293
37,11.0,10.0,-20.0,1.08,1.08,2.0,5.0,0.555534242
