,TP,reg,temp,Vin_real,Vin,SLOPE,MEAN,Volt
0,12.0,11.0,40.0,1.08,1.08,0.0,0.0,0.567959399
1,12.0,11.0,40.0,1.08,1.08,0.0,1.0,0.577696275
2,12.0,11.0,40.0,1.08,1.08,0.0,2.0,0.585196231
3,12.0,11.0,40.0,1.08,1.08,0.0,3.0,0.588330844
4,12.0,11.0,40.0,1.08,1.08,0.0,4.0,0.590143822
5,12.0,11.0,40.0,1.08,1.08,0.0,5.0,0.590687539
6,12.0,11.0,40.0,1.08,1.08,0.0,6.0,0.591017947
7,12.0,11.0,40.0,1.08,1.08,0.0,7.0,0.591197902
8,12.0,11.0,40.0,1.08,1.08,0.0,8.0,0.591299606
9,12.0,11.0,40.0,1.08,1.08,0.0,9.0,0.591322601
10,12.0,11.0,40.0,1.08,1.08,0.0,10.0,0.591337227
11,12.0,11.0,40.0,1.08,1.08,0.0,11.0,0.591345993
12,12.0,11.0,40.0,1.08,1.08,0.0,12.0,0.591361937
13,12.0,11.0,40.0,1.08,1.08,0.0,13.0,0.591380282
14,12.0,11.0,40.0,1.08,1.08,0.0,14.0,0.591405123
15,12.0,11.0,40.0,1.08,1.08,0.0,15.0,0.591412978
16,12.0,11.0,40.0,1.08,1.08,1.0,0.0,0.557744674
17,12.0,11.0,40.0,1.08,1.08,1.0,1.0,0.56917977
18,12.0,11.0,40.0,1.08,1.08,1.0,2.0,0.579722658
19,12.0,11.0,40.0,1.08,1.08,1.0,3.0,0.585433413
20,12.0,11.0,40.0,1.08,1.08,1.0,4.0,0.589111393
21,12.0,11.0,40.0,1.08,1.08,1.0,5.0,0.5901317
22,12.0,11.0,40.0,1.08,1.08,1.0,6.0,0.590731244
23,12.0,11.0,40.0,1.08,1.08,1.0,7.0,0.590998646
24,12.0,11.0,40.0,1.08,1.08,1.0,8.0,0.59120179
25,12.0,11.0,40.0,1.08,1.08,1.0,9.0,0.591299356
26,12.0,11.0,40.0,1.08,1.08,1.0,10.0,0.591343017
27,12.0,11.0,40.0,1.08,1.08,1.0,11.0,0.591387514
28,12.0,11.0,40.0,1.08,1.08,1.0,12.0,0.591396155
29,12.0,11.0,40.0,1.08,1.08,1.0,13.0,0.591390234
30,12.0,11.0,40.0,1.08,1.08,1.0,14.0,0.591395934
31,12.0,11.0,40.0,1.08,1.08,1.0,15.0,0.59139039
32,12.0,11.0,40.0,1.08,1.08,2.0,0.0,0.544321574
33,12.0,11.0,40.0,1.08,1.08,2.0,1.0,0.556563287
34,12.0,11.0,40.0,1.08,1.08,2.0,2.0,0.569565931
35,12.0,11.0,40.0,1.08,1.08,2.0,3.0,0.5785044
36,12.0,11.0,40.0,1.08,1.08,2.0,4.0,0.586287639
37,12.0,11.0,40.0,1.08,1.08,2.0,5.0,0.588757929
38,12.0,11.0,40.0,1.08,1.08,2.0,6.0,0.590076466
39,12.0,11.0,40.0,1.08,1.08,2.0,7.0,0.590652789
40,12.0,11.0,40.0,1.08,1.08,2.0,8.0,0.591095321
41,12.0,11.0,40.0,1.08,1.08,2.0,9.0,0.591246313
42,12.0,11.0,40.0,1.08,1.08,2.0,10.0,0.591327018
43,12.0,11.0,40.0,1.08,1.08,2.0,11.0,0.591350145
44,12.0,11.0,40.0,1.08,1.08,2.0,12.0,0.59137256
45,12.0,11.0,40.0,1.08,1.08,2.0,13.0,0.591376201
46,12.0,11.0,40.0,1.08,1.08,2.0,14.0,0.591378429
47,12.0,11.0,40.0,1.08,1.08,2.0,15.0,0.591389735
48,12.0,11.0,40.0,1.08,1.08,3.0,0.0,0.535066874
49,12.0,11.0,40.0,1.08,1.08,3.0,1.0,0.547692465
50,12.0,11.0,40.0,1.08,1.08,3.0,2.0,0.561324635
51,12.0,11.0,40.0,1.08,1.08,3.0,3.0,0.571608162
52,12.0,11.0,40.0,1.08,1.08,3.0,4.0,0.582577044
53,12.0,11.0,40.0,1.08,1.08,3.0,5.0,0.586880419
54,12.0,11.0,40.0,1.08,1.08,3.0,6.0,0.589239139
55,12.0,11.0,40.0,1.08,1.08,3.0,7.0,0.590210623
56,12.0,11.0,40.0,1.08,1.08,3.0,8.0,0.590884796
57,12.0,11.0,40.0,1.08,1.08,3.0,9.0,0.591110412
58,12.0,11.0,40.0,1.08,1.08,3.0,10.0,0.591241424
59,12.0,11.0,40.0,1.08,1.08,3.0,11.0,0.591301698
60,12.0,11.0,40.0,1.08,1.08,3.0,12.0,0.59134877
61,12.0,11.0,40.0,1.08,1.08,3.0,13.0,0.59135465
62,12.0,11.0,40.0,1.08,1.08,3.0,14.0,0.591382713
63,12.0,11.0,40.0,1.08,1.08,3.0,15.0,0.591400202
64,12.0,11.0,40.0,1.08,1.08,4.0,0.0,0.518382809
65,12.0,11.0,40.0,1.08,1.08,4.0,1.0,0.531116126
66,12.0,11.0,40.0,1.08,1.08,4.0,2.0,0.545185302
67,12.0,11.0,40.0,1.08,1.08,4.0,3.0,0.556758467
68,12.0,11.0,40.0,1.08,1.08,4.0,4.0,0.571356075
69,12.0,11.0,40.0,1.08,1.08,4.0,5.0,0.579506034
70,12.0,11.0,40.0,1.08,1.08,4.0,6.0,0.585580003
71,12.0,11.0,40.0,1.08,1.08,4.0,7.0,0.58830042
72,12.0,11.0,40.0,1.08,1.08,4.0,8.0,0.590157527
73,12.0,11.0,40.0,1.08,1.08,4.0,9.0,0.59067639
74,12.0,11.0,40.0,1.08,1.08,4.0,10.0,0.591007835
75,12.0,11.0,40.0,1.08,1.08,4.0,11.0,0.591166839
76,12.0,11.0,40.0,1.08,1.08,4.0,12.0,0.59132018
77,12.0,11.0,40.0,1.08,1.08,4.0,13.0,0.591398106
78,12.0,11.0,40.0,1.08,1.08,4.0,14.0,0.591404456
79,12.0,11.0,40.0,1.08,1.08,4.0,15.0,0.591402055
80,12.0,11.0,40.0,1.08,1.08,5.0,0.0,0.510637139
81,12.0,11.0,40.0,1.08,1.08,5.0,1.0,0.523349685
82,12.0,11.0,40.0,1.08,1.08,5.0,2.0,0.53759752
83,12.0,11.0,40.0,1.08,1.08,5.0,3.0,0.549432066
84,12.0,11.0,40.0,1.08,1.08,5.0,4.0,0.564844739
85,12.0,11.0,40.0,1.08,1.08,5.0,5.0,0.574069927
86,12.0,11.0,40.0,1.08,1.08,5.0,6.0,0.582362756
87,12.0,11.0,40.0,1.08,1.08,5.0,7.0,0.586618537
88,12.0,11.0,40.0,1.08,1.08,5.0,8.0,0.589584325
89,12.0,11.0,40.0,1.08,1.08,5.0,9.0,0.59037111
90,12.0,11.0,40.0,1.08,1.08,5.0,10.0,0.590871005
91,12.0,11.0,40.0,1.08,1.08,5.0,11.0,0.591096212
92,12.0,11.0,40.0,1.08,1.08,5.0,12.0,0.591269563
93,12.0,11.0,40.0,1.08,1.08,5.0,13.0,0.591334842
94,12.0,11.0,40.0,1.08,1.08,5.0,14.0,0.591383367
95,12.0,11.0,40.0,1.08,1.08,5.0,15.0,0.591394198
96,12.0,11.0,40.0,1.08,1.08,6.0,0.0,0.500676518
97,12.0,11.0,40.0,1.08,1.08,6.0,1.0,0.513196235
98,12.0,11.0,40.0,1.08,1.08,6.0,2.0,0.527527621
99,12.0,11.0,40.0,1.08,1.08,6.0,3.0,0.539496625
100,12.0,11.0,40.0,1.08,1.08,6.0,4.0,0.555522649
101,12.0,11.0,40.0,1.08,1.08,6.0,5.0,0.565778541
102,12.0,11.0,40.0,1.08,1.08,6.0,6.0,0.576007962
103,12.0,11.0,40.0,1.08,1.08,6.0,7.0,0.582590145
104,12.0,11.0,40.0,1.08,1.08,6.0,8.0,0.588040793
105,12.0,11.0,40.0,1.08,1.08,6.0,9.0,0.58952032
106,12.0,11.0,40.0,1.08,1.08,6.0,10.0,0.590367549
107,12.0,11.0,40.0,1.08,1.08,6.0,11.0,0.590754905
108,12.0,11.0,40.0,1.08,1.08,6.0,12.0,0.591052375
109,12.0,11.0,40.0,1.08,1.08,6.0,13.0,0.591185116
110,12.0,11.0,40.0,1.08,1.08,6.0,14.0,0.591280129
111,12.0,11.0,40.0,1.08,1.08,6.0,15.0,0.591302167
112,12.0,11.0,40.0,1.08,1.08,7.0,0.0,0.493986429
113,12.0,11.0,40.0,1.08,1.08,7.0,1.0,0.506364542
114,12.0,11.0,40.0,1.08,1.08,7.0,2.0,0.520665668
115,12.0,11.0,40.0,1.08,1.08,7.0,3.0,0.532519786
116,12.0,11.0,40.0,1.08,1.08,7.0,4.0,0.54888841
117,12.0,11.0,40.0,1.08,1.08,7.0,5.0,0.559485897
118,12.0,11.0,40.0,1.08,1.08,7.0,6.0,0.570715804
119,12.0,11.0,40.0,1.08,1.08,7.0,7.0,0.578638463
120,12.0,11.0,40.0,1.08,1.08,7.0,8.0,0.586351574
121,12.0,11.0,40.0,1.08,1.08,7.0,9.0,0.588626586
122,12.0,11.0,40.0,1.08,1.08,7.0,10.0,0.589928581
123,12.0,11.0,40.0,1.08,1.08,7.0,11.0,0.590500758
124,12.0,11.0,40.0,1.08,1.08,7.0,12.0,0.590919822
125,12.0,11.0,40.0,1.08,1.08,7.0,13.0,0.591081287
126,12.0,11.0,40.0,1.08,1.08,7.0,14.0,0.591216831
127,12.0,11.0,40.0,1.08,1.08,7.0,15.0,0.591309657
128,12.0,11.0,40.0,1.08,1.08,8.0,0.0,0.478498131
129,12.0,11.0,40.0,1.08,1.08,8.0,1.0,0.490780898
130,12.0,11.0,40.0,1.08,1.08,8.0,2.0,0.504965625
131,12.0,11.0,40.0,1.08,1.08,8.0,3.0,0.516733536
132,12.0,11.0,40.0,1.08,1.08,8.0,4.0,0.533121963
133,12.0,11.0,40.0,1.08,1.08,8.0,5.0,0.544284583
134,12.0,11.0,40.0,1.08,1.08,8.0,6.0,0.556629585
135,12.0,11.0,40.0,1.08,1.08,8.0,7.0,0.5663584
136,12.0,11.0,40.0,1.08,1.08,8.0,8.0,0.578899387
137,12.0,11.0,40.0,1.08,1.08,8.0,9.0,0.58421451
138,12.0,11.0,40.0,1.08,1.08,8.0,10.0,0.587773898
139,12.0,11.0,40.0,1.08,1.08,8.0,11.0,0.58931015
140,12.0,11.0,40.0,1.08,1.08,8.0,12.0,0.590343464
141,12.0,11.0,40.0,1.08,1.08,8.0,13.0,0.59071304
142,12.0,11.0,40.0,1.08,1.08,8.0,14.0,0.590973645
143,12.0,11.0,40.0,1.08,1.08,8.0,15.0,0.591118433
144,12.0,11.0,40.0,1.08,1.08,9.0,0.0,0.473053852
145,12.0,11.0,40.0,1.08,1.08,9.0,1.0,0.485212699
146,12.0,11.0,40.0,1.08,1.08,9.0,2.0,0.499174739
147,12.0,11.0,40.0,1.08,1.08,9.0,3.0,0.510935061
148,12.0,11.0,40.0,1.08,1.08,9.0,4.0,0.527337902
149,12.0,11.0,40.0,1.08,1.08,9.0,5.0,0.538551526
150,12.0,11.0,40.0,1.08,1.08,9.0,6.0,0.551011924
151,12.0,11.0,40.0,1.08,1.08,9.0,7.0,0.561035313
152,12.0,11.0,40.0,1.08,1.08,9.0,8.0,0.574924903
153,12.0,11.0,40.0,1.08,1.08,9.0,9.0,0.581489036
